phase,pool_size,method,node_budget,status,case_statuses,completed_repetitions,queries,requests,development_recall,mean_recall,p10_recall,empty_rate,api_p50_ms,api_p95_ms,native_p50_ms,native_p95_ms,mean_documents_scored,mean_fraction_fully_scored,mean_nodes,mean_random_nodes,mean_bitplane_words,sampled_peak_rss_bytes,native_peak_rss_bytes,measurement_key
pilot,1000,branch,0,complete,complete,1,5,5,,1.0,1.0,0.0,0.060957856476306915,0.06309971213340759,0.056209,0.059483,1000.0,1.0,149.0,0.0,1232.0,147456,34226176,pilot:n1000-branch-b0
pilot,1000,branch,512,complete,complete,1,5,5,,1.0,1.0,0.0,0.0599580816924572,0.06197504699230194,0.058,0.0585328,1000.0,1.0,149.0,0.0,1232.0,131072,34209792,pilot:n1000-branch-b512
pilot,1000,scan,0,complete,complete,1,5,5,,1.0,1.0,0.0,0.04695821553468704,0.05279127508401871,0.0445,0.047717,1000.0,1.0,0.0,0.0,0.0,163840,34127872,pilot:n1000-scan-b0
pilot,100000,branch,0,complete,complete,1,5,5,,1.0,1.0,0.0,14.235875103622675,16.496608313173056,14.220125,16.4734584,100000.0,1.0,14601.4,0.0,11770327.8,147456,79134720,pilot:n100000-branch-b0
pilot,100000,branch,512,complete,complete,1,5,5,,0.606,0.386,0.0,0.432625412940979,0.5852667614817619,0.42325,0.577983,1544.8,0.015448,512.0,0.0,645206.4,147456,53329920,pilot:n100000-branch-b512
pilot,100000,scan,0,complete,complete,1,5,5,,1.0,1.0,0.0,2.4887919425964355,2.6954079046845436,2.4835,2.6919915999999997,100000.0,1.0,0.0,0.0,0.0,147456,47923200,pilot:n100000-scan-b0
pilot,1000000,branch,0,complete,complete,1,5,5,,1.0,1.0,0.0,982.4042078107595,1158.7495254352689,982.377417,1158.7127582,1000000.0,1.0,150294.8,0.0,1215400000.0,2472574976,2483372032,pilot:n1000000-branch-b0
pilot,1000000,branch,512,complete,complete,1,5,5,,0.47000000000000003,0.374,0.0,3.7713339552283287,3.91927482560277,3.606666,3.7482089999999997,975.2,0.0009751999999999999,512.0,0.0,7200000.0,170311680,224591872,pilot:n1000000-branch-b512
pilot,1000000,scan,0,complete,complete,1,5,5,,1.0,1.0,0.0,24.9574170447886,25.902716256678104,24.9435,25.888608,1000000.0,1.0,0.0,0.0,0.0,170852352,170868736,pilot:n1000000-scan-b0
development,1000,branch,0,complete,complete|complete|complete,3,100,300,1.0,1.0,1.0,0.0,0.06035412661731243,0.06734454073011875,0.058292,0.06383605,1000.0,1.0,155.52,0.0,1290.24,704512,34586624,development:n1000-branch-b0
development,1000,branch,32,complete,complete|complete|complete,3,100,300,0.3439,0.3439,0.24,0.0,0.02145790494978428,0.03665222320705653,0.0190415,0.027137500000000002,109.9,0.1099,32.0,0.0,392.64,704512,34570240,development:n1000-branch-b32
development,1000,branch,128,complete,complete|complete|complete,3,100,300,0.9357,0.9357,0.819,0.0,0.051562441512942314,0.05712921265512705,0.0495,0.0547542,773.52,0.7735199999999999,127.42,0.0,1196.96,671744,34635776,development:n1000-branch-b128
development,1000,branch,512,complete,complete|complete|complete,3,100,300,1.0,1.0,1.0,0.0,0.060271006077528,0.06752952467650175,0.058084,0.0648423,1000.0,1.0,155.52,0.0,1290.24,622592,34619392,development:n1000-branch-b512
development,1000,branch,2048,complete,complete|complete|complete,3,100,300,1.0,1.0,1.0,0.0,0.05987496115267277,0.0657545868307352,0.05775,0.06279825,1000.0,1.0,155.52,0.0,1290.24,622592,34734080,development:n1000-branch-b2048
development,1000,branch,8192,complete,complete|complete|complete,3,100,300,1.0,1.0,1.0,0.0,0.06260443478822708,0.07043145596981049,0.0605,0.0675042,1000.0,1.0,155.52,0.0,1290.24,655360,34521088,development:n1000-branch-b8192
development,1000,branch,32768,complete,complete|complete|complete,3,100,300,1.0,1.0,1.0,0.0,0.0596663448959589,0.06637910846620798,0.0577295,0.0636375,1000.0,1.0,155.52,0.0,1290.24,638976,34586624,development:n1000-branch-b32768
