method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,bitplane_words,routed_documents,selected_buckets,routing_float_recall,empty_result,fewer_than_k,candidate_fill_rate,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,1,0,0.0,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,0.0,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11212518438696861,0.157356564886868,0.07018772885203362,0.11127213947474955,0.0681665,0.10874384999999999,0.00600004568696022,0.008750171400606632,0.03418745473027229,0.03998780157417058
ivf/branch,1,0,0.1,42,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.14351851851852,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11125020682811737,0.15268924180418253,0.07025012746453285,0.10978467762470245,0.068375,0.1077857,0.00583333894610405,0.007493793964385983,0.0338749960064888,0.03865468315780162
ivf/branch,1,0,0.1,43,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.123456790123456,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.1124583650380373,0.15268931165337563,0.07095793262124062,0.11033418122678995,0.068854,0.1083277,0.00600004568696022,0.007667113095521927,0.0339169055223465,0.03904183395206928
ivf/branch,1,0,0.1,44,1944,0.4594135802469136,1.0,0.21482822517234965,0.05725308641975309,0.24307912166708465,100.0,255.570987654321,25.19753086419753,1065.0185185185185,0.0,2835.229938271605,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0,1.0,0.11233310215175152,0.15665176324546334,0.07054186426103115,0.11263545602560042,0.068625,0.1106964,0.005916226655244827,0.00786851160228252,0.034207943826913834,0.039993692189455025
ivf/branch,1,16,0.0,42,1944,0.002160493827160494,0.002484567901234568,0.001753127048441266,0.000617283950617284,0.00257201646090535,0.6666666666666666,16.0,0.0,0.6666666666666666,1.0,272.92438271604937,1065.0185185185185,1.0,0.48750000000000004,0.9861111111111112,0.9861111111111112,0.006666666666666667,0.016459031030535698,0.021493900567293164,0.010207761079072952,0.012417254038155079,0.008417,0.01,0.0053746625781059265,0.006666872650384903,0.0006249174475669861,0.0008749775588512421
ivf/branch,1,16,0.1,42,1944,0.002160493827160494,0.004120370370370371,0.0026993418520916647,0.0007716049382716049,0.0033436213991769547,8.325617283950617,16.0,1.3302469135802468,8.325617283950617,1.0,258.27006172839504,1065.0185185185185,1.0,0.48750000000000004,0.39351851851851855,0.6990740740740741,0.08325617283950618,0.020792242139577866,0.03724375274032354,0.011000316590070724,0.015582889318466187,0.009167,0.013375,0.005499925464391708,0.007041729986667633,0.004083150997757912,0.014875014312565327
ivf/branch,1,16,0.1,43,1944,0.0023148148148148147,0.003425925925925926,0.0018881142615607227,0.0007716049382716049,0.002829218106995885,8.333333333333334,16.0,1.308641975308642,8.333333333333334,1.0,258.3395061728395,1065.0185185185185,1.0,0.48750000000000004,0.37037037037037035,0.6944444444444444,0.08333333333333333,0.020707957446575165,0.03491714596748352,0.010833144187927246,0.014750217087566853,0.009,0.012826849999999997,0.005458015948534012,0.0069998204708099365,0.004187459126114845,0.014416873455047607
ivf/branch,1,16,0.1,44,1944,0.002160493827160494,0.003425925925925926,0.0028893899915521048,0.000925925925925926,0.0037294238683127567,7.550925925925926,16.0,1.3148148148148149,7.550925925925926,1.0,258.84722222222223,1065.0185185185185,1.0,0.48750000000000004,0.4104938271604938,0.7191358024691358,0.07550925925925928,0.02079131081700325,0.03604218363761902,0.010999850928783417,0.015702005475759503,0.009125,0.013292,0.005540903657674789,0.007041729986667633,0.004041939973831177,0.014333054423332214
ivf/branch,1,32,0.0,42,1944,0.05077160493827161,0.06984567901234567,0.05263101311421624,0.01064814814814815,0.056189373897707236,16.12037037037037,32.0,0.0,16.641975308641975,1.0,531.0956790123457,1065.0185185185185,1.0,0.48750000000000004,0.6975308641975309,0.7052469135802469,0.1612037037037037,0.01895800232887268,0.05953588988631963,0.01237494871020317,0.02166714984923601,0.0105,0.019743699999999996,0.005417037755250931,0.006916932761669159,0.0006668269634246826,0.03283731639385221
ivf/branch,1,32,0.1,42,1944,0.03657407407407407,0.05408950617283951,0.03819805631767082,0.007870370370370371,0.041348838918283365,27.96604938271605,32.0,2.9104938271604937,28.61111111111111,1.0,504.766975308642,1065.0185185185185,1.0,0.48750000000000004,0.10030864197530864,0.31635802469135804,0.2796604938271605,0.03391713835299015,0.0669328263029456,0.016250181943178177,0.024244026280939576,0.014125,0.022034849999999998,0.005875248461961746,0.009570410475134843,0.010999850928783417,0.034784805029630654
ivf/branch,1,32,0.1,43,1944,0.034567901234567905,0.05121913580246913,0.028542894947292268,0.005709876543209877,0.03029835390946502,27.700617283950617,32.0,2.9027777777777777,28.46759259259259,1.0,505.45524691358025,1065.0185185185185,1.0,0.48750000000000004,0.09722222222222222,0.30092592592592593,0.2770061728395062,0.031458912417292595,0.06065980996936559,0.01491699367761612,0.022208248265087605,0.012958,0.020084,0.005708076059818268,0.007292255759239197,0.01004151999950409,0.0318268546834588
ivf/branch,1,32,0.1,44,1944,0.03580246913580246,0.05287037037037037,0.0388954706774667,0.0070987654320987656,0.04197530864197531,26.728395061728396,32.0,2.8858024691358026,27.364197530864196,1.0,505.7916666666667,1065.0185185185185,1.0,0.48750000000000004,0.1095679012345679,0.3117283950617284,0.2672839506172839,0.03060419112443924,0.05703575443476438,0.014500226825475693,0.021327193826436993,0.012583,0.01929185,0.005583278834819794,0.007207971066236496,0.009812414646148682,0.029458594508469105
ivf/branch,1,64,0.0,42,1944,0.30000000000000004,0.4397685185185185,0.18312387379024164,0.047839506172839504,0.19577422748719045,93.47839506172839,64.0,0.0,148.89969135802468,1.0,891.3966049382716,1065.0185185185185,1.0,0.48750000000000004,0.012345679012345678,0.012345679012345678,0.9347839506172838,0.06960448808968067,0.08200015872716904,0.029041897505521774,0.03641075454652309,0.0269585,0.033875,0.005790963768959045,0.007708091288805008,0.03395904786884785,0.03977965097874402
ivf/branch,1,64,0.1,42,1944,0.2728395061728395,0.40714506172839504,0.17413577613849057,0.04429012345679012,0.18627062666414518,94.79783950617283,64.0,6.1003086419753085,157.64506172839506,1.0,865.9135802469136,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0030864197530864196,0.9479783950617283,0.0716252252459526,0.0931122340261936,0.030291732400655746,0.039618834853172295,0.028166,0.036284849999999993,0.006041955202817917,0.010660616680979725,0.03441702574491501,0.042125117033720016
ivf/branch,1,64,0.1,43,1944,0.2700617283950617,0.4073765432098766,0.17170506562863155,0.043055555555555555,0.18111557081464488,94.62191358024691,64.0,6.08179012345679,159.12037037037038,1.0,866.3842592592592,1065.0185185185185,1.0,0.48750000000000004,0.0,0.004629629629629629,0.9462191358024692,0.06820796988904476,0.0803625676780939,0.028042122721672058,0.03645881079137325,0.026042,0.0342027,0.005667097866535187,0.007166992872953415,0.033750198781490326,0.03841612488031387
ivf/branch,1,64,0.1,44,1944,0.27314814814814814,0.4079012345679012,0.1764478809811181,0.04413580246913581,0.18836865723439797,94.50617283950618,64.0,6.066358024691358,157.27623456790124,1.0,867.675925925926,1065.0185185185185,1.0,0.48750000000000004,0.0,0.0030864197530864196,0.9450617283950616,0.06845803000032902,0.07895170710980892,0.028792070224881172,0.03595869056880474,0.02675,0.033833850000000006,0.005749985575675964,0.0072089023888111115,0.033250078558921814,0.03753500059247016
