documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
100000,0.8,mean,branch,s0725,s0367,False,9.80002302555837,9.494578171905282,10.07493129642064,False
100000,0.8,mean,keys,s0725,s0166,False,0.8726916698918145,0.856459141977068,0.8912516166252972,False
100000,0.9,mean,branch,s0593,s0367,False,13.650494033671492,13.252593795379095,14.057834039115557,False
100000,0.9,mean,keys,s0593,s0088,False,0.8855723737307836,0.8771122806938958,0.8956031698312373,False
100000,0.95,mean,branch,s0315,s0367,True,16.4065907274722,16.064110714162467,16.69709529494763,True
100000,0.95,mean,keys,s0315,s0066,True,0.928943917421413,0.9021115374754123,0.9462693895982481,False
100000,0.99,mean,branch,s0243,s0367,False,18.02134096788612,17.809422086412905,18.419440680036857,False
100000,0.99,mean,keys,s0243,s0727,False,0.9121570563814331,0.903438085239279,0.9224857789515605,False
100000,0.8,conservative,branch,s0593,s0367,True,13.650494033671492,13.252593795379095,14.057834039115557,True
100000,0.8,conservative,keys,s0593,s0088,True,0.8855723737307836,0.8771122806938958,0.8956031698312373,False
100000,0.9,conservative,branch,s0315,s0367,True,16.4065907274722,16.064110714162467,16.69709529494763,True
100000,0.9,conservative,keys,s0315,s0066,True,0.928943917421413,0.9021115374754123,0.9462693895982481,False
100000,0.95,conservative,branch,s0325,s0367,True,17.231313743549457,16.900361604153737,17.966752560890036,True
100000,0.95,conservative,keys,s0325,s0404,True,0.9313966225843736,0.9106050306827705,0.950658044016126,False
100000,0.99,conservative,branch,s0926,s0367,True,18.497788869174194,18.132176549516448,19.019600276313184,True
100000,0.99,conservative,keys,s0926,s0727,True,0.9362726488854809,0.9236267819169608,0.9420100010165091,False
1000000,0.8,mean,branch,s0773,s0105,False,77.84864585570527,69.78454860581118,85.39994573936161,False
1000000,0.8,mean,keys,s0773,s0747,False,0.433875756932292,0.4299471928345769,0.588924979000288,False
1000000,0.9,mean,branch,s0393,s0105,False,108.04815530716867,95.82739006689681,118.87555969636459,False
1000000,0.9,mean,keys,s0393,s0747,False,0.6021874196235618,0.5993481915047059,0.8116033448497748,False
1000000,0.95,mean,branch,s0361,s0105,True,126.89508299794879,112.46392402052017,140.33013860177786,True
1000000,0.95,mean,keys,s0361,s0747,True,0.7072274614611825,0.7033968960507726,0.952962904349684,False
1000000,0.99,mean,branch,s0385,s0105,False,157.18315731480703,139.20353060494918,173.26839547593715,False
1000000,0.99,mean,keys,s0385,s0747,False,0.876032724877146,0.8721578483400418,1.1834119647824939,False
1000000,0.8,conservative,branch,s0393,s0105,True,108.04815530716867,95.82739006689681,118.87555969636459,True
1000000,0.8,conservative,keys,s0393,s0747,True,0.6021874196235618,0.5993481915047059,0.8116033448497748,False
1000000,0.9,conservative,branch,s0361,s0105,True,126.89508299794879,112.46392402052017,140.33013860177786,True
1000000,0.9,conservative,keys,s0361,s0747,True,0.7072274614611825,0.7033968960507726,0.952962904349684,False
1000000,0.95,conservative,branch,s0287,s0105,True,155.73642665272214,138.05123325741326,171.66097515363842,True
1000000,0.95,conservative,keys,s0287,s0747,True,0.8679696255876259,0.8639496620147116,1.1691881500383579,False
1000000,0.99,conservative,branch,s0520,s0105,True,166.69101200536616,147.64901974789132,183.8817772183681,True
1000000,0.99,conservative,keys,s0520,s0747,True,0.9290230833519075,0.9239079676077485,1.2533027486103432,False
