target,selection,met_target,recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.9,conservative,True,0.962,0.9539875,0.9695,2.428833395242691,2.5162482168525457,2.419165801256895,2.4428123142570257,20,3,180,s0066,100000,100,keys,ivf,256,218,0,0,4,0,0,58605568,True
0.95,mean,True,0.962,0.9539875,0.9695,2.428833395242691,2.5162482168525457,2.419165801256895,2.4428123142570257,20,3,180,s0066,100000,100,keys,ivf,256,218,0,0,4,0,0,58605568,True
0.8,conservative,True,0.9075,0.8915,0.922,2.119791693985462,2.1905191708356138,2.075998130021617,2.1466546459123492,20,3,180,s0088,100000,100,keys,ivf,256,189,0,0,4,0,0,58753024,True
0.9,mean,True,0.9075,0.8915,0.922,2.119791693985462,2.1905191708356138,2.075998130021617,2.1466546459123492,20,3,180,s0088,100000,100,keys,ivf,256,189,0,0,4,0,0,58753024,True
0.8,mean,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.8,conservative,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.9,mean,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.9,conservative,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.95,mean,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.95,conservative,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.99,mean,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.99,conservative,True,1.0,1.0,1.0,0.14960439875721931,0.23521892726421353,0.13570813462138176,0.16881292685866356,20,3,180,s0105,1000000,100,branch,none,1,1,0,128,0,0,0,184844288,True
0.8,mean,False,0.6675,0.6015,0.7435125,1.5443123411387205,1.5978168463334441,1.5314302232582122,1.553187845274806,20,3,180,s0166,100000,100,keys,direct,256,136,0,0,4,0,0,58785792,True
0.99,mean,False,0.981,0.9745,0.9870125,2.478312002494931,2.6552914176136255,2.464435313595459,2.4978751316666603,20,3,180,s0243,100000,100,scan,direct,256,247,0,0,0,0,0,63012864,True
0.95,conservative,True,0.97,0.9635,0.9765,23.29885447397828,24.064728687517345,23.26883329078555,23.338709370000288,20,3,180,s0287,1000000,100,scan,ivf,16,15,0,0,0,0,0,140034048,True
