documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
10000,0.8,mean,branch,s6484,s6478,False,0.9006026598008783,0.8846550900602456,0.925531252206802,False
10000,0.8,mean,keys,s6484,s6480,False,0.8695047510223719,0.8636579661955763,0.8765752781635963,False
10000,0.9,mean,branch,s6420,s6817,True,0.9089690927777914,0.9022004372274527,0.9135342901471689,False
10000,0.9,mean,keys,s6420,s6549,True,0.854271886909393,0.8421294777200105,0.8659702555268485,False
10000,0.95,mean,branch,s6243,s6789,False,0.9169857343286459,0.9066824419208735,0.9235977674853151,False
10000,0.95,mean,keys,s6243,s6210,False,0.8699858507700788,0.8608129798090781,0.8787872093053899,False
10000,0.99,mean,branch,s6260,s6262,True,0.9158754598757526,0.8763800971705554,0.9273823674475894,False
10000,0.99,mean,keys,s6260,s6281,True,0.9077196046321534,0.8723634029593506,0.9180519225532037,False
10000,0.8,conservative,branch,s3523,s3308,True,0.9306645294982377,0.9090174804196516,0.9598922304679497,False
10000,0.8,conservative,keys,s3523,s3122,True,0.867267993381555,0.8320848017061659,0.9005274724609413,False
10000,0.9,conservative,branch,s3599,s3184,True,0.9082937090103421,0.9022059174585377,0.9158865019290817,False
10000,0.9,conservative,keys,s3599,s3833,True,0.858212273497744,0.8475320113863081,0.8694155987621371,False
10000,0.95,conservative,branch,s2952,s2961,True,0.9255172696410071,0.9178721975143298,0.9341328036384199,False
10000,0.95,conservative,keys,s2952,s3478,True,0.8552509659363222,0.8380750535974606,0.8705018004596653,False
10000,0.99,conservative,branch,s3133,s3208,True,0.9165557478250593,0.9061220928043363,0.9310280726440119,False
10000,0.99,conservative,keys,s3133,s3668,True,0.8284204547524462,0.8208190842141001,0.8350407741867328,False
100000,0.8,mean,branch,s6646,s6436,False,0.9388295476046744,0.9219921659795643,0.9665769567288137,False
100000,0.8,mean,keys,s6646,s0577,False,0.8656393566556729,0.8470369204911788,0.8919576996598665,False
100000,0.9,mean,branch,s6218,s6214,False,0.9297821448914544,0.918827453148067,0.9438143141511849,False
100000,0.9,mean,keys,s6218,s6745,False,0.8660935178014526,0.8510512387116087,0.8837902862852737,False
100000,0.95,mean,branch,s2381,s6774,False,0.9473143924025162,0.936113648259541,0.9593988843712543,False
100000,0.95,mean,keys,s2381,s6686,False,0.877344039749464,0.8527021004180859,0.8922645963727182,False
100000,0.99,mean,branch,s0046,s6809,False,0.9913386588956931,0.986848553062159,0.9955328610101676,False
100000,0.99,mean,keys,s0046,s6212,False,0.9097885094954173,0.905726474941137,0.9132735123313568,False
100000,0.8,conservative,branch,s2087,s2892,True,0.9555916791691695,0.9431406106579365,0.9730517406241801,False
100000,0.8,conservative,keys,s2087,s1189,True,0.8690345096604266,0.8577643852196805,0.8928490623426393,False
100000,0.9,conservative,branch,s2078,s1231,True,0.9510387205461255,0.9116463306478031,0.9789389763869614,False
100000,0.9,conservative,keys,s2078,s1872,True,0.8506358057670624,0.8193305988647942,0.8713756672104543,False
100000,0.95,conservative,branch,s1358,s1207,True,0.9437627131310442,0.9375725621360371,0.952269126469982,False
100000,0.95,conservative,keys,s1358,s1289,True,0.80867925189041,0.7925349848985634,0.818099147023062,False
100000,0.99,conservative,branch,s1924,s2747,True,0.9666369616638946,0.9640287295044715,0.9690100484740025,False
100000,0.99,conservative,keys,s1924,s2324,True,0.8956213874077201,0.8810284089294804,0.9088310311486214,False
1000000,0.8,mean,branch,s6225,s6772,False,0.9918772505829844,0.9805474496156268,1.0006566188647315,False
1000000,0.8,mean,keys,s6225,s6217,False,0.9398536433063057,0.9099747295574511,0.9682662673630056,False
1000000,0.9,mean,branch,s6334,s6767,False,0.9526755674000217,0.9398792128535183,0.9648719263176511,False
1000000,0.9,mean,keys,s6334,s6672,False,0.8719742183680292,0.8642470955290799,0.8817530803123226,False
1000000,0.95,mean,branch,s6640,s6793,False,0.9658426977263046,0.9566055675492291,0.9756351898244331,False
1000000,0.95,mean,keys,s6640,s6278,False,0.8616129600163756,0.8409011870049199,0.885423309570616,False
1000000,0.99,mean,branch,s6346,s6231,False,0.9388503033582363,0.9270447621209021,0.9507418225202745,False
1000000,0.99,mean,keys,s6346,s6303,False,0.8393113291775038,0.8285536641248459,0.8553802527101075,False
1000000,0.8,conservative,branch,s6027,s5919,True,0.9662363810003184,0.9454508214942348,0.9925926009372746,False
1000000,0.8,conservative,keys,s6027,s6115,True,0.8990868486352357,0.8840105180485813,0.9118338800569156,False
1000000,0.9,conservative,branch,s5641,s5640,True,0.9694595595842541,0.9532179463139637,0.9870472059217147,False
1000000,0.9,conservative,keys,s5641,s5918,True,0.8691285635474397,0.8597372064329453,0.8802341875994274,False
1000000,0.95,conservative,branch,s4940,s4143,True,0.9797407696745096,0.9683223465828066,0.998645112481677,False
1000000,0.95,conservative,keys,s4940,s4985,True,0.9067662945335158,0.8951678839790532,0.9257918527717602,False
1000000,0.99,conservative,branch,s4707,s4886,True,0.961369179260111,0.9489307037738409,0.9927363327264794,False
1000000,0.99,conservative,keys,s4707,s5367,True,0.8698677053571676,0.8522411173643505,0.8968029332946554,False
