source,case,operation,size,dimensions,step,count,p50_ms,min_ms,max_ms,live_payload_bytes
results/buffer-costs-2026-09-11,0,score,1000000,128,0,1000000,11.35325,11.084916,13.045209,24000512
results/buffer-costs-2026-09-11,1,score,512,768,0,512,0.064792,0.064042,0.065916,56320
results/buffer-costs-2026-09-11,2,score,512,512,0,512,0.044459,0.043875,0.045459,38912
results/buffer-costs-2026-09-11,3,score,128,512,0,128,0.014875,0.014083,0.015667,11264
results/buffer-costs-2026-09-11,4,score,8192,512,0,8192,0.466667,0.465166,0.48775,591872
results/buffer-costs-2026-09-11,5,score,8192,128,0,8192,0.128667,0.126084,0.131792,197120
results/buffer-costs-2026-09-11,6,score,65536,768,0,65536,5.618416,5.519375,5.810833,6818816
results/buffer-costs-2026-09-11,7,score,512,128,0,512,0.014708,0.013042,0.018083,12800
results/buffer-costs-2026-09-11,8,score,2048,128,0,2048,0.037916,0.035584,0.044042,49664
results/buffer-costs-2026-09-11,9,root,1024,0,0,0,8.4e-05,8.3e-05,0.00075,114688
results/buffer-costs-2026-09-11,9,split,1024,0,1,32842,0.0005,0.000458,0.000584,131072
results/buffer-costs-2026-09-11,9,split,1024,0,2,16256,0.0005,0.000458,0.000625,139264
results/buffer-costs-2026-09-11,9,split,1024,0,3,8242,0.000416,0.000375,0.000542,147456
results/buffer-costs-2026-09-11,9,split,1024,0,4,4117,0.000375,0.000375,0.000458,155648
results/buffer-costs-2026-09-11,9,split,1024,0,5,2024,0.000416,0.000375,0.000417,163840
results/buffer-costs-2026-09-11,9,split,1024,0,6,1012,0.000375,0.000375,0.000459,172032
results/buffer-costs-2026-09-11,9,split,1024,0,7,490,0.000375,0.000375,0.000416,180224
results/buffer-costs-2026-09-11,9,split,1024,0,8,244,0.000375,0.000375,0.000417,188416
results/buffer-costs-2026-09-11,9,split,1024,0,9,130,0.000375,0.000375,0.000375,196608
results/buffer-costs-2026-09-11,9,split,1024,0,10,72,0.000375,0.000375,0.000417,204800
results/buffer-costs-2026-09-11,9,split,1024,0,11,45,0.000375,0.000375,0.000416,212992
results/buffer-costs-2026-09-11,9,split,1024,0,12,21,0.000417,0.000375,0.000458,221184
results/buffer-costs-2026-09-11,9,split,1024,0,13,11,0.000375,0.000333,0.000417,229376
results/buffer-costs-2026-09-11,9,leaf,1024,0,13,11,0.000333,0.000333,0.000416,221184
results/buffer-costs-2026-09-11,9,release,1024,0,13,0,0.000167,0.000125,0.000208,106496
results/buffer-costs-2026-09-11,10,score,2048,512,0,2048,0.141125,0.13575,0.149584,149504
results/buffer-costs-2026-09-11,11,score,2048,768,0,2048,0.203,0.201791,0.203666,216064
results/buffer-costs-2026-09-11,12,score,8192,768,0,8192,0.752667,0.736916,0.757542,855040
results/buffer-costs-2026-09-11,13,score,1000000,256,0,1000000,27.419708,27.097333,28.431417,40001024
results/buffer-costs-2026-09-11,14,score,4000000,128,0,4000000,47.88725,45.139208,48.87925,96000512
results/buffer-costs-2026-09-11,15,score,1000000,768,0,1000000,88.851333,87.333584,89.116917,104003072
results/buffer-costs-2026-09-11,16,score,4000000,768,0,4000000,350.770959,338.045583,353.192958,416003072
results/buffer-costs-2026-09-11,17,score,65536,512,0,65536,3.538875,3.514791,3.545,4720640
results/buffer-costs-2026-09-11,18,root,156250,0,0,0,0.009125,0.008834,0.009125,17500000
results/buffer-costs-2026-09-11,18,split,156250,0,1,5001740,0.048375,0.048167,0.117958,20000000
results/buffer-costs-2026-09-11,18,split,156250,0,2,2500781,0.052958,0.048458,0.130333,21250000
results/buffer-costs-2026-09-11,18,split,156250,0,3,1252076,0.052958,0.047709,0.116125,22500000
results/buffer-costs-2026-09-11,18,split,156250,0,4,625413,0.056333,0.047625,0.252458,23750000
results/buffer-costs-2026-09-11,18,split,156250,0,5,312110,0.051916,0.047417,0.135583,25000000
results/buffer-costs-2026-09-11,18,split,156250,0,6,156259,0.049708,0.047833,0.209584,26250000
results/buffer-costs-2026-09-11,18,split,156250,0,7,78345,0.04925,0.04775,0.201334,27500000
results/buffer-costs-2026-09-11,18,split,156250,0,8,39160,0.054041,0.04875,0.173166,28750000
results/buffer-costs-2026-09-11,18,split,156250,0,9,19672,0.054625,0.049042,0.175334,30000000
results/buffer-costs-2026-09-11,18,split,156250,0,10,9753,0.053958,0.048708,0.153375,31250000
results/buffer-costs-2026-09-11,18,split,156250,0,11,4860,0.054125,0.048958,0.13,32500000
results/buffer-costs-2026-09-11,18,split,156250,0,12,2449,0.05275,0.048792,0.113834,33750000
results/buffer-costs-2026-09-11,18,split,156250,0,13,1235,0.053959,0.048458,0.108542,35000000
results/buffer-costs-2026-09-11,18,leaf,156250,0,13,1235,0.045792,0.044792,0.045917,33750000
results/buffer-costs-2026-09-11,18,release,156250,0,13,0,0.006083,0.00525,0.006583,16250000
results/buffer-costs-2026-09-11,19,score,128,128,0,128,0.005416,0.004416,0.007334,3584
results/buffer-costs-2026-09-11,20,root,64,0,0,0,4.1e-05,0.0,4.2e-05,7168
results/buffer-costs-2026-09-11,20,split,64,0,1,2039,4.2e-05,4.1e-05,0.000125,8192
results/buffer-costs-2026-09-11,20,split,64,0,2,989,4.2e-05,4.1e-05,8.4e-05,8704
results/buffer-costs-2026-09-11,20,split,64,0,3,497,4.2e-05,4.1e-05,4.2e-05,9216
results/buffer-costs-2026-09-11,20,split,64,0,4,249,4.2e-05,4.1e-05,4.2e-05,9728
results/buffer-costs-2026-09-11,20,split,64,0,5,118,4.2e-05,4.2e-05,4.2e-05,10240
results/buffer-costs-2026-09-11,20,split,64,0,6,58,4.2e-05,4.1e-05,4.2e-05,10752
results/buffer-costs-2026-09-11,20,split,64,0,7,27,4.1e-05,4.1e-05,4.2e-05,11264
results/buffer-costs-2026-09-11,20,split,64,0,8,18,4.2e-05,4.1e-05,4.2e-05,11776
results/buffer-costs-2026-09-11,20,split,64,0,9,10,4.1e-05,4.1e-05,4.2e-05,12288
results/buffer-costs-2026-09-11,20,split,64,0,10,5,4.2e-05,4.1e-05,8.4e-05,12800
results/buffer-costs-2026-09-11,20,split,64,0,11,1,4.2e-05,4.1e-05,4.2e-05,13312
results/buffer-costs-2026-09-11,20,split,64,0,12,1,4.2e-05,4.1e-05,4.2e-05,13824
results/buffer-costs-2026-09-11,20,split,64,0,13,0,4.1e-05,4.1e-05,4.2e-05,14336
results/buffer-costs-2026-09-11,20,leaf,64,0,13,0,0.0,0.0,4.1e-05,13824
results/buffer-costs-2026-09-11,20,release,64,0,13,0,0.000125,0.000125,0.000167,6656
results/buffer-costs-2026-09-11,21,score,512,256,0,512,0.02475,0.024,0.027125,21504
results/buffer-costs-2026-09-11,22,root,15625,0,0,0,0.001083,0.001041,0.001084,1750000
results/buffer-costs-2026-09-11,22,split,15625,0,1,499670,0.005459,0.005375,0.005625,2000000
results/buffer-costs-2026-09-11,22,split,15625,0,2,250271,0.005875,0.005792,0.0065,2125000
results/buffer-costs-2026-09-11,22,split,15625,0,3,125141,0.005834,0.005792,0.006125,2250000
results/buffer-costs-2026-09-11,22,split,15625,0,4,62642,0.005834,0.005833,0.006375,2375000
results/buffer-costs-2026-09-11,22,split,15625,0,5,31334,0.005834,0.005792,0.005875,2500000
results/buffer-costs-2026-09-11,22,split,15625,0,6,15805,0.005917,0.00575,0.0065,2625000
results/buffer-costs-2026-09-11,22,split,15625,0,7,7896,0.005875,0.005625,0.006417,2750000
results/buffer-costs-2026-09-11,22,split,15625,0,8,3896,0.005833,0.005584,0.005917,2875000
results/buffer-costs-2026-09-11,22,split,15625,0,9,1965,0.005833,0.00575,0.006584,3000000
results/buffer-costs-2026-09-11,22,split,15625,0,10,978,0.005833,0.005667,0.005917,3125000
results/buffer-costs-2026-09-11,22,split,15625,0,11,501,0.00575,0.005667,0.005875,3250000
results/buffer-costs-2026-09-11,22,split,15625,0,12,241,0.005875,0.00575,0.006541,3375000
results/buffer-costs-2026-09-11,22,split,15625,0,13,119,0.005833,0.0055,0.006416,3500000
results/buffer-costs-2026-09-11,22,leaf,15625,0,13,119,0.0045,0.004458,0.0045,3375000
results/buffer-costs-2026-09-11,22,release,15625,0,13,0,0.004708,0.004708,0.00475,1625000
results/buffer-costs-2026-09-11,23,root,1562500,0,0,0,0.092166,0.08925,0.093333,175000000
results/buffer-costs-2026-09-11,23,split,1562500,0,1,50001581,0.54125,0.487083,0.562417,200000000
results/buffer-costs-2026-09-11,23,split,1562500,0,2,24996665,0.505667,0.494792,0.552458,212500000
results/buffer-costs-2026-09-11,23,split,1562500,0,3,12496211,0.540208,0.519875,0.560583,225000000
results/buffer-costs-2026-09-11,23,split,1562500,0,4,6249554,0.520833,0.50375,0.538166,237500000
results/buffer-costs-2026-09-11,23,split,1562500,0,5,3125241,0.521167,0.488459,0.546917,250000000
results/buffer-costs-2026-09-11,23,split,1562500,0,6,1561138,0.50325,0.488459,0.552,262500000
results/buffer-costs-2026-09-11,23,split,1562500,0,7,779126,0.50275,0.486791,0.518875,275000000
results/buffer-costs-2026-09-11,23,split,1562500,0,8,389737,0.503291,0.487334,0.562125,287500000
results/buffer-costs-2026-09-11,23,split,1562500,0,9,195301,0.50275,0.486875,0.533459,300000000
results/buffer-costs-2026-09-11,23,split,1562500,0,10,97964,0.55,0.501541,0.566084,312500000
results/buffer-costs-2026-09-11,23,split,1562500,0,11,49086,0.500625,0.494542,0.546583,325000000
results/buffer-costs-2026-09-11,23,split,1562500,0,12,24537,0.546209,0.483458,0.594916,337500000
results/buffer-costs-2026-09-11,23,split,1562500,0,13,12305,0.543291,0.499958,0.819167,350000000
results/buffer-costs-2026-09-11,23,leaf,1562500,0,13,12305,0.46575,0.4555,0.490541,337500000
results/buffer-costs-2026-09-11,23,release,1562500,0,13,0,0.006958,0.006083,0.01,162500000
results/buffer-costs-2026-09-11,24,score,2048,256,0,2048,0.072958,0.07175,0.074958,82944
results/buffer-costs-2026-09-11,25,score,4000000,256,0,4000000,107.648125,105.59575,113.450667,160001024
results/buffer-costs-2026-09-11,26,score,65536,256,0,65536,1.899125,1.877,1.919791,2622464
results/buffer-costs-2026-09-11,27,score,4000000,512,0,4000000,226.144375,220.444,228.966875,288002048
results/buffer-costs-2026-09-11,28,score,128,256,0,128,0.008958,0.007833,0.0105,6144
results/buffer-costs-2026-09-11,29,root,15625000,0,0,0,0.939167,0.889791,0.949833,1750000000
