operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,1024,0,0,0,0.00075,0,114688,0
split,1024,0,0,1,0.000584,32842,131072,0
split,1024,0,0,2,0.0005,16256,139264,0
split,1024,0,0,3,0.000542,8242,147456,0
split,1024,0,0,4,0.000417,4117,155648,0
split,1024,0,0,5,0.000417,2024,163840,0
split,1024,0,0,6,0.000375,1012,172032,0
split,1024,0,0,7,0.000375,490,180224,0
split,1024,0,0,8,0.000375,244,188416,0
split,1024,0,0,9,0.000375,130,196608,0
split,1024,0,0,10,0.000375,72,204800,0
split,1024,0,0,11,0.000375,45,212992,0
split,1024,0,0,12,0.000375,21,221184,0
split,1024,0,0,13,0.000375,11,229376,0
leaf,1024,0,0,13,0.000416,11,221184,321717
release,1024,0,0,13,0.000208,0,106496,0
root,1024,0,1,0,0.000125,0,114688,0
split,1024,0,1,1,0.000542,32842,131072,0
split,1024,0,1,2,0.000625,16256,139264,0
split,1024,0,1,3,0.000416,8242,147456,0
split,1024,0,1,4,0.000458,4117,155648,0
split,1024,0,1,5,0.000375,2024,163840,0
split,1024,0,1,6,0.000459,1012,172032,0
split,1024,0,1,7,0.000416,490,180224,0
split,1024,0,1,8,0.000417,244,188416,0
split,1024,0,1,9,0.000375,130,196608,0
split,1024,0,1,10,0.000375,72,204800,0
split,1024,0,1,11,0.000416,45,212992,0
split,1024,0,1,12,0.000375,21,221184,0
split,1024,0,1,13,0.000417,11,229376,0
leaf,1024,0,1,13,0.000333,11,221184,321717
release,1024,0,1,13,0.000167,0,106496,0
root,1024,0,2,0,8.3e-05,0,114688,0
split,1024,0,2,1,0.000458,32842,131072,0
split,1024,0,2,2,0.0005,16256,139264,0
split,1024,0,2,3,0.000458,8242,147456,0
split,1024,0,2,4,0.000375,4117,155648,0
split,1024,0,2,5,0.000417,2024,163840,0
split,1024,0,2,6,0.000375,1012,172032,0
split,1024,0,2,7,0.000375,490,180224,0
split,1024,0,2,8,0.000375,244,188416,0
split,1024,0,2,9,0.000375,130,196608,0
split,1024,0,2,10,0.000375,72,204800,0
split,1024,0,2,11,0.000375,45,212992,0
split,1024,0,2,12,0.000458,21,221184,0
split,1024,0,2,13,0.000333,11,229376,0
leaf,1024,0,2,13,0.000333,11,221184,321717
release,1024,0,2,13,0.000125,0,106496,0
root,1024,0,3,0,8.4e-05,0,114688,0
split,1024,0,3,1,0.0005,32842,131072,0
split,1024,0,3,2,0.000542,16256,139264,0
split,1024,0,3,3,0.000375,8242,147456,0
split,1024,0,3,4,0.000375,4117,155648,0
split,1024,0,3,5,0.000375,2024,163840,0
split,1024,0,3,6,0.000375,1012,172032,0
split,1024,0,3,7,0.000375,490,180224,0
split,1024,0,3,8,0.000375,244,188416,0
split,1024,0,3,9,0.000375,130,196608,0
split,1024,0,3,10,0.000417,72,204800,0
split,1024,0,3,11,0.000416,45,212992,0
split,1024,0,3,12,0.000417,21,221184,0
split,1024,0,3,13,0.000416,11,229376,0
leaf,1024,0,3,13,0.000334,11,221184,321717
release,1024,0,3,13,0.000125,0,106496,0
root,1024,0,4,0,8.3e-05,0,114688,0
split,1024,0,4,1,0.0005,32842,131072,0
split,1024,0,4,2,0.000458,16256,139264,0
split,1024,0,4,3,0.000416,8242,147456,0
split,1024,0,4,4,0.000375,4117,155648,0
split,1024,0,4,5,0.000416,2024,163840,0
split,1024,0,4,6,0.000375,1012,172032,0
split,1024,0,4,7,0.000416,490,180224,0
split,1024,0,4,8,0.000375,244,188416,0
split,1024,0,4,9,0.000375,130,196608,0
split,1024,0,4,10,0.000375,72,204800,0
split,1024,0,4,11,0.000375,45,212992,0
split,1024,0,4,12,0.000417,21,221184,0
split,1024,0,4,13,0.000333,11,229376,0
leaf,1024,0,4,13,0.000333,11,221184,321717
release,1024,0,4,13,0.000167,0,106496,0
