source,case,operation,size,dimensions,step,count,p50_ms,min_ms,max_ms,live_payload_bytes
results/buffer-fresh-2026-09-11,0,gather_fresh,16000000,256,8,62492,8.271458,8.082875,8.7945,642001024
results/buffer-fresh-2026-09-11,1,gather_fresh,1000000,256,12,242,0.046416,0.044333,0.050459,40126024
results/buffer-fresh-2026-09-11,2,root,16,0,0,0,4.2e-05,0.0,4.2e-05,512
results/buffer-fresh-2026-09-11,2,split,16,0,1,507,8.3e-05,4.1e-05,0.000125,768
results/buffer-fresh-2026-09-11,2,split,16,0,2,250,8.3e-05,4.2e-05,0.000875,896
results/buffer-fresh-2026-09-11,2,split,16,0,3,117,8.3e-05,4.2e-05,0.000125,1024
results/buffer-fresh-2026-09-11,2,leaf,16,0,3,117,8.3e-05,4.2e-05,8.4e-05,896
results/buffer-fresh-2026-09-11,2,release,16,0,3,0,4.2e-05,4.1e-05,0.000166,384
results/buffer-fresh-2026-09-11,3,score,128,256,0,128,0.009792,0.008833,0.013041,6144
results/buffer-fresh-2026-09-11,4,gather_fresh,16000000,256,12,3900,0.875917,0.85975,0.892208,642001024
results/buffer-fresh-2026-09-11,5,gather_fresh,4000000,256,8,15593,2.078083,2.040042,2.133792,160501024
results/buffer-fresh-2026-09-11,6,gather_fresh,16000000,256,10,15653,2.3955,2.305084,2.436542,642001024
results/buffer-fresh-2026-09-11,7,gather_fresh,4000000,256,12,971,0.170375,0.165375,0.179667,160501024
results/buffer-fresh-2026-09-11,8,gather_fresh,1000000,256,10,985,0.103458,0.101791,0.115416,40126024
results/buffer-fresh-2026-09-11,9,gather_fresh,16000000,256,13,1958,0.455416,0.438916,0.501083,642001024
results/buffer-fresh-2026-09-11,10,gather_fresh,4000000,256,13,474,0.102708,0.093542,0.112667,160501024
results/buffer-fresh-2026-09-11,11,gather_fresh,1000000,256,13,119,0.022542,0.021458,0.027334,40126024
results/buffer-fresh-2026-09-11,12,gather_fresh,4000000,256,10,3871,0.539791,0.522625,0.548625,160501024
results/buffer-fresh-2026-09-11,13,gather_fresh,1000000,256,8,3917,0.41275,0.3845,0.452209,40126024
