operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,15625,0,0,0,0.001417,0,1125000,0
split,15625,0,0,1,0.0055,499670,1375000,0
split,15625,0,0,2,0.006291,250271,1500000,0
split,15625,0,0,3,0.005958,125141,1625000,0
split,15625,0,0,4,0.006041,62642,1750000,0
split,15625,0,0,5,0.005917,31334,1875000,0
split,15625,0,0,6,0.006083,15805,2000000,0
split,15625,0,0,7,0.005792,7896,2125000,0
split,15625,0,0,8,0.006,3896,2250000,0
leaf,15625,0,0,8,0.017708,3896,2125000,1937899232
release,15625,0,0,8,0.003125,0,1000000,0
root,15625,0,1,0,0.001583,0,1125000,0
split,15625,0,1,1,0.005416,499670,1375000,0
split,15625,0,1,2,0.006416,250271,1500000,0
split,15625,0,1,3,0.005875,125141,1625000,0
split,15625,0,1,4,0.007125,62642,1750000,0
split,15625,0,1,5,0.005791,31334,1875000,0
split,15625,0,1,6,0.006292,15805,2000000,0
split,15625,0,1,7,0.006,7896,2125000,0
split,15625,0,1,8,0.006292,3896,2250000,0
leaf,15625,0,1,8,0.013167,3896,2125000,1937899232
release,15625,0,1,8,0.003209,0,1000000,0
root,15625,0,2,0,0.0015,0,1125000,0
split,15625,0,2,1,0.005458,499670,1375000,0
split,15625,0,2,2,0.006959,250271,1500000,0
split,15625,0,2,3,0.005583,125141,1625000,0
split,15625,0,2,4,0.006333,62642,1750000,0
split,15625,0,2,5,0.005875,31334,1875000,0
split,15625,0,2,6,0.006,15805,2000000,0
split,15625,0,2,7,0.006,7896,2125000,0
split,15625,0,2,8,0.005958,3896,2250000,0
leaf,15625,0,2,8,0.010833,3896,2125000,1937899232
release,15625,0,2,8,0.003125,0,1000000,0
root,15625,0,3,0,0.001208,0,1125000,0
split,15625,0,3,1,0.0055,499670,1375000,0
split,15625,0,3,2,0.005958,250271,1500000,0
split,15625,0,3,3,0.005916,125141,1625000,0
split,15625,0,3,4,0.005958,62642,1750000,0
split,15625,0,3,5,0.005792,31334,1875000,0
split,15625,0,3,6,0.006,15805,2000000,0
split,15625,0,3,7,0.005958,7896,2125000,0
split,15625,0,3,8,0.006583,3896,2250000,0
leaf,15625,0,3,8,0.009375,3896,2125000,1937899232
release,15625,0,3,8,0.003167,0,1000000,0
root,15625,0,4,0,0.001292,0,1125000,0
split,15625,0,4,1,0.005583,499670,1375000,0
split,15625,0,4,2,0.005833,250271,1500000,0
split,15625,0,4,3,0.005917,125141,1625000,0
split,15625,0,4,4,0.006,62642,1750000,0
split,15625,0,4,5,0.005875,31334,1875000,0
split,15625,0,4,6,0.005958,15805,2000000,0
split,15625,0,4,7,0.005833,7896,2125000,0
split,15625,0,4,8,0.005875,3896,2250000,0
leaf,15625,0,4,8,0.008625,3896,2125000,1937899232
release,15625,0,4,8,0.003125,0,1000000,0
