method,build_ms,predicted_codes_bytes,predicted_bitplanes_bytes,predicted_directory_bytes,documents,dimensions,buckets,codes_bytes,bitplanes_bytes,row_ids_bytes,array_capacity_bytes,key_directory_payload_bytes,occupied_keys,directory_slots,logical_bytes
scan,0.05704164505004883,2048,0,0,64,256,1,2048,0,512,2560,0,0,0,2560
branch,0.05287490785121918,2048,2048,0,64,256,1,2048,2048,512,4608,0,0,0,4608
keys,0.01708371564745903,2048,0,1060,64,256,1,2048,0,512,2560,1060,53,97,3620
scan,0.004999805241823196,2080,0,0,65,256,1,2080,0,520,5120,0,0,0,2600
branch,0.0488748773932457,2080,4096,0,65,256,1,2080,4096,520,9216,0,0,0,6696
keys,0.013541895896196365,2080,0,1140,65,256,1,2080,0,520,3104,1140,57,97,3740
scan,0.016042031347751617,32768,0,0,1024,256,1,32768,0,8192,40960,0,0,0,40960
branch,0.6570420227944851,32768,32768,0,1024,256,1,32768,32768,8192,73728,0,0,0,73728
keys,0.11516734957695007,32768,0,5060,1024,256,1,32768,0,8192,40960,5060,253,397,46020
scan,0.09462516754865646,524288,0,0,16384,256,1,524288,0,131072,655360,0,0,0,655360
branch,10.757542215287685,524288,524288,0,16384,256,1,524288,524288,131072,1179648,0,0,0,1179648
keys,2.2206250578165054,524288,0,5120,16384,256,1,524288,0,131072,655360,5120,256,397,660480
