method,documents,dimensions,query,repetition,top_k,recall,request_ms,elapsed_ms,nodes,random_nodes,bitplane_words,documents_scored,leaf_words,peak_mask_bytes,key_attempts,keys_generated,peak_key_queue_bytes,stop_reason
scan,64,256,0,0,64,1.0,0.01033395528793335,0.007375,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,1,0,64,1.0,0.02354104071855545,0.012459,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,2,0,64,1.0,0.010875053703784943,0.007,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,3,0,64,1.0,0.010624993592500687,0.007667,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,4,0,64,1.0,0.010541174560785294,0.008125,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,5,0,64,1.0,0.009582843631505966,0.007167,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,6,0,64,1.0,0.008124858140945435,0.006125,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,7,0,64,1.0,0.0077500008046627045,0.005917,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,0,1,64,1.0,0.008707866072654724,0.006875,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,1,1,64,1.0,0.007458031177520752,0.005584,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,2,1,64,1.0,0.007791910320520401,0.00575,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,3,1,64,1.0,0.006874557584524155,0.005083,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,4,1,64,1.0,0.006624963134527206,0.005084,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,5,1,64,1.0,0.006624963134527206,0.005042,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,6,1,64,1.0,0.006709247827529907,0.005125,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,7,1,64,1.0,0.0064587220549583435,0.004958,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,0,2,64,1.0,0.007125083357095718,0.005458,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,1,2,64,1.0,0.006416812539100647,0.00475,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,2,2,64,1.0,0.006667338311672211,0.004958,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,3,2,64,1.0,0.0063749030232429504,0.004709,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,4,2,64,1.0,0.0063749030232429504,0.004708,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,5,2,64,1.0,0.0063749030232429504,0.004792,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,6,2,64,1.0,0.00658305361866951,0.004917,0,0,0,64,0,0,0,0,0,exhausted
scan,64,256,7,2,64,1.0,0.006332993507385254,0.004708,0,0,0,64,0,0,0,0,0,exhausted
branch,64,256,0,0,64,1.0,0.022499822080135345,0.018334,5,0,2,64,3,24,0,0,0,exhausted
branch,64,256,1,0,64,1.0,0.016500242054462433,0.012584,5,0,2,64,3,24,0,0,0,exhausted
branch,64,256,2,0,64,1.0,0.015582889318466187,0.012667,5,0,2,64,3,32,0,0,0,exhausted
branch,64,256,3,0,64,1.0,0.014584045857191086,0.011958,3,0,1,64,2,24,0,0,0,exhausted
branch,64,256,4,0,64,1.0,0.014416873455047607,0.012083,3,0,1,64,2,24,0,0,0,exhausted
branch,64,256,5,0,64,1.0,0.01433398574590683,0.012125,5,0,2,64,3,24,0,0,0,exhausted
branch,64,256,6,0,64,1.0,0.014208722859621048,0.011917,5,0,2,64,3,32,0,0,0,exhausted
branch,64,256,7,0,64,1.0,0.014374963939189911,0.011792,5,0,2,64,3,32,0,0,0,exhausted
branch,64,256,0,1,64,1.0,0.01291697844862938,0.010583,5,0,2,64,3,24,0,0,0,exhausted
