method,documents,recall,p50_ms,p95_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts
scan,64,1.0,0.0069998204708099365,0.010837544687092304,64.0,0.0,0.0,0.0
branch,64,1.0,0.012875068932771683,0.016641942784190178,64.0,1.75,2.75,0.0
keys,64,1.0,0.01372932456433773,0.019179354421794415,64.0,0.0,0.0,256.0
scan,65,1.0,0.0067909713834524155,0.007849792018532753,65.0,0.0,0.0,0.0
branch,65,1.0,0.012645497918128967,0.014208187349140644,65.0,4.0,6.0,0.0
keys,65,1.0,0.013478798791766167,0.018641888163983822,65.0,0.0,0.0,256.0
scan,1024,1.0,0.04433351568877697,0.04661455750465393,1024.0,0.0,0.0,0.0
branch,1024,1.0,0.051520997658371925,0.05800616927444935,1024.0,708.0,724.0,0.0
keys,1024,1.0,0.04983367398381233,0.05414541810750961,1024.0,0.0,0.0,256.0
scan,16384,1.0,0.4511876031756401,0.4860981833189726,16384.0,0.0,0.0,0.0
branch,16384,1.0,1.0360621381551027,1.1430061189457774,16384.0,190112.0,190368.0,0.0
keys,16384,1.0,0.4719579592347145,0.48674375284463167,16384.0,0.0,0.0,256.0
