setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,100000,branch,ivf,16,11,0,2048,0,0,0,0,0.8145,0.7925,1.350729027763009,1.3977965107187629,1,61931520
s0001,1000000,branch,ivf,16,16,0,2048,0,0,0,0,1.0,1.0,1.9182495307177305,2.568937838077545,1,171950080
s0002,100000,branch,direct,4096,3996,0,4096,0,0,0,0,0.99,0.984,3.4468125086277723,3.711155871860683,1,70008832
s0003,100000,keys,direct,256,195,0,0,12,0,0,0,0.433,,4.4831871055066586,4.904351034201682,1,64061440
s0004,100000,keys,direct,8192,8147,0,0,13,0,0,0,0.01,,4.480645526200533,4.661658289842308,1,65372160
s0005,1000000,branch,direct,256,256,0,1024,0,0,0,0,1.0,1.0,3.38560389354825,6.611837446689606,1,173883392
s0006,1000000,branch,ivf,4096,2554,0,2048,0,0,0,0,0.9,0.8859875,16.672729048877954,17.172492085956033,1,223821824
s0007,100000,keys,direct,256,136,0,0,8,0,0,0,0.801,0.7115,2.464416204020381,2.7379770297557116,1,61587456
s0008,1000000,scan,direct,256,127,0,0,0,0,0,0,0.8005,0.6914125,12.339812237769365,13.187454082071781,1,157188096
s0009,100000,branch,ivf,4096,4080,0,1024,0,0,0,0,1.0,1.0,3.264416940510273,3.4485693788155913,1,78168064
s0010,1000000,keys,ivf,256,144,0,0,4,0,0,0,0.803,0.7849875000000001,15.109687577933073,15.341641008853912,1,138559488
s0011,1000000,branch,direct,16,15,0,128,0,0,0,0,0.9625,0.9425,0.2598748542368412,2.0501315360888817,1,170000384
s0012,100000,branch,ivf,256,189,0,4096,0,0,0,0,0.902,0.888,1.950729638338089,2.0860021701082587,1,66633728
s0013,1000000,branch,direct,16,14,0,512,0,0,0,0,0.9305,0.9009875,0.6510626990348101,4.8968914430588475,1,169771008
s0014,1000000,branch,ivf,8192,8112,0,4096,0,0,0,0,1.0,1.0,28.003958286717534,28.98457159753889,1,217415680
s0015,100000,branch,sign,4096,4095,0,2048,0,0,0,0,1.0,1.0,3.2916038762778044,3.452712134458124,1,69746688
s0016,1000000,branch,sign,16,15,0,512,0,0,0,0,0.9625,0.9415,0.5925626028329134,4.499420849606391,1,169918464
s0017,100000,keys,ivf,16,11,0,0,4,0,0,0,0.8145,0.792,1.9788751378655434,2.0066900411620736,1,56770560
s0018,1000000,keys,ivf,256,213,0,0,16,0,0,0,0.038,,6.977645680308342,7.46509360615164,1,201342976
s0019,1000000,keys,direct,256,256,0,0,13,0,0,0,0.1915,,17.884979490190744,23.538389638997614,1,183828480
s0020,100000,branch,direct,16,11,0,4096,0,0,0,0,0.805,0.749,1.796833472326398,1.8974145874381065,1,61915136
s0021,1000000,keys,direct,16,11,0,0,4,0,0,0,0.828,0.7624875,18.18920811638236,18.843612517230213,1,130760704
s0022,1000000,scan,ivf,8192,5944,0,0,0,0,0,0,0.95,0.942,19.75347939878702,20.303566684015095,1,196395008
s0023,1000000,keys,direct,256,222,0,0,4,0,0,0,0.95,0.9224875,23.43500009737909,24.46908901911229,1,138182656
s0024,1000000,keys,ivf,8192,3514,0,0,4,0,0,0,0.8,0.7815,18.634062260389328,21.069700457155704,1,169656320
s0025,100000,keys,sign,4096,4095,0,0,8,0,0,0,0.361,,4.681228892877698,5.314765241928399,1,64061440
s0026,1000000,branch,ivf,256,187,0,4096,0,0,0,0,0.9025,0.889,18.523749662563205,20.438991370610893,1,190726144
s0027,1000000,keys,sign,16,16,0,0,12,0,0,0,1.0,1.0,33.25993730686605,36.157923354767256,1,135200768
s0028,1000000,keys,ivf,4096,2554,0,0,16,0,0,0,0.004,,6.081958068534732,6.567387212999165,1,216563712
s0029,1000000,keys,direct,4096,3531,0,0,4,0,0,0,0.9505,0.92,31.797937350347638,38.36626852862537,1,148733952
s0030,100000,keys,direct,4096,3996,0,0,4,0,0,0,0.99,0.984,5.179624306038022,5.712473113089799,1,61587456
s0031,1000000,branch,direct,4096,2932,0,128,0,0,0,0,0.9,0.84,7.442291360348463,19.751162361353636,1,224591872
s0032,100000,branch,ivf,16,13,0,2048,0,0,0,0,0.901,0.8855,1.6239583492279053,1.7015852965414524,1,61947904
s0033,1000000,keys,direct,4096,2932,0,0,8,0,0,0,0.461,,46.55664600431919,55.58281480334699,1,183402496
s0034,100000,branch,ivf,256,218,0,4096,0,0,0,0,0.9505,0.941,2.23529152572155,2.3969417437911034,1,66568192
s0035,1000000,branch,ivf,4096,3010,0,128,0,0,0,0,0.95,0.939,9.0123750269413,20.105956285260614,1,223608832
s0036,1000000,keys,direct,8192,6791,0,0,8,0,0,0,0.203,,26.65097895078361,30.909190024249256,1,196182016
s0037,100000,scan,direct,4096,3996,0,0,0,0,0,0,0.99,0.9845,3.14256246201694,3.238625079393387,1,61784064
s0038,1000000,keys,ivf,256,255,0,0,13,0,0,0,0.265,,17.73179159499705,21.47220999468118,1,181223424
s0039,100000,keys,direct,8192,7873,0,0,16,0,0,0,0.0015,,4.410604014992714,4.647724772803485,1,65355776
s0040,1000000,branch,direct,4096,4083,0,128,0,0,0,0,1.0,1.0,8.375124540179968,14.449723390862346,1,224346112
s0041,100000,branch,direct,8192,8147,0,512,0,0,0,0,1.0,1.0,4.444250138476491,4.599604126997292,1,78495744
s0042,1000000,keys,ivf,16,15,0,0,12,0,0,0,0.968,0.9585,16.87114592641592,32.867902354337275,1,133971968
s0043,1000000,keys,direct,8192,5708,0,0,13,0,0,0,0.0135,,7.250416558235884,7.77030885219574,1,209534976
s0044,100000,keys,direct,256,222,0,0,16,0,0,0,0.044,,3.384791547432542,3.6496875807642937,1,64372736
s0045,1000000,scan,direct,256,222,0,0,0,0,0,0,0.95,0.9205,21.56035415828228,22.073703818023205,1,157270016
s0046,100000,keys,ivf,256,256,0,0,13,0,0,0,0.264,,4.206354031339288,4.476408357731998,1,63979520
s0047,1000000,keys,sign,8192,4096,0,0,12,0,0,0,0.0305,,7.217187434434891,7.966970629058778,1,209010688
s0048,1000000,branch,direct,8192,7876,0,1024,0,0,0,0,0.99,0.9825,27.193708578124642,30.82389188930392,1,230031360
s0049,1000000,branch,direct,8192,5708,0,4096,0,0,0,0,0.9005,0.840425,20.294249523431063,24.78695116005837,1,230309888
s0050,1000000,keys,sign,16,16,0,0,16,0,0,0,0.476,,31.081499764695764,41.9386584078893,1,168476672
s0051,1000000,scan,sign,8192,4096,0,0,0,0,0,0,0.8305,0.7264875000000001,13.553458033129573,13.787591364234686,1,191299584
s0052,100000,branch,ivf,8192,6858,0,4096,0,0,0,0,0.99,0.986,3.4685409627854824,3.777139913290739,1,94650368
s0053,1000000,keys,direct,4096,4083,0,0,16,0,0,0,0.002,,6.583916721865535,7.260608859360218,1,209960960
s0054,100000,scan,ivf,8192,4173,0,0,0,0,0,0,0.9,0.8865,2.095062518492341,2.2681871661916375,1,77660160
s0055,100000,branch,sign,256,255,0,128,0,0,0,0,0.9985,0.996,1.5460830181837082,2.1845457842573524,1,66584576
s0056,1000000,branch,sign,8192,8191,0,512,0,0,0,0,1.0,1.0,27.802250115200877,28.889679186977446,1,229851136
s0057,1000000,branch,direct,8192,7876,0,512,0,0,0,0,0.99,0.9819875,27.233666740357876,30.53742074407637,1,230162432
s0058,1000000,branch,direct,256,248,0,2048,0,0,0,0,0.99,0.982,6.517708534374833,13.139128661714494,1,190529536
s0059,100000,scan,ivf,256,256,0,0,0,0,0,0,1.0,1.0,2.5614993646740913,2.7346684830263257,1,62947328
s0060,100000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,2.8733748476952314,2.9542670818045735,1,56492032
s0061,1000000,keys,ivf,256,255,0,0,12,0,0,0,0.4955,,34.01535400189459,39.03589497786015,1,173654016
s0062,100000,branch,direct,16,16,0,1024,0,0,0,0,1.0,1.0,1.3862079940736294,1.4626275282353163,1,62357504
s0063,100000,branch,ivf,16,15,0,128,0,0,0,0,0.9745,0.9655,0.4274172242730856,0.4739815369248389,1,60899328
s0064,100000,keys,ivf,8192,2877,0,0,13,0,0,0,0.0255,,3.516125027090311,3.716741665266454,1,81166336
s0065,100000,keys,direct,8192,6855,0,0,4,0,0,0,0.95,0.924,6.501124473288655,7.338818395510315,1,63307776
s0066,100000,keys,ivf,256,218,0,0,4,0,0,0,0.9505,0.9415,2.4217290338128805,2.648491971194744,1,58441728
s0067,100000,branch,sign,4096,4095,0,128,0,0,0,0,1.0,1.0,3.2000208739191294,3.257164848037064,1,68714496
s0068,1000000,keys,direct,4096,4006,0,0,13,0,0,0,0.019,,7.412875536829233,7.84733509644866,1,209125376
s0069,100000,keys,sign,256,255,0,0,8,0,0,0,0.9985,0.996,4.636562429368496,5.166702647693455,1,61718528
s0070,100000,branch,direct,16,14,0,512,0,0,0,0,0.926,0.8975,0.8587085176259279,0.9076626040041447,1,61997056
s0071,1000000,keys,direct,8192,8178,0,0,12,0,0,0,0.017,,8.279312402009964,8.784258272498846,1,209207296
s0072,1000000,keys,ivf,256,213,0,0,12,0,0,0,0.524,,31.19699959643185,37.50121700577438,1,173834240
s0073,100000,keys,ivf,8192,4173,0,0,8,0,0,0,0.4065,,4.6940206084400415,5.465654213912783,1,81264640
s0074,100000,branch,none,1,1,0,4096,0,0,0,0,1.0,1.0,0.6462498567998409,0.9294691029936073,1,62390272
s0075,1000000,keys,ivf,256,255,0,0,16,0,0,0,0.0325,,7.3908541817218065,10.154700139537454,1,201211904
s0076,100000,branch,direct,256,195,0,4096,0,0,0,0,0.9,0.8505,2.011770848184824,2.0602118456736207,1,66650112
