documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
100000,0.8,mean,branch,s0077,s0213,True,11.616080215132607,11.371293571255688,12.201292151870165,True
100000,0.8,mean,keys,s0077,s0093,True,0.7332408968070422,0.7163979492012887,0.7920235314309377,False
100000,0.9,mean,branch,s0194,s0213,True,16.87287108357439,16.543750171672638,17.018961359451293,True
100000,0.9,mean,keys,s0194,s0093,True,1.0650648838420111,1.0555884760160856,1.0771425707477025,True
100000,0.95,mean,branch,s0194,s0213,True,16.87287108357439,16.543750171672638,17.018961359451293,True
100000,0.95,mean,keys,s0194,s0222,True,0.9282343558772422,0.9208459665461229,0.9364183857469061,False
100000,0.99,mean,branch,s0094,s0213,True,19.177849270348926,18.782012145564682,19.931420220100698,True
100000,0.99,mean,keys,s0094,s0169,True,0.9314001102073323,0.8811408494168145,0.9730142099391532,False
100000,0.8,conservative,branch,s0018,s0213,True,13.750281984398326,13.535929904199278,13.839211347797594,True
100000,0.8,conservative,keys,s0018,s0093,True,0.8679579433736586,0.8582093153790157,0.882092817711143,False
100000,0.9,conservative,branch,s0194,s0213,True,16.87287108357439,16.543750171672638,17.018961359451293,True
100000,0.9,conservative,keys,s0194,s0222,True,0.9282343558772422,0.9208459665461229,0.9364183857469061,False
100000,0.95,conservative,branch,s0194,s0213,True,16.87287108357439,16.543750171672638,17.018961359451293,True
100000,0.95,conservative,keys,s0194,s0168,True,0.8782002143032442,0.8730955973768223,0.8882035077248955,False
100000,0.99,conservative,branch,s0094,s0213,True,19.177849270348926,18.782012145564682,19.931420220100698,True
100000,0.99,conservative,keys,s0094,s0169,True,0.9314001102073323,0.8811408494168145,0.9730142099391532,False
1000000,0.8,mean,branch,s0037,s0081,False,80.1532262219074,78.20491565609666,83.38406992885146,False
1000000,0.8,mean,keys,s0037,s0123,False,0.7923525247773398,0.4088345298335551,0.8132930194236776,False
1000000,0.9,mean,branch,s0041,s0081,False,111.44620387661794,109.11866738711983,115.59313984242556,False
1000000,0.9,mean,keys,s0041,s0123,False,1.1016983991887406,0.569266733757434,1.1281752907726632,False
1000000,0.95,mean,branch,s0223,s0081,False,137.68459173159894,134.54474023683895,145.1564268373476,False
1000000,0.95,mean,keys,s0223,s0123,False,1.3610772644314595,0.7031739763585428,1.4155769221546937,False
1000000,0.99,mean,branch,s0007,s0081,True,172.33150396033227,169.14871156886565,177.22816510081063,True
1000000,0.99,mean,keys,s0007,s0123,True,1.703578367308744,0.8809947469195053,1.74358473719742,False
1000000,0.8,conservative,branch,s0008,s0081,True,112.61215306845257,110.22970481238131,117.23888018693182,True
1000000,0.8,conservative,keys,s0008,s0123,True,1.1132243580235675,0.5751959567543967,1.144430224248003,False
1000000,0.9,conservative,branch,s0223,s0081,True,137.68459173159894,134.54474023683895,145.1564268373476,True
1000000,0.9,conservative,keys,s0223,s0123,True,1.3610772644314595,0.7031739763585428,1.4155769221546937,False
1000000,0.95,conservative,branch,s0055,s0081,True,160.9358088093245,157.87300557416518,166.09080814504463,True
1000000,0.95,conservative,keys,s0055,s0123,True,1.590926534686366,0.8223077260893732,1.6261627138993617,False
1000000,0.99,conservative,branch,s0007,s0081,True,172.33150396033227,169.14871156886565,177.22816510081063,True
1000000,0.99,conservative,keys,s0007,s0123,True,1.703578367308744,0.8809947469195053,1.74358473719742,False
