recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.9995,0.9985,1.0,24.92345799691975,26.06034104246646,24.808124639093876,25.065934302983806,20,3,180,s0007,1000000,100,scan,ivf,256,255,0,0,0,0,0,157466624,True
0.8965,0.884,0.9085,16.286541940644383,16.892620432190597,16.200333600863814,16.481625149026513,20,3,180,s0008,1000000,100,scan,ivf,8192,4920,0,0,0,0,0,196313088,True
0.8935,0.8835,0.904,1.8250620923936367,1.8952388782054186,1.8124580383300781,1.837708055973053,20,3,180,s0018,100000,100,scan,ivf,4096,2361,0,0,0,0,0,69861376,True
0.7905,0.7689875,0.8115,11.5921669639647,11.926718777976928,11.48829166777432,11.70095894485712,20,3,180,s0037,1000000,100,scan,ivf,16384,6359,0,0,0,0,0,206684160,True
0.8985,0.8845,0.9115125,16.11791644245386,16.759875090792775,16.041437396779656,16.23691711574793,20,3,180,s0041,1000000,100,scan,ivf,16384,8935,0,0,0,0,0,207011840,True
0.97,0.9609875,0.979,23.275354644283652,24.389816354960203,23.24337512254715,23.32079177722335,20,3,180,s0055,1000000,100,scan,ivf,16,15,0,0,0,0,0,139689984,True
0.8135,0.796,0.829,1.54179148375988,1.8319851718842983,1.5100905671715736,1.6522091813385484,20,3,180,s0077,100000,100,scan,ivf,16384,3570,0,0,0,0,0,95272960,True
1.0,1.0,1.0,0.14462508261203766,0.30225003138183126,0.14004064723849297,0.14745770022273064,20,3,180,s0081,1000000,100,branch,none,1,1,0,160,0,0,0,185024512,True
0.904,0.891,0.9185,2.102707978338003,2.150010666809976,2.0827882748562843,2.1155208814889193,20,3,180,s0093,100000,100,keys,ivf,256,189,0,0,4,0,0,58851328,True
1.0,1.0,1.0,2.5454580318182707,2.696920558810234,2.5364161119796336,2.6355839800089598,20,3,180,s0094,100000,100,scan,direct,16,16,0,0,0,0,0,58572800,True
1.0,1.0,1.0,14.630062505602837,29.49484884738922,14.311525254743174,28.350166976451874,20,3,180,s0123,1000000,100,keys,none,1,1,0,0,14,0,0,136839168,True
0.9805,0.975,0.9865,2.5501251220703125,2.706994325853884,2.5161253288388252,2.5681459810584784,20,3,180,s0168,100000,100,keys,ivf,16,15,0,0,4,0,0,56967168,True
1.0,1.0,1.0,2.7329372242093086,2.9480917379260063,2.693998464383185,2.8883330523967743,20,3,180,s0169,100000,100,keys,none,1,1,0,0,8,0,0,56524800,True
0.9615,0.953,0.9695,2.239520428702235,2.3499040864408016,2.228874946013093,2.2545773768797517,20,3,180,s0194,100000,100,scan,ivf,256,218,0,0,0,0,0,63193088,True
1.0,1.0,1.0,0.1327290665358305,0.19626482389867292,0.13172929175198078,0.13562478125095367,20,3,180,s0213,100000,100,branch,none,1,1,0,160,0,0,0,63127552,True
0.9615,0.953,0.9695,2.4126670323312283,2.4809779366478324,2.401831408496946,2.422667108476162,20,3,180,s0222,100000,100,keys,ivf,256,218,0,0,4,0,0,58916864,True
0.946,0.935,0.957,19.912645453587174,20.952371088787913,19.77208043099381,20.413166377693415,20,3,180,s0223,1000000,100,scan,ivf,16384,11087,0,0,0,0,0,206569472,True
