selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s0077,100000,scan,ivf,16384,3570,0,0,0,0,0,0,0.80025,0.7885,1.5389586333185434,1.7053839983418584,1,95223808
conservative,0.8,s0018,100000,scan,ivf,4096,2361,0,0,0,0,0,0,0.8895,0.88,1.860145479440689,1.9223065115511417,1,70172672
mean,0.8,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
conservative,0.8,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
mean,0.8,s0093,100000,keys,ivf,256,189,0,0,4,0,0,0,0.90475,0.89499375,2.0776663441210985,2.127346396446228,1,58425344
conservative,0.8,s0093,100000,keys,ivf,256,189,0,0,4,0,0,0,0.90475,0.89499375,2.0776663441210985,2.127346396446228,1,58425344
mean,0.9,s0194,100000,scan,ivf,256,218,0,0,0,0,0,0,0.95625,0.95,2.203479176387191,2.327606384642422,1,62898176
conservative,0.9,s0194,100000,scan,ivf,256,218,0,0,0,0,0,0,0.95625,0.95,2.203479176387191,2.327606384642422,1,62898176
mean,0.9,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
conservative,0.9,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
mean,0.9,s0093,100000,keys,ivf,256,189,0,0,4,0,0,0,0.90475,0.89499375,2.0776663441210985,2.127346396446228,1,58425344
conservative,0.9,s0222,100000,keys,ivf,256,218,0,0,4,0,0,0,0.95625,0.94975,2.4254375603049994,2.523422450758517,1,58474496
mean,0.95,s0194,100000,scan,ivf,256,218,0,0,0,0,0,0,0.95625,0.95,2.203479176387191,2.327606384642422,1,62898176
conservative,0.95,s0194,100000,scan,ivf,256,218,0,0,0,0,0,0,0.95625,0.95,2.203479176387191,2.327606384642422,1,62898176
mean,0.95,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
conservative,0.95,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
mean,0.95,s0222,100000,keys,ivf,256,218,0,0,4,0,0,0,0.95625,0.94975,2.4254375603049994,2.523422450758517,1,58474496
conservative,0.95,s0168,100000,keys,ivf,16,15,0,0,4,0,0,0,0.97325,0.96749375,2.54341633990407,2.684516226872802,1,56950784
mean,0.99,s0094,100000,scan,direct,16,16,0,0,0,0,0,0,1.0,1.0,2.574875019490719,2.6956732850521803,1,57786368
conservative,0.99,s0094,100000,scan,direct,16,16,0,0,0,0,0,0,1.0,1.0,2.574875019490719,2.6956732850521803,1,57786368
mean,0.99,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
conservative,0.99,s0213,100000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.13791699893772602,0.1862374600023031,1,62963712
mean,0.99,s0169,100000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,2.706874394789338,2.870451472699642,1,56360960
conservative,0.99,s0169,100000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,2.706874394789338,2.870451472699642,1,56360960
mean,0.8,s0037,1000000,scan,ivf,16384,6359,0,0,0,0,0,0,0.8,0.78825,11.505208676680923,11.722087394446135,1,206602240
conservative,0.8,s0008,1000000,scan,ivf,8192,4920,0,0,0,0,0,0,0.89925,0.89075,15.896875178441405,16.704043373465538,1,196493312
mean,0.8,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
conservative,0.8,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
mean,0.8,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
conservative,0.8,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
mean,0.9,s0041,1000000,scan,ivf,16384,8935,0,0,0,0,0,0,0.9,0.89075,16.05700026266277,16.746077872812748,1,206569472
conservative,0.9,s0223,1000000,scan,ivf,16384,11087,0,0,0,0,0,0,0.95,0.943,19.80637456290424,20.084406319074333,1,206700544
mean,0.9,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
conservative,0.9,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
mean,0.9,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
conservative,0.9,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
mean,0.95,s0223,1000000,scan,ivf,16384,11087,0,0,0,0,0,0,0.95,0.943,19.80637456290424,20.084406319074333,1,206700544
conservative,0.95,s0055,1000000,scan,ivf,16,15,0,0,0,0,0,0,0.969,0.96325,23.737520445138216,24.801337998360395,1,137560064
mean,0.95,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
conservative,0.95,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
mean,0.95,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
conservative,0.95,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
mean,0.99,s0007,1000000,scan,ivf,256,255,0,0,0,0,0,0,0.99975,0.99925,24.646103847771883,26.316208369098604,1,157237248
conservative,0.99,s0007,1000000,scan,ivf,256,255,0,0,0,0,0,0,0.99975,0.99925,24.646103847771883,26.316208369098604,1,157237248
mean,0.99,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
conservative,0.99,s0081,1000000,branch,none,1,1,0,160,0,0,0,0,1.0,1.0,0.1400001347064972,0.15186083037406206,1,184942592
mean,0.99,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
conservative,0.99,s0123,1000000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,15.351291513070464,30.02200156915933,1,136658944
