setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,1000000,branch,direct,16384,16374,0,160,0,0,0,0,1.0,1.0,31.597166787832975,32.71455655340105,1,236683264
s0001,100000,keys,direct,16384,16343,0,0,14,0,0,0,0.0035,,5.684542236849666,6.094012758694588,1,67338240
s0002,1000000,keys,direct,16384,14234,0,0,14,0,0,0,0.00175,,8.495020912960172,9.787657111883163,1,211419136
s0003,1000000,keys,ivf,16384,6359,0,0,12,0,0,0,0.01675,,7.007292006164789,7.420668378472328,1,242761728
s0004,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,26.16399945691228,27.211970975622535,1,136085504
s0005,100000,branch,ivf,16384,16336,0,64,0,0,0,0,1.0,1.0,5.61412563547492,6.1843643663451076,1,128188416
s0006,100000,scan,direct,16384,16343,0,0,0,0,0,0,1.0,1.0,5.567228887230158,6.226266874000429,1,62898176
s0007,1000000,scan,ivf,256,255,0,0,0,0,0,0,0.99975,0.99925,24.646103847771883,26.316208369098604,1,157237248
s0008,1000000,scan,ivf,8192,4920,0,0,0,0,0,0,0.89925,0.89075,15.896875178441405,16.704043373465538,1,196493312
s0009,1000000,branch,direct,16384,8461,0,160,0,0,0,0,0.8,0.72895625,16.351958503946662,17.21103354357183,1,236732416
s0010,100000,keys,direct,16384,9017,0,0,13,0,0,0,0.00675,,4.6330413315445185,4.884520755149424,1,67354624
s0011,100000,keys,sign,16384,16348,0,0,4,0,0,0,1.0,1.0,9.317520773038268,10.237581306137145,1,66666496
s0012,1000000,scan,direct,16384,12246,0,0,0,0,0,0,0.9,0.863,21.804375108331442,22.910385439172387,1,191905792
s0013,100000,branch,sign,16384,16348,0,256,0,0,0,0,1.0,1.0,5.3623749408870935,5.878339405171573,1,96288768
s0014,1000000,keys,direct,16384,16374,0,0,14,0,0,0,0.00125,,9.164291433990002,9.818047587759793,1,211501056
s0015,1000000,branch,ivf,16384,14427,0,128,0,0,0,0,0.99,0.9865,26.990770595148206,28.347277152352035,1,250314752
s0016,100000,keys,ivf,16384,16336,0,0,14,0,0,0,0.00275,,4.817707929760218,5.148625583387911,1,99713024
s0017,100000,keys,direct,16384,15971,0,0,12,0,0,0,0.01025,,5.761666921898723,6.161710852757096,1,67452928
s0018,100000,scan,ivf,4096,2361,0,0,0,0,0,0,0.8895,0.88,1.860145479440689,1.9223065115511417,1,70172672
s0019,1000000,branch,ivf,16384,16270,0,64,0,0,0,0,1.0,1.0,27.266999939456582,28.75846652314067,1,250445824
s0020,100000,keys,ivf,16384,16336,0,0,12,0,0,0,0.00975,,4.892875207588077,5.992622603662312,1,99827712
s0021,1000000,keys,ivf,16384,8935,0,0,4,0,0,0,0.9,0.89049375,36.979250609874725,45.9953777724877,1,195608576
s0022,1000000,keys,direct,16384,12246,0,0,14,0,0,0,0.00225,,8.142645936459303,8.852356905117631,1,211533824
s0023,100000,scan,ivf,16384,8524,0,0,0,0,0,0,0.95,0.94325,2.928208326920867,3.20205872412771,1,95141888
s0024,1000000,keys,sign,16384,16383,0,0,12,0,0,0,0.00825,,8.118812693282962,8.704910962842405,1,210960384
s0025,1000000,branch,ivf,16384,8935,0,160,0,0,0,0,0.9,0.8905,17.035604221746325,18.085196241736412,1,250298368
s0026,1000000,scan,direct,16384,16374,0,0,0,0,0,0,1.0,1.0,29.124041786417365,29.87883510068059,1,192102400
s0027,1000000,keys,ivf,16384,11087,0,0,13,0,0,0,0.00625,,7.91575014591217,8.47598526161164,1,243318784
s0028,1000000,keys,direct,16384,8461,0,0,13,0,0,0,0.00775,,7.579458644613624,7.99120191950351,1,211386368
s0029,1000000,keys,none,1,1,0,0,4,0,0,0,1.0,1.0,26.32258296944201,26.685487665235996,1,135708672
s0030,100000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,2.8116668108850718,2.936129318550229,1,56836096
s0031,1000000,keys,ivf,16384,16270,0,0,14,0,0,0,0.00175,,8.162937592715025,8.73219829518348,1,243449856
s0032,100000,keys,ivf,16384,12430,0,0,13,0,0,0,0.007,,4.864458693191409,5.2925788797438145,1,99942400
s0033,1000000,branch,direct,16384,8461,0,128,0,0,0,0,0.8,0.72849375,16.52981247752905,17.216852097772062,1,236388352
s0034,1000000,keys,ivf,16384,16270,0,0,13,0,0,0,0.005,,8.235541405156255,8.742924453690648,1,243318784
s0035,100000,branch,direct,16384,9017,0,160,0,0,0,0,0.8,0.7385,3.7298749666661024,4.740208154544234,1,96731136
s0036,1000000,branch,direct,16384,12246,0,256,0,0,0,0,0.9,0.86425,23.85139651596546,24.788777576759458,1,236290048
s0037,1000000,scan,ivf,16384,6359,0,0,0,0,0,0,0.8,0.78825,11.505208676680923,11.722087394446135,1,206602240
s0038,100000,keys,ivf,16384,6095,0,0,14,0,0,0,0.0065,,4.031479824334383,4.37930035404861,1,99647488
s0039,1000000,branch,sign,16384,16383,0,160,0,0,0,0,1.0,1.0,30.032583512365818,31.21837736107409,1,236339200
