selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s0072,100000,scan,direct,8192,12,0,0,0,0,0,0,0.86225,0.851,0.019707949832081795,0.024962658062577244,1,61849600
conservative,0.8,s0072,100000,scan,direct,8192,12,0,0,0,0,0,0,0.86225,0.851,0.019707949832081795,0.024962658062577244,1,61849600
mean,0.8,s0112,100000,branch,direct,8192,12,0,512,0,0,0,0,0.86225,0.85025,0.01985440030694008,0.02493786159902811,1,78725120
conservative,0.8,s0112,100000,branch,direct,8192,12,0,512,0,0,0,0,0.86225,0.85025,0.01985440030694008,0.02493786159902811,1,78725120
mean,0.8,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
conservative,0.8,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
mean,0.9,s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
conservative,0.9,s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
mean,0.9,s0075,100000,branch,direct,16384,25,0,128,0,0,0,0,0.9135,0.906,0.02160412259399891,0.030214176513254642,1,96665600
conservative,0.9,s0075,100000,branch,direct,16384,25,0,128,0,0,0,0,0.9135,0.906,0.02160412259399891,0.030214176513254642,1,96665600
mean,0.9,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
conservative,0.9,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
mean,0.95,s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
conservative,0.95,s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
mean,0.95,s0080,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.022313091903924942,0.02751857973635196,1,77381632
conservative,0.95,s0080,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.022313091903924942,0.02751857973635196,1,77381632
mean,0.95,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
conservative,0.95,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
mean,0.99,s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
conservative,0.99,s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
mean,0.99,s0080,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.022313091903924942,0.02751857973635196,1,77381632
conservative,0.99,s0080,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.022313091903924942,0.02751857973635196,1,77381632
mean,0.99,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
conservative,0.99,s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
mean,0.8,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
conservative,0.8,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
mean,0.8,s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
conservative,0.8,s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
mean,0.8,s0109,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013229204341769218,0.019638962112367146,1,136282112
conservative,0.8,s0109,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013229204341769218,0.019638962112367146,1,136282112
mean,0.9,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
conservative,0.9,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
mean,0.9,s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
conservative,0.9,s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
mean,0.9,s0109,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013229204341769218,0.019638962112367146,1,136282112
conservative,0.9,s0109,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013229204341769218,0.019638962112367146,1,136282112
mean,0.95,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
conservative,0.95,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
mean,0.95,s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
conservative,0.95,s0172,1000000,branch,direct,16384,2,0,128,0,0,0,0,0.99975,0.99925,0.01627020537853241,0.01952897291630506,1,236371968
mean,0.95,s0109,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013229204341769218,0.019638962112367146,1,136282112
conservative,0.95,s0109,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013229204341769218,0.019638962112367146,1,136282112
mean,0.99,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
conservative,0.99,s0093,1000000,scan,direct,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.015500467270612717,0.019279122352600098,1,192102400
