setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,1000000,branch,direct,16384,3,0,64,0,0,0,0,1.0,1.0,0.020937994122505188,0.02695431467145681,1,221396992
s0001,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016874633729457855,0.02283488865941763,1,56852480
s0002,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14395802281796932,0.18415637314319608,1,184942592
s0003,100000,keys,direct,16384,22,0,0,12,0,0,0,0.81875,0.80525,0.502000330016017,0.5772326607257128,1,67731456
s0004,1000000,keys,sign,16384,15,0,0,13,0,0,0,1.0,1.0,1.0317291598767042,1.1704415548592806,1,211337216
s0005,1000000,keys,sign,16384,2,0,0,14,0,0,0,0.99975,0.99925,0.8586877956986427,0.9031289722770452,1,211501056
s0006,1000000,keys,direct,16384,2,0,0,13,0,0,0,0.99975,0.99925,0.38004200905561447,0.4123216029256582,1,211353600
s0007,1000000,branch,ivf,16384,6398,0,128,0,0,0,0,0.8,0.78649375,12.391333002597094,12.982061551883817,1,250626048
s0008,100000,keys,ivf,16384,15144,0,0,4,0,0,0,1.0,1.0,3.826791187748313,4.506077617406845,1,98582528
s0009,100000,keys,direct,16384,28,0,0,13,0,0,0,1.0,1.0,1.1178120039403439,1.26480667386204,1,67485696
s0010,1000000,branch,direct,16384,2,0,64,0,0,0,0,0.99975,0.99925,0.01704157330095768,0.02237663138657808,1,236486656
s0011,100000,keys,ivf,16384,7899,0,0,4,0,0,0,0.95,0.9445,2.539978828281164,2.804439421743154,1,98304000
s0012,1000000,scan,sign,16384,2,0,0,0,0,0,0,0.99975,0.99925,0.0791456550359726,0.08414788171648979,1,191774720
s0013,100000,keys,none,1,1,0,0,14,0,0,0,1.0,1.0,0.01829070970416069,0.024146516807377335,1,57638912
s0014,1000000,keys,ivf,16384,14326,0,0,12,0,0,0,0.99,0.98725,1.9520623609423637,2.3802146315574517,1,242778112
s0015,1000000,keys,ivf,16384,9126,0,0,13,0,0,0,0.9,0.8907437500000001,1.59933278337121,5.158231966197491,1,243204096
s0016,100000,keys,direct,16384,25,0,0,13,0,0,0,0.9135,0.90499375,1.0180834215134382,1.1398397851735353,1,67584000
s0017,100000,keys,ivf,16384,15144,0,0,14,0,0,0,0.68175,,4.784833639860153,5.16002681106329,1,99778560
s0018,1000000,keys,ivf,16384,11030,0,0,12,0,0,0,0.95,0.94399375,1.752479001879692,5.611614766530693,1,242974720
s0019,1000000,branch,ivf,16384,11030,0,64,0,0,0,0,0.95,0.94425,19.01712571270764,22.144718165509403,1,250363904
s0020,1000000,branch,sign,16384,15,0,128,0,0,0,0,1.0,1.0,0.11210399679839611,0.12267907150089741,1,221003776
s0021,100000,keys,sign,16384,16334,0,0,12,0,0,0,0.006,,4.588646115735173,4.860990936867893,1,67616768
s0022,1000000,branch,ivf,16384,16233,0,64,0,0,0,0,1.0,1.0,27.218208415433764,29.387783911079165,1,250478592
s0023,1000000,keys,ivf,16384,6398,0,0,4,0,0,0,0.8,0.78675,9.859999874606729,12.058117729611695,1,195559424
s0024,1000000,branch,sign,16384,2,0,64,0,0,0,0,0.99975,0.99925,0.0860830768942833,0.09742423426359892,1,221020160
s0025,1000000,keys,sign,16384,15,0,0,14,0,0,0,1.0,1.0,1.9616668578237295,2.1475997753441334,1,211238912
s0026,1000000,keys,ivf,16384,16233,0,0,14,0,0,0,1.0,1.0,2.500229049474001,2.7202350785955787,1,243712000
s0027,1000000,branch,ivf,16384,14326,0,64,0,0,0,0,0.99,0.98725,24.265021085739136,26.582595752552148,1,250429440
s0028,100000,scan,direct,16384,27,0,0,0,0,0,0,0.97175,0.96625,0.02187490463256836,0.03297894727438688,1,63193088
s0029,1000000,keys,sign,16384,15,0,0,4,0,0,0,1.0,1.0,0.12760399840772152,0.13887898530811071,1,164036608
s0030,1000000,scan,ivf,16384,11030,0,0,0,0,0,0,0.95,0.94425,19.65631265193224,20.17563972622156,1,206684160
s0031,100000,keys,ivf,16384,11676,0,0,13,0,0,0,0.99,0.987,3.3755411859601736,3.5839437739923596,1,99647488
s0032,100000,branch,ivf,16384,5544,0,64,0,0,0,0,0.9,0.89025,2.4010210763663054,2.540121041238308,1,129007616
s0033,100000,branch,ivf,16384,7899,0,64,0,0,0,0,0.95,0.944,3.2032085582613945,3.3974124817177653,1,129007616
s0034,1000000,branch,none,1,1,0,256,0,0,0,0,1.0,1.0,0.14695897698402405,0.16687312163412568,1,185057280
s0035,100000,keys,direct,16384,25,0,0,14,0,0,0,0.63625,,1.2985626235604286,1.4495845418423414,1,67420160
s0036,1000000,scan,ivf,16384,14326,0,0,0,0,0,0,0.99,0.9875,25.249228812754154,26.061493391171098,1,206716928
s0037,1000000,branch,direct,16384,3,0,128,0,0,0,0,1.0,1.0,0.01895846799015999,0.023010117001831528,1,236470272
s0038,100000,scan,direct,16384,28,0,0,0,0,0,0,1.0,1.0,0.02252054400742054,0.03222478553652763,1,62963712
s0039,1000000,keys,sign,16384,2,0,0,13,0,0,0,0.99975,0.99925,0.4485626704990864,0.4787706770002842,1,211124224
s0040,100000,branch,ivf,16384,3375,0,64,0,0,0,0,0.8,0.787,1.665604067966342,1.7690540989860892,1,128647168
s0041,1000000,keys,ivf,16384,14326,0,0,4,0,0,0,0.99,0.9875,6.126603810116649,9.087086166255137,1,195854336
s0042,1000000,branch,none,1,1,0,64,0,0,0,0,1.0,1.0,0.20081247203052044,0.2488140249624848,1,185401344
s0043,100000,keys,ivf,16384,3375,0,0,4,0,0,0,0.8,0.787,1.4787709806114435,1.605556230060756,1,98566144
s0044,1000000,keys,direct,16384,2,0,0,4,0,0,0,0.99975,0.99925,0.01704227179288864,0.02138609997928142,1,164216832
s0045,1000000,branch,ivf,16384,14326,0,128,0,0,0,0,0.99,0.9875,27.255124878138304,28.519719978794456,1,250494976
s0046,1000000,keys,ivf,16384,9126,0,0,4,0,0,0,0.9,0.8907437500000001,4.691479029133916,16.067603486590087,1,195624960
s0047,100000,branch,direct,16384,28,0,64,0,0,0,0,1.0,1.0,0.024624867364764214,0.03467486239969728,1,96403456
s0048,100000,keys,direct,16384,22,0,0,13,0,0,0,0.81875,0.805,0.971292145550251,1.1351867578923702,1,67420160
s0049,100000,branch,ivf,16384,15144,0,64,0,0,0,0,1.0,1.0,5.560896126553416,6.2475413316860795,1,128598016
s0050,100000,keys,none,1,1,0,0,4,0,0,0,1.0,1.0,0.8957292884588242,0.9220310719683766,1,56508416
s0051,100000,keys,ivf,16384,3375,0,0,14,0,0,0,0.8,0.78825,1.8581871408969164,1.9402474630624056,1,99762176
s0052,100000,keys,ivf,16384,3375,0,0,13,0,0,0,0.8,0.78699375,1.3187297154217958,1.4065982308238745,1,99762176
s0053,1000000,branch,sign,16384,2,0,128,0,0,0,0,0.99975,0.99924375,0.08570798672735691,0.09333926718682051,1,236257280
s0054,1000000,keys,sign,16384,15,0,0,12,0,0,0,1.0,1.0,0.5855001509189606,0.6488810526207089,1,210927616
s0055,1000000,scan,direct,16384,3,0,0,0,0,0,0,1.0,1.0,0.017750076949596405,0.02164985053241253,1,192118784
s0056,100000,scan,ivf,16384,3375,0,0,0,0,0,0,0.8,0.78775,1.4647296629846096,1.588878850452602,1,94519296
s0057,1000000,keys,direct,16384,3,0,0,12,0,0,0,1.0,1.0,0.23456267081201077,0.2512312727048993,1,211238912
s0058,100000,keys,sign,16384,16334,0,0,13,0,0,0,0.00275,,4.836146254092455,5.049445852637291,1,67780608
s0059,1000000,keys,direct,16384,2,0,0,12,0,0,0,0.99975,0.99925,0.20254147239029408,0.22034987341612577,1,211320832
s0060,100000,branch,direct,16384,22,0,64,0,0,0,0,0.81875,0.80474375,0.022791791707277298,0.029830960556864735,1,96747520
s0061,1000000,branch,sign,16384,15,0,256,0,0,0,0,1.0,1.0,0.1132497563958168,0.12173717841506004,1,236535808
s0062,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02083275467157364,0.027233129367232316,1,136118272
s0063,100000,keys,sign,16384,16334,0,0,14,0,0,0,0.0015,,5.0547500140964985,5.170321557670832,1,67584000
s0064,1000000,keys,ivf,16384,14326,0,0,13,0,0,0,0.99,0.98775,2.0612289663404226,5.1133173052221474,1,243040256
s0065,100000,keys,ivf,16384,5544,0,0,12,0,0,0,0.9,0.89049375,1.9150834996253252,2.0111874444410205,1,99762176
s0066,100000,keys,ivf,16384,11676,0,0,12,0,0,0,0.99,0.98725,3.2813751604408026,3.5352378617972136,1,99860480
s0067,100000,scan,direct,16384,25,0,0,0,0,0,0,0.9135,0.90525,0.02141646109521389,0.03009981010109186,1,62963712
s0068,100000,keys,direct,16384,22,0,0,14,0,0,0,0.637,,1.397791551426053,1.5838482649996877,1,67403776
s0069,100000,branch,ivf,16384,3375,0,256,0,0,0,0,0.8,0.78674375,1.5874169766902924,1.760616758838296,1,128385024
s0070,100000,scan,ivf,16384,7899,0,0,0,0,0,0,0.95,0.94425,2.8056874871253967,3.3925024326890707,1,95387648
s0071,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.020395498722791672,0.025224545970559117,1,61521920
s0072,100000,scan,direct,8192,12,0,0,0,0,0,0,0.86225,0.851,0.019707949832081795,0.024962658062577244,1,61849600
