selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s0216,100000,scan,direct,8192,12,0,0,0,0,0,0,0.854,0.8385,0.019103987142443657,0.025837635621428486,1,61358080
conservative,0.8,s0216,100000,scan,direct,8192,12,0,0,0,0,0,0,0.854,0.8385,0.019103987142443657,0.025837635621428486,1,61358080
mean,0.8,s0422,100000,branch,direct,8192,12,0,512,0,0,0,0,0.854,0.8385,0.01985440030694008,0.028280587866902344,1,77299712
conservative,0.8,s0422,100000,branch,direct,8192,12,0,512,0,0,0,0,0.854,0.8385,0.01985440030694008,0.028280587866902344,1,77299712
mean,0.8,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
conservative,0.8,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
mean,0.9,s0219,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.01941714435815811,0.026456499472260465,1,61489152
conservative,0.9,s0219,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.01941714435815811,0.026456499472260465,1,61489152
mean,0.9,s0273,100000,branch,direct,8192,13,0,1024,0,0,0,0,0.9345,0.923,0.02141715958714485,0.02991957589983939,1,78184448
conservative,0.9,s0273,100000,branch,direct,8192,13,0,1024,0,0,0,0,0.9345,0.923,0.02141715958714485,0.02991957589983939,1,78184448
mean,0.9,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
conservative,0.9,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
mean,0.95,s0219,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.01941714435815811,0.026456499472260465,1,61489152
conservative,0.95,s0219,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.01941714435815811,0.026456499472260465,1,61489152
mean,0.95,s0545,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.021729152649641037,0.02980362623929976,1,78446592
conservative,0.95,s0545,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.021729152649641037,0.02980362623929976,1,78446592
mean,0.95,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
conservative,0.95,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
mean,0.99,s0219,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.01941714435815811,0.026456499472260465,1,61489152
conservative,0.99,s0219,100000,scan,direct,8192,14,0,0,0,0,0,0,1.0,1.0,0.01941714435815811,0.026456499472260465,1,61489152
mean,0.99,s0545,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.021729152649641037,0.02980362623929976,1,78446592
conservative,0.99,s0545,100000,branch,direct,8192,14,0,2048,0,0,0,0,1.0,1.0,0.021729152649641037,0.02980362623929976,1,78446592
mean,0.99,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
conservative,0.99,s0339,100000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.016291392967104912,0.023905700072646134,1,56672256
mean,0.8,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
conservative,0.8,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
mean,0.8,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
conservative,0.8,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
mean,0.8,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
conservative,0.8,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
mean,0.9,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
conservative,0.9,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
mean,0.9,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
conservative,0.9,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
mean,0.9,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
conservative,0.9,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
mean,0.95,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
conservative,0.95,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
mean,0.95,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
conservative,0.95,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
mean,0.95,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
conservative,0.95,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
mean,0.99,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
conservative,0.99,s0100,1000000,scan,direct,8192,1,0,0,0,0,0,0,1.0,1.0,0.015062978491187096,0.021187914535403245,1,191758336
mean,0.99,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
conservative,0.99,s0221,1000000,branch,direct,8192,1,0,1024,0,0,0,0,1.0,1.0,0.015917234122753143,0.02184738405048847,1,230113280
mean,0.99,s0370,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.013375189155340195,0.017970451153814786,1,136003584
