setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,100000,keys,direct,16,3,0,0,12,0,0,0,0.867,0.8535,0.042229192331433296,0.0700979959219694,1,60194816
s0001,100000,keys,ivf,16,16,0,0,12,0,0,0,1.0,1.0,0.04041660577058792,0.07262013386934994,1,59686912
s0002,100000,branch,ivf,16,16,0,1024,0,0,0,0,1.0,1.0,1.4423960819840431,1.5815246384590864,1,62439424
s0003,100000,keys,none,1,1,0,0,16,0,0,0,1.0,1.0,0.027666566893458366,0.045013776980340474,1,58638336
s0004,100000,keys,ivf,16,15,0,0,8,0,0,0,0.9715,0.96,0.13345852494239807,0.1891986466944217,1,57507840
s0005,100000,branch,ivf,16,15,0,2048,0,0,0,0,0.9715,0.9599875,1.885541481897235,1.929501537233591,1,61833216
s0006,100000,branch,sign,4096,13,0,512,0,0,0,0,1.0,1.0,0.04645809531211853,0.061398209072649465,1,69615616
s0007,100000,scan,ivf,256,143,0,0,0,0,0,0,0.8,0.784,1.497666584327817,1.583504187874496,1,62980096
s0008,100000,keys,ivf,256,209,0,0,8,0,0,0,0.9515,0.9385,0.22993795573711395,0.4135791677981614,1,61014016
s0009,100000,keys,ivf,16,15,0,0,4,0,0,0,0.9715,0.96,0.8552290964871645,0.8845228236168623,1,56786944
s0010,100000,branch,sign,256,9,0,512,0,0,0,0,1.0,1.0,0.11933338828384876,0.1334938686341047,1,66781184
s0011,1000000,branch,ivf,8192,8124,0,128,0,0,0,0,1.0,1.0,24.876166367903352,25.83828761707991,1,234012672
s0012,100000,keys,ivf,8192,5203,0,0,13,0,0,0,0.95,0.9409875,1.6153540927916765,1.7012911150231955,1,81149952
s0013,100000,branch,direct,16,3,0,2048,0,0,0,0,0.867,0.8524875000000001,0.2268124371767044,0.24508326314389706,1,61603840
s0014,1000000,keys,ivf,8192,5688,0,0,8,0,0,0,0.95,0.94,1.640604343265295,2.0285921869799495,1,204275712
s0015,100000,scan,ivf,256,256,0,0,0,0,0,0,1.0,1.0,2.5479586329311132,2.729581040330231,1,63373312
s0016,1000000,keys,ivf,8192,3498,0,0,12,0,0,0,0.8,0.782,1.1956039816141129,2.134029380977154,1,223444992
