target,selection,met_target,recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.9,mean,True,1.0,1.0,1.0,0.00687548890709877,0.015695416368544098,0.005829404108226299,0.008291797712445259,4,3,24,s0001,1024,10,branch,none,1,1,0,128,0,0,0,51838976,True
0.9,conservative,True,1.0,1.0,1.0,0.00687548890709877,0.015695416368544098,0.005829404108226299,0.008291797712445259,4,3,24,s0001,1024,10,branch,none,1,1,0,128,0,0,0,51838976,True
0.99,mean,True,1.0,1.0,1.0,0.00687548890709877,0.015695416368544098,0.005829404108226299,0.008291797712445259,4,3,24,s0001,1024,10,branch,none,1,1,0,128,0,0,0,51838976,True
0.99,conservative,True,1.0,1.0,1.0,0.00687548890709877,0.015695416368544098,0.005829404108226299,0.008291797712445259,4,3,24,s0001,1024,10,branch,none,1,1,0,128,0,0,0,51838976,True
0.9,mean,True,1.0,1.0,1.0,0.00547897070646286,0.010872515849769112,0.0040833838284015656,0.0069374218583106995,4,3,24,s0002,1024,10,keys,none,1,1,0,0,4,0,0,48873472,True
0.9,conservative,True,1.0,1.0,1.0,0.00547897070646286,0.010872515849769112,0.0040833838284015656,0.0069374218583106995,4,3,24,s0002,1024,10,keys,none,1,1,0,0,4,0,0,48873472,True
0.99,mean,True,1.0,1.0,1.0,0.00547897070646286,0.010872515849769112,0.0040833838284015656,0.0069374218583106995,4,3,24,s0002,1024,10,keys,none,1,1,0,0,4,0,0,48873472,True
0.99,conservative,True,1.0,1.0,1.0,0.00547897070646286,0.010872515849769112,0.0040833838284015656,0.0069374218583106995,4,3,24,s0002,1024,10,keys,none,1,1,0,0,4,0,0,48873472,True
0.9,mean,True,1.0,1.0,1.0,0.008166534826159477,0.016358145512640473,0.00681169331073761,0.009916489943861961,4,3,24,s0004,1024,10,scan,none,1,1,0,0,0,0,0,52166656,True
0.9,conservative,True,1.0,1.0,1.0,0.008166534826159477,0.016358145512640473,0.00681169331073761,0.009916489943861961,4,3,24,s0004,1024,10,scan,none,1,1,0,0,0,0,0,52166656,True
0.99,mean,True,1.0,1.0,1.0,0.008166534826159477,0.016358145512640473,0.00681169331073761,0.009916489943861961,4,3,24,s0004,1024,10,scan,none,1,1,0,0,0,0,0,52166656,True
0.99,conservative,True,1.0,1.0,1.0,0.008166534826159477,0.016358145512640473,0.00681169331073761,0.009916489943861961,4,3,24,s0004,1024,10,scan,none,1,1,0,0,0,0,0,52166656,True
