method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,1,32,0.0,42,1944,0.05077160493827161,0.06984567901234567,0.05263101311421624,0.01064814814814815,0.056189373897707236,16.12037037037037,32.0,0.0,16.641975308641975,1.0,0.01804158091545105,0.05418315995484589,0.011624768376350403,0.020042061805725098,0.009708,0.018160699999999995,0.005083158612251282,0.006875023245811462,0.0005844049155712128,0.028570787981152528
ivf/branch,1,32,0.1,42,1944,0.03657407407407408,0.05408950617283951,0.03819805631767082,0.00787037037037037,0.04134883891828336,27.96604938271605,32.0,2.9104938271604937,28.61111111111111,1.0,0.030187424272298813,0.057916552759706974,0.014292076230049133,0.0212088692933321,0.012292,0.019167,0.005416804924607277,0.007000286132097244,0.009624985978007317,0.030702468939125534
ivf/branch,1,32,0.1,43,1944,0.0345679012345679,0.05121913580246914,0.028542894947292268,0.005709876543209877,0.030298353909465017,27.700617283950617,32.0,2.9027777777777777,28.46759259259259,1.0,0.030583469197154045,0.057785538956522935,0.01454213634133339,0.021362747065722935,0.012541,0.019201849999999996,0.005500391125679016,0.007082708179950714,0.009874813258647919,0.031118514016270634
ivf/branch,1,32,0.1,44,1944,0.03580246913580246,0.05287037037037037,0.0388954706774667,0.0070987654320987656,0.04197530864197531,26.728395061728396,32.0,2.8858024691358026,27.364197530864196,1.0,0.030082883313298225,0.055266683921217905,0.014124903827905655,0.020459224469959736,0.012125,0.018409849999999995,0.005499925464391708,0.006958376616239548,0.009770970791578293,0.028201751410961148
ivf/branch,1,128,0.0,42,1944,0.39691358024691364,0.728996913580247,0.20315305794979582,0.05401234567901234,0.2280156785943823,100.0,127.51851851851852,0.0,398.4320987654321,0.9614197530864198,0.08020829409360886,0.09091657120734453,0.04129204899072647,0.04991702735424042,0.0391665,0.0477437,0.005458947271108627,0.006457790732383728,0.03312481567263603,0.03699383232742547
ivf/branch,1,128,0.1,42,1944,0.3961419753086419,0.7272067901234568,0.20461114005134318,0.05462962962962963,0.22997041110467037,100.0,127.51851851851852,12.466049382716049,414.11574074074076,0.9614197530864198,0.08422951214015484,0.09800021070986986,0.04454213194549084,0.05395188927650451,0.042375,0.051701849999999994,0.005666166543960571,0.00733276829123497,0.03341701813042164,0.03861237782984971
ivf/branch,1,128,0.1,43,1944,0.39567901234567904,0.7262345679012345,0.20257264090884308,0.05447530864197531,0.22692685829259904,100.0,127.51851851851852,12.42283950617284,414.1003086419753,0.9614197530864198,0.08083321154117584,0.09294520132243632,0.041979365050792694,0.051201693713665,0.039916,0.0489937,0.005416106432676315,0.006833905354142189,0.033041927963495255,0.037541938945651054
ivf/branch,1,128,0.1,44,1944,0.39490740740740743,0.7277777777777779,0.2038010670693606,0.05401234567901234,0.22827288024047282,100.0,127.51851851851852,12.432098765432098,416.15277777777777,0.9614197530864198,0.08012517355382442,0.09127859957516192,0.04145805723965168,0.049910740926861756,0.039334,0.04774385,0.005334150046110153,0.006708246655762196,0.03304099664092064,0.037750229239463806
ivf/branch,1,512,0.0,42,1944,0.45941358024691353,0.9999845679012346,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,0.0,1064.5,0.004629629629629629,0.10654167272150517,0.14454212505370378,0.06668735295534134,0.10592753533273934,0.064688,0.1036187,0.005583278834819794,0.006875023245811462,0.03316579386591911,0.037624966353178024
ivf/branch,1,512,0.1,42,1944,0.45941358024691353,1.0,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,25.13425925925926,1064.466049382716,0.004629629629629629,0.10518776252865791,0.14336910098791122,0.0655625481158495,0.10467770043760537,0.06375,0.10275,0.005375128239393234,0.00658305361866951,0.033041927963495255,0.037500099278986454
ivf/branch,1,512,0.1,43,1944,0.45941358024691353,0.9999845679012346,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,25.118827160493826,1064.516975308642,0.004629629629629629,0.10879198089241982,0.14948744792491198,0.0688750296831131,0.10769627988338469,0.067041,0.10555179999999997,0.005667097866535187,0.0067017739638686145,0.03316672518849373,0.03758259117603302
ivf/branch,1,512,0.1,44,1944,0.45941358024691353,0.9999845679012346,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,25.189814814814813,1064.5046296296296,0.004629629629629629,0.10777078568935394,0.14642055612057445,0.06739585660398006,0.10583396069705486,0.0652295,0.104041,0.005499925464391708,0.007374677807092667,0.03341725096106529,0.03854185342788696
ivf/branch,4,32,0.0,42,1944,0.0,9.259259259259259e-05,0.0,0.0,0.0,0.11419753086419752,32.0,0.0,0.11419753086419752,1.0,0.01712469384074211,0.019333255477249622,0.011208001524209976,0.012909900397062298,0.009291,0.010791849999999999,0.005125068128108978,0.00562518835067749,0.0005830079317092896,0.0006658956408500671
ivf/branch,4,32,0.1,42,1944,0.000308641975308642,0.000462962962962963,0.0,0.0,0.0,10.37037037037037,32.0,3.162037037037037,10.37037037037037,1.0,0.02350006252527237,0.037160073406994336,0.013124663382768631,0.016916869208216667,0.0109795,0.01475,0.005499925464391708,0.0072498805820941925,0.0044996850192546844,0.014291075058281422
ivf/branch,4,32,0.1,43,1944,0.0,0.0002160493827160494,0.0009462148036503987,0.000154320987654321,0.0007716049382716049,10.385802469135802,32.0,3.138888888888889,10.385802469135802,1.0,0.02424977719783783,0.0416579423472285,0.013375189155340195,0.01858314499258995,0.011167,0.015868849999999997,0.00570761039853096,0.0075409188866615295,0.004750210791826248,0.0160830095410347
ivf/branch,4,32,0.1,44,1944,0.000154320987654321,0.0002777777777777778,0.0,0.0,0.0,10.810185185185185,32.0,3.1358024691358026,10.810185185185185,1.0,0.02420833334326744,0.03998740576207637,0.01329183578491211,0.017833756282925606,0.011166,0.015362549999999992,0.0056657008826732635,0.007291790097951889,0.004667323082685471,0.015410827472805973
ivf/branch,4,128,0.0,42,1944,0.1697530864197531,0.153179012345679,0.12830445231069482,0.031018518518518518,0.13662467933301267,50.8287037037037,128.0,0.0,97.57561728395062,1.0,0.05281250923871994,0.08986881002783775,0.028687529265880585,0.048981420695781694,0.025687500000000002,0.046320549999999995,0.005709007382392883,0.007375143468379974,0.01837499439716339,0.035368814133107655
ivf/branch,4,128,0.1,42,1944,0.12391975308641974,0.11087962962962963,0.09224776637583178,0.021450617283950618,0.0993028833306611,80.03395061728395,128.0,12.739197530864198,131.11574074074073,1.0,0.07089553400874138,0.09101689793169497,0.03318744711577892,0.05020271055400371,0.0303955,0.04742049999999998,0.005916692316532135,0.007541780360043049,0.03158301115036011,0.03586872480809688
ivf/branch,4,128,0.1,43,1944,0.12623456790123458,0.11080246913580247,0.09082661212594163,0.022222222222222223,0.0947375541125541,80.23302469135803,128.0,12.75925925925926,130.55864197530863,1.0,0.07012486457824707,0.08920198306441307,0.032687559723854065,0.04865971859544515,0.0298125,0.046243849999999996,0.005916692316532135,0.0074999406933784485,0.031250063329935074,0.035167206078767776
ivf/branch,4,128,0.1,44,1944,0.12608024691358025,0.11385802469135804,0.09532537583077778,0.022067901234567904,0.1004988709849821,81.40123456790124,128.0,12.743827160493828,131.53858024691357,1.0,0.07054093293845654,0.08858321234583855,0.032479409128427505,0.04770178347826003,0.0297085,0.0452857,0.00583333894610405,0.0074999406933784485,0.03156252205371857,0.03586886450648307
ivf/branch,4,512,0.0,42,1944,0.6546296296296296,0.825787037037037,0.3040713024615111,0.08333333333333333,0.35281392133243983,100.0,511.7608024691358,0.0,1643.0586419753085,0.9938271604938271,0.1641456037759781,0.18949364311993122,0.12454111129045486,0.14810012653470037,0.121,0.1445357,0.005875248461961746,0.00720182433724403,0.03312481567263603,0.03757691010832786
ivf/branch,4,512,0.1,42,1944,0.6550925925925926,0.8250308641975309,0.30403110099681235,0.08348765432098766,0.35461433285507366,100.0,511.7608024691358,51.126543209876544,1708.2067901234568,0.9938271604938271,0.16791652888059616,0.19455894362181422,0.12820889241993427,0.15248744748532772,0.124959,0.1492857,0.005832873284816742,0.007624737918376923,0.033250078558921814,0.038207974284887314
ivf/branch,4,512,0.1,43,1944,0.6558641975308642,0.8243827160493827,0.3042946834680771,0.08348765432098766,0.3537141270937567,100.0,511.7608024691358,51.1712962962963,1704.307098765432,0.9938271604938271,0.17391610890626907,0.20607055630534887,0.13320846483111382,0.16158400103449821,0.129875,0.15798125,0.006041955202817917,0.008458271622657776,0.033750198781490326,0.038868724368512624
ivf/branch,4,512,0.1,44,1944,0.6561728395061728,0.8244598765432098,0.30590505423727254,0.08410493827160494,0.3559260612501353,100.0,511.7608024691358,51.06635802469136,1705.695987654321,0.9938271604938271,0.16416702419519424,0.19048727117478848,0.12504099868237972,0.14820867218077183,0.12175,0.14503485,0.005709007382392883,0.007118401117622849,0.03300001844763756,0.037487340159714215
ivf/branch,16,32,0.0,42,1944,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.018207821995019913,0.02028464805334806,0.011791940778493881,0.013249926269054413,0.009416,0.010708,0.0056247226893901825,0.006166286766529083,0.0005830079317092896,0.0006667571142315865
ivf/branch,16,32,0.1,42,1944,0.0,4.6296296296296294e-05,0.0,0.0,0.0,2.587962962962963,32.0,3.146604938271605,2.587962962962963,1.0,0.019437400624155998,0.032314402051269994,0.012500211596488953,0.015500001609325409,0.009959,0.012833,0.005791895091533661,0.007291650399565697,0.0006249174475669861,0.010320520959794514
