routing_method,probes,kind,node_budget,explore_probability,comparison,metric,queries,search_seeds,difference,ci_low,ci_high
ivf,1,branch,0,0.0,branch-minus-scan,float_recall,648,1,0.0,0.0,0.0
ivf,1,branch,0,0.0,branch-minus-scan,binary_recall,648,1,0.0,0.0,0.0
ivf,1,branch,0,0.0,branch-minus-scan,ndcg,648,1,0.0,0.0,0.0
ivf,1,branch,0,0.0,branch-minus-scan,precision,648,1,0.0,0.0,0.0
ivf,1,branch,0,0.0,branch-minus-scan,relevance_recall,648,1,0.0,0.0,0.0
ivf,1,branch,0,0.1,branch-minus-scan,float_recall,648,3,5.0328397142536996e-18,1.2421476741562324e-18,8.43857305705878e-18
ivf,1,branch,0,0.1,branch-minus-scan,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,0,0.1,branch-minus-scan,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,0,0.1,branch-minus-scan,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,0,0.1,branch-minus-scan,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,1,branch,0,0.1,exploration-minus-deterministic,float_recall,648,3,5.0328397142536996e-18,1.2421476741562324e-18,8.43857305705878e-18
ivf,1,branch,0,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0,0.0,0.0
ivf,1,branch,0,0.1,exploration-minus-deterministic,ndcg,648,3,1.0708169604795105e-18,1.7079530519648195e-19,2.05596856412066e-18
ivf,1,branch,0,0.1,exploration-minus-deterministic,precision,648,3,6.424901762877063e-18,5.589664533703045e-18,7.281555331260672e-18
ivf,1,branch,0,0.1,exploration-minus-deterministic,relevance_recall,648,3,7.709882115452476e-19,3.4266142735344336e-19,1.2849803525754126e-18
ivf,1,branch,16,0.0,branch-minus-scan,float_recall,648,1,-0.4572530864197531,-0.48179398148148145,-0.432866512345679
ivf,1,branch,16,0.0,branch-minus-scan,binary_recall,648,1,-0.9975154320987654,-0.999043209876543,-0.9957712191358025
ivf,1,branch,16,0.0,branch-minus-scan,ndcg,648,1,-0.21307509812390837,-0.2375816304679868,-0.19030498171524093
ivf,1,branch,16,0.0,branch-minus-scan,precision,648,1,-0.056635802469135806,-0.06373456790123457,-0.05015432098765432
ivf,1,branch,16,0.0,branch-minus-scan,relevance_recall,648,1,-0.24050710520617927,-0.2682307773887635,-0.21427392491339253
ivf,1,branch,16,0.1,branch-minus-scan,float_recall,648,3,-0.45720164609053493,-0.48158693415637854,-0.43312114197530865
ivf,1,branch,16,0.1,branch-minus-scan,binary_recall,648,3,-0.9963425925925927,-0.9975979938271603,-0.9948867026748971
ivf,1,branch,16,0.1,branch-minus-scan,ndcg,648,3,-0.2123359431372815,-0.23684790562316801,-0.18925231968235667
ivf,1,branch,16,0.1,branch-minus-scan,precision,648,3,-0.05643004115226338,-0.06337962962962963,-0.04994727366255144
ivf,1,branch,16,0.1,branch-minus-scan,relevance_recall,648,3,-0.23977836720892276,-0.26765490136149855,-0.21376652828909773
ivf,1,branch,16,0.1,exploration-minus-deterministic,float_recall,648,3,5.1440329218106995e-05,-0.00036008230452674905,0.00051440329218107
ivf,1,branch,16,0.1,exploration-minus-deterministic,binary_recall,648,3,0.0011728395061728395,0.0005293209876543213,0.0017645318930041153
ivf,1,branch,16,0.1,exploration-minus-deterministic,ndcg,648,3,0.000739154986626898,4.49957377064857e-05,0.0017487191700974432
ivf,1,branch,16,0.1,exploration-minus-deterministic,precision,648,3,0.00020576131687242806,5.1440329218107035e-05,0.000462962962962963
ivf,1,branch,16,0.1,exploration-minus-deterministic,relevance_recall,648,3,0.0007287379972565158,8.573388203017832e-05,0.001628943758573388
ivf,1,branch,32,0.0,branch-minus-scan,float_recall,648,1,-0.408641975308642,-0.4330401234567901,-0.38440586419753087
ivf,1,branch,32,0.0,branch-minus-scan,binary_recall,648,1,-0.9301543209876544,-0.9393657407407406,-0.9202928240740741
ivf,1,branch,32,0.0,branch-minus-scan,ndcg,648,1,-0.1621972120581334,-0.18363300534876384,-0.1411797619519772
