routing_method,probes,kind,node_budget,explore_probability,queries,search_seeds,seeds,timing_repetitions,requests,float_recall,float_recall_ci_low,float_recall_ci_high,float_recall_seed_min,float_recall_seed_max,binary_recall,binary_recall_ci_low,binary_recall_ci_high,binary_recall_seed_min,binary_recall_seed_max,ndcg,ndcg_ci_low,ndcg_ci_high,ndcg_seed_min,ndcg_seed_max,precision,precision_ci_low,precision_ci_high,precision_seed_min,precision_seed_max,relevance_recall,relevance_recall_ci_low,relevance_recall_ci_high,relevance_recall_seed_min,relevance_recall_seed_max,budget_exhausted,routing_float_recall,empty_result,fewer_than_k,candidate_fill_rate,candidates,nodes,random_nodes,documents_scored,bitplane_words,routed_documents,selected_buckets,retrieval_request_p50_ms,retrieval_request_p95_ms,core_request_p50_ms,core_request_p95_ms,native_request_p50_ms,native_request_p95_ms,routing_request_p50_ms,routing_request_p95_ms,rerank_request_p50_ms,rerank_request_p95_ms,request_p50_ms,query_median_p50_ms,request_p95_ms,query_median_p95_ms
ivf,1,branch,0,0.0,648,1,42,3,1944,0.45941358024691364,0.4357908950617283,0.483028549382716,0.45941358024691364,0.45941358024691364,1.0,0.9999999999999998,1.0,1.0,1.0,0.21482822517234965,0.1919092741481318,0.2397394349864216,0.21482822517234965,0.21482822517234965,0.05725308641975309,0.05077160493827161,0.06435570987654321,0.05725308641975309,0.05725308641975309,0.24307912166708462,0.21680716253054216,0.27055799952790693,0.24307912166708462,0.24307912166708462,0.0,0.4875,0.0,0.0,1.0,100.0,255.570987654321,0.0,1065.0185185185185,2835.229938271605,1065.0185185185185,1.0,0.11212518438696861,0.157356564886868,0.07018772885203362,0.11127213947474955,0.0681665,0.10874384999999999,0.00600004568696022,0.008750171400606632,0.03418745473027229,0.03998780157417058,0.11212518438696861,0.11181319132447243,0.157356564886868,0.15494436956942081
ivf,1,branch,0,0.1,648,3,"42,43,44",3,5832,0.45941358024691364,0.4357908950617283,0.483028549382716,0.45941358024691364,0.45941358024691364,1.0,0.9999999999999998,1.0,1.0,1.0,0.21482822517234965,0.1919092741481318,0.2397394349864216,0.21482822517234965,0.21482822517234965,0.0572530864197531,0.05077160493827161,0.06435570987654321,0.05725308641975309,0.05725308641975309,0.24307912166708462,0.21680716253054216,0.27055799952790693,0.24307912166708462,0.24307912166708462,0.0,0.4875,0.0,0.0,1.0,100.0,255.570987654321,25.154835390946502,1065.0185185185185,2835.229938271605,1065.0185185185185,1.0,0.11191633529961109,0.1539355842396617,0.0705420970916748,0.11079148389399052,0.068584,0.10854145,0.005916692316532135,0.007666856981813908,0.0339592806994915,0.03922758623957633,0.11191633529961109,0.11112502155204614,0.1539355842396617,0.15256409533321855
ivf,1,branch,16,0.0,648,1,42,3,1944,0.0021604938271604936,0.000462962962962963,0.004475308641975309,0.0021604938271604936,0.0021604938271604936,0.002484567901234568,0.00095679012345679,0.004228780864197531,0.002484567901234568,0.002484567901234568,0.001753127048441266,0.0,0.0046882932456375785,0.001753127048441266,0.001753127048441266,0.0006172839506172839,0.0,0.0015432098765432098,0.0006172839506172839,0.0006172839506172839,0.0025720164609053494,0.0,0.0066872427983539085,0.0025720164609053494,0.0025720164609053494,1.0,0.4875,0.9861111111111112,0.9861111111111112,0.006666666666666667,0.6666666666666666,16.0,0.0,0.6666666666666666,272.92438271604937,1065.0185185185185,1.0,0.016459031030535698,0.021493900567293164,0.010207761079072952,0.012417254038155079,0.008417,0.01,0.0053746625781059265,0.006666872650384903,0.0006249174475669861,0.0008749775588512421,0.016459031030535698,0.016437610611319542,0.021493900567293164,0.017917086370289326
ivf,1,branch,16,0.1,648,3,"42,43,44",3,5832,0.0022119341563786006,0.000617283950617284,0.004475308641975309,0.0021604938271604936,0.0023148148148148147,0.0036574074074074074,0.0024020061728395065,0.0051132973251028805,0.0034259259259259256,0.004120370370370371,0.002492282035068164,0.0004232912110239237,0.005485079677156051,0.0018881142615607231,0.0028893899915521043,0.0008230452674897121,0.00015432098765432098,0.0017502572016460899,0.0007716049382716049,0.0009259259259259259,0.0033007544581618656,0.0004715363511659808,0.007287379972565157,0.0028292181069958845,0.003729423868312757,1.0,0.4875,0.3914609053497942,0.7042181069958847,0.08069958847736626,8.069958847736627,16.0,1.3179012345679013,8.069958847736627,258.4855967078189,1065.0185185185185,1.0,0.02074986696243286,0.03606041427701711,0.01095794141292572,0.015291129238903522,0.009084,0.013208,0.005499925464391708,0.007040798664093018,0.004124827682971954,0.014583533629775047,0.02074986696243286,0.021549019341667495,0.03606041427701711,0.030125095508992665
ivf,1,branch,32,0.0,648,1,42,3,1944,0.050771604938271604,0.0412037037037037,0.061265432098765435,0.050771604938271604,0.050771604938271604,0.06984567901234567,0.060634259259259256,0.07970717592592592,0.06984567901234567,0.06984567901234567,0.05263101311421624,0.03783218747062068,0.06920394536107118,0.05263101311421624,0.05263101311421624,0.01064814814814815,0.007561728395061728,0.01404320987654321,0.01064814814814815,0.01064814814814815,0.05618937389770723,0.04020015799529688,0.07423725933274544,0.05618937389770723,0.05618937389770723,1.0,0.4875,0.6975308641975309,0.7052469135802469,0.1612037037037037,16.12037037037037,32.0,0.0,16.641975308641975,531.0956790123457,1065.0185185185185,1.0,0.01895800232887268,0.05953588988631963,0.01237494871020317,0.02166714984923601,0.0105,0.019743699999999996,0.005417037755250931,0.006916932761669159,0.0006668269634246826,0.03283731639385221,0.01895800232887268,0.018708640709519386,0.05953588988631963,0.05841720849275589
ivf,1,branch,32,0.1,648,3,"42,43,44",3,5832,0.03564814814814815,0.028182870370370372,0.044189814814814814,0.0345679012345679,0.03657407407407407,0.05272633744855968,0.04523598251028807,0.06063798868312757,0.051219135802469146,0.0540895061728395,0.035212140647476596,0.024181361264047355,0.048354248733461426,0.02854289494729227,0.0388954706774667,0.0068930041152263375,0.004835390946502058,0.009413580246913581,0.005709876543209876,0.007870370370370371,0.037874167156574566,0.026378968253968252,0.05184568207427003,0.03029835390946502,0.04197530864197531,1.0,0.4875,0.10236625514403291,0.3096707818930041,0.2746502057613169,27.465020576131693,32.0,2.8996913580246915,28.147633744855963,505.337962962963,1065.0185185185185,1.0,0.03195786848664284,0.06172689609229564,0.015167053788900375,0.02275034785270691,0.013166,0.0205,0.005749985575675964,0.0074999406933784485,0.010291580110788345,0.032102502882480614,0.03195786848664284,0.031333183869719505,0.06172689609229564,0.05809248735507329
ivf,1,branch,64,0.0,648,1,42,3,1944,0.3,0.2813271604938271,0.3185262345679012,0.3,0.3,0.43976851851851856,0.42950154320987655,0.45035686728395063,0.43976851851851856,0.43976851851851856,0.18312387379024161,0.1599694280109076,0.20697484181812656,0.18312387379024161,0.18312387379024161,0.047839506172839504,0.041971450617283954,0.055092592592592596,0.047839506172839504,0.047839506172839504,0.19577422748719045,0.17168172576737392,0.2218034937884475,0.19577422748719045,0.19577422748719045,1.0,0.4875,0.012345679012345678,0.012345679012345678,0.9347839506172839,93.47839506172839,64.0,0.0,148.89969135802468,891.3966049382716,1065.0185185185185,1.0,0.06960448808968067,0.08200015872716904,0.029041897505521774,0.03641075454652309,0.0269585,0.033875,0.005790963768959045,0.007708091288805008,0.03395904786884785,0.03977965097874402,0.06960448808968067,0.06979191675782204,0.08200015872716904,0.0773849431425333
ivf,1,branch,64,0.1,648,3,"42,43,44",3,5832,0.27201646090534976,0.254727366255144,0.2888914609053498,0.2700617283950617,0.27314814814814814,0.40747427983539086,0.39602880658436207,0.4186890432098765,0.40714506172839515,0.4079012345679012,0.17409624091608009,0.15193992367438053,0.19770292108674203,0.17170506562863155,0.1764478809811181,0.043827160493827164,0.03842463991769547,0.05061985596707819,0.043055555555555555,0.04429012345679012,0.18525161823772934,0.1618867313456434,0.21024418750402546,0.18111557081464488,0.188368657234398,1.0,0.4875,0.0,0.0036008230452674894,0.9464197530864197,94.64197530864197,64.0,6.082818930041153,158.01388888888889,866.6579218106995,1065.0185185185185,1.0,0.06933370605111122,0.08293548598885535,0.02916622906923294,0.037435512058436864,0.027125,0.034916,0.005832873284816742,0.007791910320520401,0.03374996595084667,0.039624981582164764,0.06933370605111122,0.06972245561579862,0.08293548598885535,0.07670360306898753
ivf,1,branch,128,0.0,648,1,42,3,1944,0.3969135802469136,0.37422453703703695,0.4197646604938271,0.3969135802469136,0.3969135802469136,0.7289969135802469,0.7175131172839505,0.7411130401234567,0.7289969135802469,0.7289969135802469,0.20315305794979585,0.17914468927087535,0.22837450932013523,0.20315305794979585,0.20315305794979585,0.05401234567901234,0.04799382716049382,0.061114969135802465,0.05401234567901234,0.05401234567901234,0.22801567859438227,0.20214318785209986,0.25571593165921863,0.22801567859438227,0.22801567859438227,0.9614197530864198,0.4875,0.0,0.0,1.0,100.0,127.51851851851852,0.0,398.4320987654321,1666.594135802469,1065.0185185185185,1.0,0.08491589687764645,0.09811872150748968,0.04424992948770523,0.05383370444178581,0.042083,0.05144554999999999,0.005792360752820969,0.007375073619186878,0.03400025889277458,0.03890963271260261,0.08491589687764645,0.08483300916850567,0.09811872150748968,0.09430388454347849
ivf,1,branch,128,0.1,648,3,"42,43,44",3,5832,0.39557613168724287,0.37340406378600816,0.4172929526748971,0.39490740740740743,0.396141975308642,0.7270730452674897,0.7158365483539095,0.7390806327160493,0.7262345679012346,0.7277777777777779,0.20366161600984897,0.1795525700236578,0.22832986826359766,0.20257264090884308,0.20461114005134318,0.0543724279835391,0.04814814814814816,0.06147247942386832,0.05401234567901234,0.054629629629629625,0.22839004987924738,0.2026105576308122,0.25611705306439103,0.22692685829259907,0.22997041110467034,0.9614197530864198,0.4875,0.0,0.0,1.0,100.0,127.51851851851852,12.440329218106996,414.7896090534979,1609.500514403292,1065.0185185185185,1.0,0.08720881305634975,0.10316586121916771,0.04612468183040619,0.05633290857076645,0.043917,0.053726899999999994,0.005917157977819443,0.008166301995515823,0.03433274105191231,0.04066615365445614,0.08720881305634975,0.08713159089287123,0.10316586121916771,0.0956272551168998
