method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,1,32,0.0,42,1944,0.05077160493827161,0.06984567901234567,0.05263101311421624,0.01064814814814815,0.056189373897707236,16.12037037037037,32.0,0.0,16.641975308641975,1.0,0.026874709874391556,0.07733323145657778,0.01754099503159523,0.02932758070528507,0.014708,0.0265,0.007875263690948486,0.008666887879371643,0.0009578652679920197,0.03902325406670569
ivf/branch,1,32,0.1,42,1944,0.03657407407407408,0.05408950617283951,0.03819805631767082,0.00787037037037037,0.04134883891828336,27.96604938271605,32.0,2.9104938271604937,28.61111111111111,1.0,0.04391651600599289,0.08117645047605036,0.021582935005426407,0.03137486055493355,0.018542,0.028166,0.008166767656803131,0.0095766969025135,0.013249926269054413,0.040522357448935495
ivf/branch,1,32,0.1,43,1944,0.0345679012345679,0.05121913580246914,0.028542894947292268,0.005709876543209877,0.030298353909465017,27.700617283950617,32.0,2.9027777777777777,28.46759259259259,1.0,0.04187482409179211,0.0773149076849222,0.02041715197265148,0.0295768491923809,0.017541,0.026659849999999995,0.00800006091594696,0.008417223580181599,0.012916512787342072,0.039535411633551114
ivf/branch,1,32,0.1,44,1944,0.03580246913580246,0.05287037037037037,0.0388954706774667,0.0070987654320987656,0.04197530864197531,26.728395061728396,32.0,2.8858024691358026,27.364197530864196,1.0,0.04358310252428055,0.07807137444615363,0.021209008991718292,0.0302858417853713,0.018270500000000002,0.027118699999999996,0.008082948625087738,0.009493809193372723,0.01345854252576828,0.03748766612261533
ivf/branch,1,128,0.0,42,1944,0.39691358024691364,0.728996913580247,0.20315305794979582,0.05401234567901234,0.2280156785943823,100.0,127.51851851851852,0.0,398.4320987654321,0.9614197530864198,0.11670822277665138,0.13469546101987362,0.06425008177757263,0.07641727570444345,0.060958,0.073209,0.008499715477228165,0.010542105883359909,0.04324992187321186,0.04870181437581777
ivf/branch,1,128,0.1,42,1944,0.3961419753086419,0.7272067901234568,0.20461114005134318,0.05462962962962963,0.22997041110467037,100.0,127.51851851851852,12.466049382716049,414.11574074074076,0.9614197530864198,0.11710450053215027,0.1309998333454132,0.06552040576934814,0.0770293641835451,0.0623125,0.07375,0.00833394005894661,0.00929220113903284,0.04291697405278683,0.04716683179140091
ivf/branch,1,128,0.1,43,1944,0.39567901234567904,0.7262345679012345,0.20257264090884308,0.05447530864197531,0.22692685829259904,100.0,127.51851851851852,12.42283950617284,414.1003086419753,0.9614197530864198,0.11943746358156204,0.13664839789271355,0.06670784205198288,0.07949387654662132,0.063375,0.0757017,0.008500181138515472,0.010701734572648999,0.04350021481513977,0.04882053472101688
ivf/branch,1,128,0.1,44,1944,0.39490740740740743,0.7277777777777779,0.2038010670693606,0.05401234567901234,0.22827288024047282,100.0,127.51851851851852,12.432098765432098,416.15277777777777,0.9614197530864198,0.11879205703735352,0.1353621482849121,0.06585451774299145,0.07682689465582371,0.062625,0.07374384999999999,0.00837491825222969,0.009250291623175144,0.04333304241299629,0.054557947441935525
ivf/branch,1,512,0.0,42,1944,0.45941358024691353,0.9999845679012346,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,0.0,1064.5,0.004629629629629629,0.15535391867160797,0.2207860117778182,0.10199984535574913,0.1676123822107911,0.09897900000000001,0.16434379999999998,0.008499715477228165,0.010540708899497986,0.043165870010852814,0.04824995994567871
ivf/branch,1,512,0.1,42,1944,0.45941358024691353,1.0,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,25.13425925925926,1064.466049382716,0.004629629629629629,0.1565413549542427,0.21971885580569503,0.10368786752223969,0.1677502179518342,0.10072900000000001,0.16481244999999994,0.008457805961370468,0.009541725739836693,0.043082982301712036,0.04786842036992311
ivf/branch,1,512,0.1,43,1944,0.45941358024691353,0.9999845679012346,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,25.118827160493826,1064.516975308642,0.004629629629629629,0.15791645273566246,0.2216966124251485,0.10424992069602013,0.16865900252014396,0.101209,0.16524734999999996,0.008542090654373169,0.010458286851644516,0.04345877096056938,0.04870202392339706
ivf/branch,1,512,0.1,44,1944,0.45941358024691353,0.9999845679012346,0.2148282251723496,0.057253086419753095,0.24307912166708465,100.0,255.4814814814815,25.189814814814813,1064.5046296296296,0.004629629629629629,0.1566670835018158,0.22151700686663386,0.10335445404052734,0.16686248127371073,0.1005415,0.16409364999999998,0.008417293429374695,0.009577092714607712,0.043082982301712036,0.047535868361592286
ivf/branch,4,32,0.0,42,1944,0.0,9.259259259259259e-05,0.0,0.0,0.0,0.11419753086419752,32.0,0.0,0.11419753086419752,1.0,0.02770824357867241,0.03104137722402811,0.01816684380173683,0.020625069737434387,0.015084,0.017209,0.008250121027231216,0.009417068213224411,0.0009173527359962463,0.001125037670135498
ivf/branch,4,32,0.1,42,1944,0.000308641975308642,0.000462962962962963,0.0,0.0,0.0,10.37037037037037,32.0,3.162037037037037,10.37037037037037,1.0,0.03566686064004898,0.05636224523186683,0.020124949514865875,0.026041967794299126,0.0168955,0.022493699999999995,0.008417293429374695,0.00973718706518411,0.006750226020812988,0.020368862897157666
ivf/branch,4,32,0.1,43,1944,0.0,0.0002160493827160494,0.0009462148036503987,0.000154320987654321,0.0007716049382716049,10.385802469135802,32.0,3.138888888888889,10.385802469135802,1.0,0.0358126126229763,0.05702252965420483,0.020250212401151657,0.026041571982204914,0.017042,0.02258385,0.008500181138515472,0.009874813258647919,0.006750226020812988,0.02104230225086212
ivf/branch,4,32,0.1,44,1944,0.000154320987654321,0.0002777777777777778,0.0,0.0,0.0,10.810185185185185,32.0,3.1358024691358026,10.810185185185185,1.0,0.03562518395483494,0.054946565069258206,0.020042061805725098,0.02579190768301487,0.016833,0.02215985,0.008458271622657776,0.009958562441170216,0.0067497603595256805,0.020051817409694177
ivf/branch,4,128,0.0,42,1944,0.1697530864197531,0.153179012345679,0.12830445231069482,0.031018518518518518,0.13662467933301267,50.8287037037037,128.0,0.0,97.57561728395062,1.0,0.07808301597833633,0.12898778077214956,0.04393747076392174,0.07395157590508461,0.039375,0.06966685,0.008709030225872993,0.010207761079072952,0.024813227355480194,0.046582892537117004
ivf/branch,4,128,0.1,42,1944,0.12391975308641974,0.11087962962962963,0.09224776637583178,0.021450617283950618,0.0993028833306611,80.03395061728395,128.0,12.739197530864198,131.11574074074073,1.0,0.10256236419081688,0.1309454906731844,0.05175010301172733,0.07608379237353802,0.047375,0.07168924999999998,0.008834060281515121,0.01037493348121643,0.041583552956581116,0.0472082057967782
ivf/branch,4,128,0.1,43,1944,0.12623456790123458,0.11080246913580247,0.09082661212594163,0.022222222222222223,0.0947375541125541,80.23302469135803,128.0,12.75925925925926,130.55864197530863,1.0,0.10285456664860249,0.13260627165436745,0.05185441114008427,0.07728477939963341,0.047375,0.07319554999999998,0.008834060281515121,0.010707881301641464,0.04156259819865227,0.04758306313306093
ivf/branch,4,128,0.1,44,1944,0.12608024691358025,0.11385802469135804,0.09532537583077778,0.022067901234567904,0.1004988709849821,81.40123456790124,128.0,12.743827160493828,131.53858024691357,1.0,0.10491698049008846,0.1344461925327778,0.05312496796250343,0.07820820901542902,0.048708,0.074,0.008833128958940506,0.011243764311075207,0.04222942516207695,0.048374757170677185
