recall_target,setting_id,method,clusters,probes,target,leaf_size,node_budget,key_bits,status,predicted_docs_in_opened_clusters,predicted_mask_words_in_opened_clusters,predicted_routing_recall,predicted_documents_scored,predicted_recall,recall,query_ms_p50,query_ms_p90,search_ms_p50,routing_ms_p50,documents_scored,split_words,leaf_words,nodes,key_lookups,keys,stop_reasons,codes_bytes,row_ids_bytes,bitplanes_bytes,directory_bytes,occupied_keys,logical_index_bytes,routing_payload_bytes,resident_bytes,lifetime_peak_bytes,fits_ram,build_ms,measurements,power_unchanged,predicted_search_ms,search_ms_error_percent,predicted_split_words,predicted_leaf_words,predicted_keys,predicted_key_lookups
0.8,s117,scan,4096,72,0.8,0,0,0,complete,18106.705,317.625,0.80005,18106.705,0.80005,0.80005,0.5685002543032169,0.6203749217092991,0.5032289773225784,0.06458396092057228,18106.705,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,4227072,143327232,183140352,True,23.79658306017518,400,True,0.5167371313209635,2.684295739536907,,,,
0.8,s118,branch,4096,72,0.8,1000000,0,0,complete,18106.705,317.625,0.80005,18106.705,0.80005,0.80005,0.5763745866715908,0.6317948456853628,0.51137525588274,0.0642088707536459,18106.705,0.0,317.625,72.0,0.0,0.0,"[""exhausted""]",32000000,8000000,36110336,0,0,76110336,4227072,181010432,220758016,True,530.8998334221542,400,True,0.5617827668181499,9.857244822766406,0.0,317.625,,
0.8,s123,keys,4096,72,0.8,0,0,4,complete,18106.705,317.625,0.80005,18106.705,0.80005,0.80005,0.6207500118762255,0.6737211719155312,0.5547914188355207,0.06462493911385536,18106.705,0.0,0.0,0.0,1152.0,16.0,"[""exhausted""]",32000000,8000000,0,460980,23049,40460980,4227072,113901568,153714688,True,73.56270914897323,400,True,0.5834389884068121,5.163664865513086,,,16,1152
0.9,s162,scan,8192,353,0.9,0,0,0,complete,42847.11,842.46,0.9002,42847.11,0.9002,0.9002,1.441500149667263,1.5854414086788895,1.2487084604799747,0.193312531337142,42847.11,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,8454144,150880256,190660608,True,31.30541555583477,400,True,1.1601788924886336,-7.089690731919317,,,,
0.9,s163,branch,8192,353,0.9,1000000,0,0,complete,42847.11,842.46,0.9002,42847.11,0.9002,0.9002,1.4957711100578308,1.6614167485386133,1.304500037804246,0.1879790797829628,42847.11,0.0,842.46,353.0,0.0,0.0,"[""exhausted""]",32000000,8000000,40310784,0,0,80310784,8454144,191922176,231686144,True,567.8919171914458,400,True,1.360750911296173,4.31206376863043,0.0,842.46,,
0.9,s168,keys,8192,353,0.9,0,0,4,complete,42847.11,842.46,0.9002,42847.11,0.9002,0.9002,1.7408544663339853,1.9168918952345848,1.5547506045550108,0.18679210916161537,42847.11,0.0,0.0,0.0,5648.0,16.0,"[""exhausted""]",32000000,8000000,0,812440,40622,40812440,8454144,123322368,163020800,True,78.90600012615323,400,True,1.4039878030891242,-9.69691222657777,,,16,5648
0.95,s171,scan,8192,778,0.95,0,0,0,complete,93930.33,1849.395,0.95,93930.33,0.95,0.95,2.8718544635921717,3.033508127555251,2.6344789657741785,0.23416709154844284,93930.33,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,8454144,142639104,190251008,True,31.608249992132187,400,True,2.4887374606654906,-5.53208080239349,,,,
0.95,s172,branch,8192,778,0.95,1000000,0,0,complete,93930.33,1849.395,0.95,93930.33,0.95,0.95,3.0218756292015314,3.270195610821247,2.772687468677759,0.2420409582555294,93930.33,0.0,1849.395,778.0,0.0,0.0,"[""exhausted""]",32000000,8000000,40310784,0,0,80310784,8454144,177373184,217006080,True,555.8129167184234,400,True,2.9730278881767953,7.225495904685377,0.0,1849.395,,
0.95,s177,keys,8192,778,0.95,0,0,4,complete,93930.33,1849.395,0.95,93930.33,0.95,0.95,3.6934169474989176,3.991283848881722,3.44295846298337,0.24616648443043232,93930.33,0.0,0.0,0.0,12448.0,16.0,"[""exhausted""]",32000000,8000000,0,812440,40622,40812440,8454144,123207680,162906112,True,72.30341574177146,400,True,3.0655575951627694,-10.961528344828695,,,16,12448
0.99,s144,scan,4096,1330,0.99,0,0,0,complete,325353.42,5731.67,0.99,325353.42,0.99,0.99,8.702374529093504,8.986504143103957,8.512895554304123,0.1865830272436142,325353.42,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,4227072,143638528,183353344,True,23.75933388248086,400,True,8.507526587378017,-0.06306863383742045,,,,
0.99,s181,branch,8192,2440,0.99,1000000,0,0,complete,295858.36,5820.08,0.99,295858.36,0.99,0.99,9.023457765579224,9.424704127013683,8.655249373987317,0.37004146724939346,295858.36,0.0,5820.08,2440.0,0.0,0.0,"[""exhausted""]",32000000,8000000,40310784,0,0,80310784,8454144,183566336,223215616,True,552.2234160453081,400,True,9.341895383336078,7.93328972602942,0.0,5820.08,,
0.99,s186,keys,8192,2440,0.99,0,0,4,complete,295858.36,5820.08,0.99,295858.36,0.99,0.99,11.12956297583878,11.782654142007232,10.768374195322394,0.3629166167229414,295858.36,0.0,0.0,0.0,39040.0,16.0,"[""exhausted""]",32000000,8000000,0,812440,40622,40812440,8454144,123502592,163053568,True,71.75124995410442,400,True,9.629827007759753,-10.573064855576881,,,16,39040
