setting_id,method,clusters,probes,target,leaf_size,node_budget,key_bits,status,predicted_docs_in_opened_clusters,predicted_mask_words_in_opened_clusters,predicted_routing_recall,recall,query_ms_p50,query_ms_p90,search_ms_p50,routing_ms_p50,documents_scored,split_words,leaf_words,nodes,key_lookups,keys,stop_reasons,codes_bytes,row_ids_bytes,bitplanes_bytes,directory_bytes,occupied_keys,logical_index_bytes,routing_payload_bytes,resident_bytes,lifetime_peak_bytes,fits_ram,build_ms,measurements,power_unchanged,predicted_search_ms,search_ms_error_percent,predicted_documents_scored,predicted_recall,predicted_keys,predicted_key_lookups,predicted_split_words,predicted_leaf_words
s157,branch,8192,127,0.8,128,512,0,complete,15614.785,306.605,0.8004,0.66485,0.6281044334173203,0.6837296299636364,0.4867913667112589,0.14018802903592587,12666.92,1038.895,472.125,488.515,0.0,0.0,"[""budget"", ""exhausted""]",32000000,8000000,40310784,0,0,80310784,8454144,192053248,231768064,True,558.3264590241015,400,True,0.501863484599904,3.0962171721474276,,,,,,
s185,branch,8192,2440,0.99,128,4096,0,complete,295858.36,5820.08,0.99,0.4402,5.468167131766677,6.192091340199113,5.081999581307173,0.3742293920367956,143961.955,8093.095,3043.715,4096.0,0.0,0.0,"[""budget""]",32000000,8000000,40310784,0,0,80310784,8454144,183664640,223264768,True,571.4397081173956,400,True,5.250374279433757,3.3131584415297297,,,,,,
s108,scan,1024,420,0.99,0,0,0,complete,412040.445,6644.99,0.99,0.99,10.664895875379443,11.410275707021356,10.59529185295105,0.06649992428719997,412040.445,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,1056768,139870208,179617792,True,18.938499968498945,400,True,10.762059285463835,1.5739767703174308,412040.445,0.99,,,,
s105,keys,1024,164,0.95,0,0,4,complete,160583.65,2590.795,0.95,0.95,4.698125179857016,4.972703568637371,4.649812588468194,0.04985439591109753,160583.65,0.0,0.0,0.0,2624.0,16.0,"[""exhausted""]",32000000,8000000,0,138360,6918,40138360,1056768,107577344,147357696,True,80.2953327074647,400,True,4.98756176210019,7.263715842432747,160583.65,0.95,16,2624,,
s172,branch,8192,778,0.95,1000000,0,0,complete,93930.33,1849.395,0.95,0.95,3.0218756292015314,3.270195610821247,2.772687468677759,0.2420409582555294,93930.33,0.0,1849.395,778.0,0.0,0.0,"[""exhausted""]",32000000,8000000,40310784,0,0,80310784,8454144,177373184,217006080,True,555.8129167184234,400,True,2.9730278881767953,7.225495904685377,93930.33,0.95,,,0.0,1849.395
s150,keys,4096,1330,0.99,0,0,4,complete,325353.42,5731.67,0.99,0.99,11.55954203568399,12.4571168795228,11.36935455724597,0.19622920081019402,325353.42,0.0,0.0,0.0,21280.0,16.0,"[""exhausted""]",32000000,8000000,0,460980,23049,40460980,4227072,114311168,154042368,True,75.51104109734297,400,True,10.303857121705185,-9.371661602915855,325353.42,0.99,16,21280,,
s159,keys,8192,127,0.8,0,0,4,complete,15614.785,306.605,0.8004,0.8004,0.7093118038028479,0.8081867825239897,0.5633120890706778,0.14560390263795853,15614.785,0.0,0.0,0.0,2032.0,16.0,"[""exhausted""]",32000000,8000000,0,812440,40622,40812440,8454144,123305984,163053568,True,75.84262499585748,400,True,0.5183287170879181,-7.985515108857484,15614.785,0.8004,16,2032,,
s128,branch,4096,211,0.9,128,0,0,complete,52163.9,917.5,0.9,0.9,2.49781203456223,2.9201123863458633,2.369917230680585,0.1143540721386671,52163.9,9169.025,7230.32,3366.375,0.0,0.0,"[""exhausted""]",32000000,8000000,36110336,0,0,76110336,4227072,180928512,220545024,True,560.3335839696229,400,True,2.380974658827208,0.46657444418207394,52163.9,0.9,,,,
s130,branch,4096,211,0.9,128,512,0,complete,52163.9,917.5,0.9,0.0423,0.2580625005066395,0.30821235850453377,0.16522943042218685,0.09172945283353329,1679.175,2237.71,37.555,512.0,0.0,0.0,"[""budget""]",32000000,8000000,36110336,0,0,76110336,4227072,181174272,220872704,True,563.0471250042319,400,True,0.18229473335642338,10.328246542175947,,,,,,
s043,keys,64,37,0.99,0,0,8,complete,580487.105,9088.465,0.99,0.99,16.852250322699547,17.878817580640316,16.831041546538472,0.0258544459939003,580487.105,0.0,0.0,0.0,9472.0,256.0,"[""exhausted""]",32000000,8000000,0,137440,6872,40137440,66048,95551488,135364608,True,169.82183419167995,400,True,18.000273793618803,6.946879929250716,580487.105,0.99,256,9472,,
s047,branch,256,12,0.8,128,0,0,complete,50005.31,787.3,0.8055,0.8055,3.0714375898241997,3.8362665567547087,3.0549787916243076,0.017333077266812325,50005.31,93008.235,85484.4,2506.905,0.0,0.0,"[""exhausted""]",32000000,8000000,32272384,0,0,72272384,264192,141017088,180355072,True,544.5429999381304,400,True,2.3934440718161407,-21.65431464276825,50005.31,0.8055,,,,
s145,branch,4096,1330,0.99,1000000,0,0,complete,325353.42,5731.67,0.99,0.99,9.197770850732923,9.70074231736362,8.999833604320884,0.1957709901034832,325353.42,0.0,5731.67,1330.0,0.0,0.0,"[""exhausted""]",32000000,8000000,36110336,0,0,76110336,4227072,181092352,220577792,True,552.6159168221056,400,True,9.946124633080494,10.514539161093925,325353.42,0.99,,,0.0,5731.67
