setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,key_limit,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
extra-050,keys,ivf,4096,72,0,0,16,4096,0.2246,0.1937500201165676,0.1937500201165676,0.1937500201165676,1204.995,0.0,0.0,4096.0,51988500,189775872,1,True
extra-020,keys,ivf,256,29,0,0,20,4096,0.16275,0.19739591516554356,0.19739591516554356,0.19739591516554356,1771.375,0.0,0.0,4096.0,50736860,173604864,1,True
extra-084,keys,ivf,4096,4096,0,0,20,4096,0.00455,0.546750146895647,0.546750146895647,0.546750146895647,52.7,0.0,0.0,4096.0,55410780,200769536,1,True
extra-040,branch,ivf,256,256,32,4096,0,0,0.07555,1.5114585403352976,1.5114585403352976,1.5114585403352976,2246.68,247240.28,7363.32,0.0,72272384,192299008,1,True
extra-028,keys,ivf,256,52,0,0,20,4096,0.12135,0.19772956147789955,0.19772956147789955,0.19772956147789955,1588.035,0.0,0.0,4096.0,50736860,173965312,1,True
extra-022,keys,ivf,256,29,0,0,24,4096,0.0696,0.15404168516397476,0.15404168516397476,0.15404168516397476,324.15,0.0,0.0,4096.0,54726800,186351616,1,True
extra-006,keys,none,1,1,0,0,24,4096,0.34615,1.0138747747987509,1.0138747747987509,1.0138747747987509,14943.9,0.0,0.0,4096.0,45717340,150732800,1,True
extra-058,keys,ivf,4096,211,0,0,16,4096,0.1401,0.2738123293966055,0.2738123293966055,0.2738123293966055,1212.89,0.0,0.0,4096.0,51988500,189890560,1,True
extra-116,keys,ivf,8192,2440,0,0,20,4096,0.0081,0.6012287922203541,0.6012287922203541,0.6012287922203541,56.45,0.0,0.0,4096.0,56242800,210714624,1,True
extra-126,keys,ivf,8192,8192,0,0,24,4096,0.0015,0.9373750071972609,0.9373750071972609,0.9373750071972609,6.81,0.0,0.0,4096.0,57961500,215990272,1,True
extra-011,keys,ivf,256,12,0,0,16,65536,0.76215,2.4548335932195187,2.4548335932195187,2.4548335932195187,33262.085,0.0,0.0,65536.0,46037980,159039488,1,True
extra-014,keys,ivf,256,12,0,0,24,4096,0.1031,0.15716650523245335,0.15716650523245335,0.15716650523245335,407.335,0.0,0.0,4096.0,54726800,186499072,1,True
extra-013,keys,ivf,256,12,0,0,20,65536,0.54695,1.6570000443607569,1.6570000443607569,1.6570000443607569,10559.65,0.0,0.0,65536.0,50736860,173572096,1,True
extra-100,keys,ivf,8192,353,0,0,20,4096,0.03635,0.304332934319973,0.304332934319973,0.304332934319973,121.06,0.0,0.0,4096.0,56242800,210468864,1,True
extra-024,branch,ivf,256,52,32,4096,0,0,0.6431,2.3975626099854708,2.3975626099854708,2.3975626099854708,12319.535,221711.735,50489.0,0.0,72272384,179879936,1,True
extra-041,branch,ivf,256,256,128,4096,0,0,0.336,3.517291508615017,3.517291508615017,3.517291508615017,23272.285,236171.44,22710.6,0.0,72272384,192151552,1,True
extra-030,keys,ivf,256,52,0,0,24,4096,0.0499,0.15241699293255806,0.15241699293255806,0.15241699293255806,270.305,0.0,0.0,4096.0,54726800,186318848,1,True
extra-081,branch,ivf,4096,4096,128,4096,0,0,0.03685,2.061124425381422,2.061124425381422,2.061124425381422,34786.0,16966.0,666.0,0.0,76110336,220561408,1,True
extra-125,keys,ivf,8192,8192,0,0,20,65536,0.02805,3.0353956390172243,3.0353956390172243,3.0353956390172243,435.98,0.0,0.0,65536.0,56242800,210452480,1,True
extra-029,keys,ivf,256,52,0,0,20,65536,0.41865,1.9342079758644104,1.9342079758644104,1.9342079758644104,12638.025,0.0,0.0,65536.0,50736860,173735936,1,True
extra-019,keys,ivf,256,29,0,0,16,65536,0.76725,3.086792305111885,3.086792305111885,3.086792305111885,49295.66,0.0,0.0,65536.0,46037980,159121408,1,True
extra-039,keys,ivf,256,119,0,0,24,65536,0.1454,1.9329995848238468,1.9329995848238468,1.9329995848238468,2173.37,0.0,0.0,65536.0,54726800,186286080,1,True
extra-127,keys,ivf,8192,8192,0,0,24,65536,0.00995,3.119667060673237,3.119667060673237,3.119667060673237,66.985,0.0,0.0,65536.0,57961500,215728128,1,True
extra-114,keys,ivf,8192,2440,0,0,16,4096,0.0283,0.6088125519454479,0.6088125519454479,0.6088125519454479,470.12,0.0,0.0,4096.0,53357460,201850880,1,True
extra-098,keys,ivf,8192,353,0,0,16,4096,0.0999,0.3262085374444723,0.3262085374444723,0.3262085374444723,697.695,0.0,0.0,4096.0,53357460,201555968,1,True
extra-078,keys,ivf,4096,1330,0,0,24,4096,0.00545,0.35847886465489864,0.35847886465489864,0.35847886465489864,17.7,0.0,0.0,4096.0,57538580,207601664,1,True
extra-086,keys,ivf,4096,4096,0,0,24,4096,0.0015,0.529854092746973,0.529854092746973,0.529854092746973,8.735,0.0,0.0,4096.0,57538580,207618048,1,True
extra-085,keys,ivf,4096,4096,0,0,20,65536,0.0461,2.5924169458448887,2.5924169458448887,2.5924169458448887,850.2,0.0,0.0,65536.0,55410780,200867840,1,True
extra-009,branch,ivf,256,12,128,4096,0,0,0.8055,2.962646074593067,2.962646074593067,2.962646074593067,49973.26,92989.55,85377.775,0.0,72272384,192200704,1,True
extra-064,branch,ivf,4096,467,32,4096,0,0,0.04045,1.0741045698523521,1.0741045698523521,1.0741045698523521,1858.755,17438.14,371.71,0.0,76110336,220626944,1,True
extra-107,keys,ivf,8192,778,0,0,16,65536,0.3059,1.6639374662190676,1.6639374662190676,1.6639374662190676,5546.49,0.0,0.0,65536.0,53357460,201801728,1,True
extra-037,keys,ivf,256,119,0,0,20,65536,0.32205,2.1851249039173126,2.1851249039173126,2.1851249039173126,11959.58,0.0,0.0,65536.0,50736860,173867008,1,True
extra-062,keys,ivf,4096,211,0,0,24,4096,0.019,0.20756269805133343,0.20756269805133343,0.20756269805133343,41.645,0.0,0.0,4096.0,57538580,207601664,1,True
extra-005,keys,none,1,1,0,0,20,65536,0.95315,29.708833433687687,29.708833433687687,29.708833433687687,476504.32,0.0,0.0,65536.0,42001160,141590528,1,True
extra-047,keys,ivf,256,256,0,0,24,65536,0.09805,2.1800834219902754,2.1800834219902754,2.1800834219902754,1575.33,0.0,0.0,65536.0,54726800,186351616,1,True
extra-027,keys,ivf,256,52,0,0,16,65536,0.7244,4.119333578273654,4.119333578273654,4.119333578273654,59011.075,0.0,0.0,65536.0,46037980,159170560,1,True
extra-104,branch,ivf,8192,778,32,4096,0,0,0.03005,1.183604123070836,1.183604123070836,1.183604123070836,2091.295,9684.11,180.275,0.0,80310784,231882752,1,True
extra-119,keys,ivf,8192,2440,0,0,24,65536,0.0256,2.387417247518897,2.387417247518897,2.387417247518897,131.795,0.0,0.0,65536.0,57961500,215924736,1,True
extra-038,keys,ivf,256,119,0,0,24,4096,0.03055,0.161333242431283,0.161333242431283,0.161333242431283,196.19,0.0,0.0,4096.0,54726800,186318848,1,True
extra-118,keys,ivf,8192,2440,0,0,24,4096,0.0031,0.5906454753130674,0.5906454753130674,0.5906454753130674,9.275,0.0,0.0,4096.0,57961500,216154112,1,True
extra-007,keys,none,1,1,0,0,24,65536,0.738,15.95677062869072,15.95677062869072,15.95677062869072,109492.305,0.0,0.0,65536.0,45717340,150519808,1,True
extra-034,keys,ivf,256,119,0,0,16,4096,0.2029,0.40204147808253765,0.40204147808253765,0.40204147808253765,8359.535,0.0,0.0,4096.0,46037980,159023104,1,True
extra-074,keys,ivf,4096,1330,0,0,16,4096,0.05015,0.40125008672475815,0.40125008672475815,0.40125008672475815,875.445,0.0,0.0,4096.0,51988500,189988864,1,True
extra-082,keys,ivf,4096,4096,0,0,16,4096,0.0137,0.5837078206241131,0.5837078206241131,0.5837078206241131,493.67,0.0,0.0,4096.0,51988500,189661184,1,True
extra-017,branch,ivf,256,29,128,4096,0,0,0.893,6.124541629105806,6.124541629105806,6.124541629105806,76132.86,174771.97,105963.275,0.0,72272384,192380928,1,True
