setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,key_limit,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
setting-048,scan,ivf,4096,72,0,0,0,0,0.80005,0.5842293612658978,0.5750830750912428,0.5951456259936094,18106.705,0.0,0.0,0.0,40000000,183369728,3,True
setting-112,scan,ivf,8192,2440,0,0,0,0,0.99,8.7398961186409,8.677500067278743,8.82164598442614,295858.36,0.0,0.0,0.0,40000000,190578688,3,True
setting-101,keys,ivf,8192,353,0,0,1,0,0.9002,1.5534162521362305,1.5383749268949032,1.5830209013074636,42847.11,0.0,0.0,706.0,40307400,161316864,3,True
setting-104,scan,ivf,8192,778,0,0,0,0,0.95,2.9748333618044853,2.9435204342007637,3.030541352927685,93930.33,0.0,0.0,0.0,40000000,190971904,3,True
setting-117,keys,ivf,8192,2440,0,0,1,0,0.99,9.733396116644144,9.706313023343682,9.768208488821983,295858.36,0.0,0.0,4880.0,40307400,161726464,3,True
setting-053,keys,ivf,4096,72,0,0,1,0,0.80005,0.6181038916110992,0.6094579584896564,0.6329375319182873,18106.705,0.0,0.0,144.0,40158080,153042944,3,True
setting-115,branch,ivf,8192,2440,512,0,0,0,0.99,8.989667287096381,8.947896305471659,9.009146131575108,295858.36,0.0,5820.08,0.0,80310784,231604224,3,True
setting-096,scan,ivf,8192,353,0,0,0,0,0.9002,1.4276662841439247,1.4198962599039078,1.4333538711071014,42847.11,0.0,0.0,0.0,40000000,190251008,3,True
setting-109,keys,ivf,8192,778,0,0,1,0,0.95,3.2566040754318237,3.2282709144055843,3.309604013338685,93930.33,0.0,0.0,1556.0,40307400,161546240,3,True
setting-100,branch,ivf,8192,353,1000000,0,0,0,0.9002,1.4726039953529835,1.4704375062137842,1.4752503484487534,42847.11,0.0,842.46,0.0,80310784,231620608,3,True
setting-108,branch,ivf,8192,778,1000000,0,0,0,0.95,3.065458731725812,3.012061817571521,3.1118961051106453,93930.33,0.0,1849.395,0.0,80310784,231636992,3,True
setting-052,branch,ivf,4096,72,1000000,0,0,0,0.80005,0.5935626104474068,0.5865623243153095,0.5997084081172943,18106.705,0.0,317.625,0.0,76110336,220561408,3,True
