selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s6484,10000,scan,ivf,256,49,0,0,0,0,0,0,0.8017,0.7841975,0.07870793342590332,0.08826020639389753,2,50053120
conservative,0.8,s3523,10000,scan,ivf,256,64,0,0,0,0,0,0,0.8526,0.8373975,0.09577115997672081,0.10703760199248791,1,49922048
mean,0.8,s6478,10000,branch,ivf,256,49,1024,1024,0,0,0,0,0.8017,0.7816974999999999,0.08706236258149147,0.09988336823880672,2,50593792
conservative,0.8,s3308,10000,branch,ivf,256,64,1024,1024,0,0,0,0,0.8526,0.836695,0.10262499563395977,0.11749109253287315,1,50348032
mean,0.8,s6480,10000,keys,ivf,256,49,0,0,4,50000,0,0,0.8017,0.7809975,0.08916645310819149,0.10035659652203321,1,49643520
conservative,0.8,s3122,10000,keys,ivf,256,64,0,0,4,50000,0,0,0.8526,0.8353975,0.11058314703404903,0.12302477844059467,1,49627136
mean,0.9,s6420,10000,scan,ivf,256,85,0,0,0,0,0,0,0.9007,0.8874924999999999,0.12160325422883034,0.1357667613774538,2,50020352
conservative,0.9,s3599,10000,scan,ivf,256,96,0,0,0,0,0,0,0.9189,0.9074,0.12985384091734886,0.14267461374402046,1,49823744
mean,0.9,s6817,10000,branch,ivf,256,85,0,1024,0,0,0.1,"7,11,19",0.9007,0.8874974999999999,0.1294161193072796,0.14183716848492622,3,50708480
conservative,0.9,s3184,10000,branch,ivf,256,96,1024,512,0,0,0,0,0.9189,0.9088,0.13870839029550552,0.15519631560891867,1,50380800
mean,0.9,s6549,10000,keys,ivf,64,26,0,0,4,0,0,0,0.9016,0.8888975,0.136104179546237,0.14948525931686163,1,49577984
conservative,0.9,s3833,10000,keys,ivf,256,96,0,0,4,10000,0,0,0.9189,0.9083,0.15658396296203136,0.168516649864614,1,49594368
mean,0.95,s6243,10000,scan,ivf,256,119,0,0,0,0,0,0,0.9501,0.9429,0.15320838429033756,0.1713895471766591,2,50135040
conservative,0.95,s2952,10000,scan,ivf,256,128,0,0,0,0,0,0,0.9574,0.9506,0.1651665661484003,0.1810481073334813,1,49643520
mean,0.95,s6789,10000,branch,ivf,256,119,2048,512,0,0,0.1,"7,11,19",0.9501,0.9425975,0.16993749886751175,0.18408631440252066,3,50528256
conservative,0.95,s2961,10000,branch,ivf,256,128,2048,512,0,0,0,0,0.9574,0.9509974999999999,0.17504161223769188,0.1906812423840165,1,50282496
mean,0.95,s6210,10000,keys,ivf,64,36,0,0,4,0,0,0,0.9542,0.9463975,0.17906306311488152,0.20050141029059887,1,49463296
conservative,0.95,s3478,10000,keys,ivf,256,128,0,0,4,50000,0,0,0.9574,0.9505,0.19291695207357407,0.20942131523042917,1,49741824
mean,0.99,s6260,10000,scan,ivf,256,186,0,0,0,0,0,0,0.9902,0.9873,0.2278955653309822,0.2391960471868515,2,49692672
conservative,0.99,s3133,10000,scan,ivf,256,192,0,0,0,0,0,0,0.9926,0.9905,0.23502111434936523,0.2447274513542652,1,49872896
mean,0.99,s6262,10000,branch,ivf,256,186,256,128,0,0,0,0,0.9902,0.9875,0.23925048299133778,0.26265839114785194,1,50413568
conservative,0.99,s3208,10000,branch,ivf,256,192,256,128,0,0,0,0,0.9926,0.9905975,0.24391664192080498,0.2618083730340004,1,50675712
mean,0.99,s6281,10000,keys,ivf,64,51,0,0,4,0,0,0,0.9903,0.9877,0.2446454018354416,0.25941915810108185,1,49528832
conservative,0.99,s3668,10000,keys,ivf,256,192,0,0,4,10000,0,0,0.9926,0.9905,0.273208599537611,0.29064416885375977,1,49741824
mean,0.8,s6646,100000,scan,ivf,1024,61,0,0,0,0,0,0,0.8025,0.775295,0.19714655354619026,0.21171839907765388,2,62423040
conservative,0.8,s2087,100000,scan,ivf,2048,128,0,0,0,0,0,0,0.827,0.8031975,0.2299165353178978,0.25156685151159763,1,62783488
mean,0.8,s6436,100000,branch,ivf,1024,61,2048,512,0,0,0,0,0.8025,0.7745,0.20925002172589302,0.22440641187131405,2,66633728
conservative,0.8,s2892,100000,branch,ivf,2048,128,4096,1024,0,0,0,0,0.827,0.8003925,0.24345866404473782,0.26665839832276106,1,69140480
mean,0.8,s0577,100000,keys,ivf,1024,64,0,0,4,50000,0,0,0.8094,0.7837,0.22179214283823967,0.2377975732088089,1,59670528
conservative,0.8,s1189,100000,keys,ivf,2048,128,0,0,4,0,0,0,0.827,0.8026924999999999,0.2574995160102844,0.27789019513875246,1,62078976
mean,0.9,s6218,100000,scan,ivf,1024,138,0,0,0,0,0,0,0.9001,0.8834924999999999,0.3937915898859501,0.4234190098941326,2,62619648
conservative,0.9,s2078,100000,scan,ivf,4096,512,0,0,0,0,0,0,0.9202,0.9074,0.49300026148557663,0.5251183174550533,1,68485120
mean,0.9,s6214,100000,branch,ivf,1024,138,0,1024,0,0,0,0,0.9001,0.8836975,0.42041647247970104,0.4428327549248934,2,66732032
conservative,0.9,s1231,100000,branch,ivf,2048,320,512,1024,0,0,0,0,0.9236,0.909195,0.5194379482418299,0.5514229880645871,1,69369856
mean,0.9,s6745,100000,keys,ivf,1024,138,0,0,4,0,0,0,0.9001,0.8829,0.4349581431597471,0.4587392555549741,1,59752448
conservative,0.9,s1872,100000,keys,ivf,2048,320,0,0,4,0,0,0,0.9236,0.9089900000000001,0.5681666079908609,0.6079768063500524,1,62160896
mean,0.95,s2381,100000,scan,ivf,2048,448,0,0,0,0,0,0,0.9506,0.9405975,0.6579170003533363,0.7033750647678971,1,63995904
conservative,0.95,s1358,100000,scan,ivf,2048,512,0,0,0,0,0,0,0.9586,0.95,0.7656875532120466,0.8013729937374592,1,63913984
mean,0.95,s6774,100000,branch,ivf,2048,447,1024,512,0,0,0.3,"7,11,19",0.9502,0.9408974999999999,0.6951037794351578,0.7434976520016789,3,69238784
conservative,0.95,s1207,100000,branch,ivf,2048,512,2048,512,0,0,0,0,0.9586,0.9504975,0.7857908494770527,0.8299981243908405,1,68059136
mean,0.95,s6686,100000,keys,ivf,1024,248,0,0,4,0,0,0,0.9501,0.9394,0.7559580262750387,0.7895662914961576,1,59621376
conservative,0.95,s1289,100000,keys,ivf,512,160,0,0,4,0,0,0,0.9603,0.952,0.9132090490311384,0.9507582755759358,1,58228736
mean,0.99,s0046,100000,scan,ivf,1024,512,0,0,0,0,0,0,0.9906,0.9876,1.3160421513020992,1.3752496102824807,1,62390272
conservative,0.99,s1924,100000,scan,ivf,512,320,0,0,0,0,0,0,0.9942,0.9922,1.6196039505302906,1.659856247715652,1,61816832
