case_id,method,documents,phase,leaf_size,node_budget,key_bits,candidate_target,recall,p50_ms,predicted_p50_ms,p50_error_percent,p95_ms,predicted_p95_ms,within_twenty_percent,logical_index_bytes,array_capacity_bytes,rss_before_queries,sampled_query_peak,lifetime_peak_bytes,budget_status,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts,max_mask_bytes,max_key_queue_bytes,power_unchanged
0,keys,32768,check,0,0,8,0,1.0,0.8682501502335072,0.910023718779089,4.811236546788654,0.9353057714179157,0.9114355805191418,True,1315840,1310720,49102848,53559296,53559296,fits_by_lifetime_peak,32768.0,0.0,0.0,256.0,0,2048,True
1,branch,16384,fit,8,0,0,0,1.0,2.483270363882184,2.2775504991665225,-8.28423145976149,2.5947252986952662,2.284523606908062,True,1179648,1179648,50528256,54968320,54968320,fits_by_lifetime_peak,16384.0,755392.0,755136.0,0.0,1396736,0,True
2,branch,4096,fit,128,0,0,0,1.0,0.1437915489077568,0.1588614048911415,10.480348878536741,0.1645562471821904,0.1597452750575581,True,294912,294912,48627712,52166656,52166656,fits_by_lifetime_peak,4096.0,2928.0,2992.0,0.0,10240,0,True
3,branch,4096,fit,32,512,0,0,1.0,0.18714554607868195,0.19267662911838435,2.9554980899074974,0.2078606281429529,0.19471638309732878,True,294912,294912,48611328,48758784,48758784,fits_by_lifetime_peak,4096.0,11840.0,11904.0,0.0,28160,0,True
4,branch,16384,fit,32,512,0,0,0.7537499999999999,0.29754149727523327,0.29996274433550396,0.8137510506747834,0.34494735300540924,0.30816474047928083,True,1179648,1179648,49463296,49528832,49561600,fits_by_lifetime_peak,4161.25,83776.0,47296.0,0.0,352256,0,True
5,keys,8192,check,0,0,12,1000,0.27749999999999997,0.0654999166727066,0.06588070482066637,0.5813566906695539,0.07682954892516135,0.06671897618186164,True,398840,327680,48726016,48840704,49004544,fits_by_lifetime_peak,1001.375,0.0,0.0,504.0,0,8192,True
6,branch,2048,check,8,512,0,0,0.9187500000000001,0.09954161942005157,0.10207457944770866,2.5446240903198007,0.11277163866907358,0.10267036851806444,True,147456,147456,48431104,48611328,48611328,fits_by_lifetime_peak,1257.0,9280.0,7104.0,0.0,25088,0,True
7,branch,32768,check,128,512,0,0,0.9575,0.9257704950869083,0.9049521024355993,-2.2487638957811744,1.006776629947126,0.9398146919613429,True,2359296,2359296,51331072,51527680,51937280,fits_by_lifetime_peak,19078.75,152192.0,109952.0,0.0,434176,0,True
8,branch,262144,fit,32,0,0,0,1.0,125.53289602510631,96.29264599564263,-23.29289847946764,130.19618939142674,96.60894442550722,False,18874368,18874368,156188672,160972800,160972800,fits_by_lifetime_peak,262144.0,48776704.0,48780800.0,0.0,82378752,0,True
9,keys,2048,check,0,0,4,1000,0.62375,0.044666463509202003,0.04703858839691626,5.310751515453118,0.054495315998792634,0.049672729890530565,True,82240,81920,48513024,48627712,48627712,fits_by_lifetime_peak,1066.75,0.0,0.0,8.375,0,128,True
10,keys,16384,fit,0,0,8,0,1.0,0.46339607797563076,0.4694229666156331,1.300591206194732,0.48966885078698397,0.47047121673949155,True,660480,655360,48644096,52707328,52707328,fits_by_lifetime_peak,16384.0,0.0,0.0,256.0,0,2048,True
11,keys,32768,check,0,0,12,1000,0.095,0.05029141902923584,0.050565283569080195,0.5445552047062941,0.061062350869178765,0.05155250995907251,True,1392620,1310720,49643520,49823744,50708480,fits_by_lifetime_peak,1003.75,0.0,0.0,127.25,0,4096,True
12,scan,4096,fit,0,0,0,0,1.0,0.12141698971390724,0.12240979251253524,0.8176802941394957,0.1371168531477451,0.12355825294542232,True,163840,163840,48857088,52232192,52232192,fits_by_lifetime_peak,4096.0,0.0,0.0,0.0,0,0,True
13,keys,8192,check,0,0,8,1000,0.225,0.04443759098649025,0.04713006807411206,6.059007763135423,0.05099361296743154,0.047507697126098335,True,332800,327680,48676864,48807936,48922624,fits_by_lifetime_peak,1020.375,0.0,0.0,32.125,0,512,True
14,keys,262144,fit,0,0,4,1000,0.09,0.46114553697407246,0.4593580592804627,-0.3876168259892022,0.47474808525294065,0.46072326931900665,True,10486080,10485760,61800448,61931520,70205440,fits_by_lifetime_peak,16376.875,0.0,0.0,1.0,0,16,True
15,keys,131072,check,0,0,8,1000,0.030000000000000002,0.044188229367136955,0.04596450024978618,4.019782888087955,0.058137811720371246,0.058324634090925614,True,5248000,5242880,54738944,54870016,58916864,fits_by_lifetime_peak,1087.625,0.0,0.0,2.125,0,32,True
16,branch,262144,fit,128,512,0,0,0.5700000000000001,2.4000415578484535,2.3746494489998806,-1.0579862155110333,2.8862722683697934,2.4042787025771295,True,18874368,18874368,81264640,81608704,82837504,fits_by_lifetime_peak,14300.75,1456128.0,641024.0,0.0,6979584,0,True
