case_id,method,documents,phase,leaf_size,node_budget,key_bits,candidate_target,recall,p50_ms,predicted_p50_ms,p50_error_percent,p95_ms,predicted_p95_ms,within_twenty_percent,logical_index_bytes,array_capacity_bytes,rss_before_queries,sampled_query_peak,lifetime_peak_bytes,budget_status,mean_scored,mean_split_words,mean_leaf_words,mean_key_attempts,max_mask_bytes,max_key_queue_bytes,power_unchanged
0,keys,49152,check,0,0,4,1000,0.12,0.1077498309314251,0.10094977287157644,-6.310968658666752,0.11638146825134753,0.10378365623439527,True,1966400,2097152,50282496,50380800,51806208,fits_by_lifetime_peak,3094.125,0.0,0.0,1.0,0,16,True
1,keys,12288,check,0,0,12,1000,0.18625,0.0635830219835043,0.059021361274455716,-7.1743376875544485,0.07617704104632139,0.06016629428073109,True,569180,524288,48840704,49004544,49217536,fits_by_lifetime_peak,1001.875,0.0,0.0,335.375,0,8192,True
2,branch,12288,check,32,512,0,0,0.8500000000000001,0.28720847330987453,0.28920085005990803,0.6937040286704513,0.315526663325727,0.29457665128602667,True,884736,1048576,49004544,49201152,49201152,fits_by_lifetime_peak,4731.375,58704.0,39600.0,0.0,204288,0,True
3,branch,196608,check,128,512,0,0,0.64375,2.0020415540784597,1.9577469270282881,-2.2124729109611536,2.3526204749941826,1.9743709451816025,True,14155776,16777216,75071488,75251712,76251136,fits_by_lifetime_peak,15842.625,1065600.0,507264.0,0.0,4718592,0,True
4,keys,196608,check,0,0,12,0,1.0,5.442416295409203,5.477076187173901,0.6368474935284619,5.907906149514019,5.4780302805854655,True,7946240,8388608,58982400,62570496,65241088,fits_by_lifetime_peak,196608.0,0.0,0.0,4096.0,0,32768,True
5,keys,49152,check,0,0,12,1000,0.065,0.04685390740633011,0.04868136303266897,3.900327053815722,0.059106131084263325,0.04948354573177907,True,2048000,2097152,50315264,50528256,51871744,fits_by_lifetime_peak,1004.0,0.0,0.0,83.875,0,2048,True
6,branch,196608,check,128,0,0,0,1.0,21.41189598478377,17.91726990324509,-16.320955808967664,23.621991951949894,17.923488852437867,True,14155776,16777216,82100224,85524480,85524480,fits_by_lifetime_peak,196608.0,6293376.0,6296448.0,0.0,11427840,0,True
7,keys,49152,check,0,0,8,0,1.0,1.3355410192161798,1.350644028716612,1.130853285906257,1.3448141748085618,1.3516002176039696,True,1971200,2097152,50233344,54640640,54640640,fits_by_lifetime_peak,49152.0,0.0,0.0,256.0,0,2048,True
8,keys,196608,check,0,0,8,0,1.0,5.027437582612038,5.3162137796382725,5.744003625723768,5.248247971758246,5.317278258057994,True,7869440,8388608,59129856,62603264,65404928,fits_by_lifetime_peak,196608.0,0.0,0.0,256.0,0,2048,True
9,branch,49152,check,128,0,0,0,1.0,2.435520524159074,2.4055430051557734,-1.230846494863803,2.5555900996550918,2.407544019792296,True,3538944,4194304,53870592,57294848,57294848,fits_by_lifetime_peak,49152.0,392736.0,393504.0,0.0,792576,0,True
10,keys,196608,check,0,0,12,1000,0.021249999999999998,0.04652119241654873,0.04637530208338723,-0.3135997286036983,0.05361880175769329,0.047296705395570585,True,7946240,8388608,59211776,59310080,65486848,fits_by_lifetime_peak,1017.0,0.0,0.0,21.125,0,512,True
