method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02860,30,145,1,1000,1,True,True,0.9502333333333334,0.11208299838472158,0.12491698798839934,112.97916804323904,0.11208299838472158,0.11208299838472158,0.11208299838472158,8366896,78118912,9944.245,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02822,3,19,1,1000,1,True,True,0.803,0.02983299782499671,0.037592302396660664,31.18620590248611,0.02983299782499671,0.02983299782499671,0.02983299782499671,8366896,78118912,1307.699,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,8192,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-8192-seed42,main-s02831,5,353,1,1000,1,True,True,0.99,0.22816700220573694,0.4288952091883398,267.5677329825703,0.22816700220573694,0.22816700220573694,0.22816700220573694,8366896,78118912,24084.84,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,512,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-512-seed42,main-s02126,15,11,1,1000,1,True,True,0.8112,0.045082997530698776,0.05358720372896641,45.63872792641632,0.045082997530698776,0.045082997530698776,0.045082997530698776,8366896,80691200,11591.786,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,512,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-512-seed42,main-s02150,75,14,1,1000,1,True,True,0.8037866666666666,0.06791600026190281,0.0783812502049841,68.54459695750847,0.06791600026190281,0.06791600026190281,0.06791600026190281,8366896,80691200,14731.211,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,512,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-512-seed42,main-s02109,5,18,1,1000,1,True,True,0.9014,0.06604199734283611,0.075431552977534,66.47265702486038,0.06604199734283611,0.06604199734283611,0.06604199734283611,8366896,80691200,18943.02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,128,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-128-seed42,main-s01441,100,128,1,1000,1,True,True,1.0,1.6990209987852722,2.5133062517852505,1805.5440468306188,1.6990209987852722,1.6990209987852722,1.6990209987852722,8366896,78741504,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,128,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-128-seed42,main-s01397,7,36,1,1000,1,True,True,0.9907142857142858,0.4839789980906062,0.557383641717024,495.90111896395683,0.4839789980906062,0.4839789980906062,0.4839789980906062,8366896,78741504,149970.47,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,128,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-128-seed42,main-s01421,30,37,1,1000,1,True,True,0.9900333333333333,0.49927049985853955,0.5337139460607432,499.8629837355111,0.49927049985853955,0.49927049985853955,0.49927049985853955,8366896,78741504,154078.378,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,32,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-32-seed42,main-s00695,20,15,1,1000,1,True,True,0.99155,0.810792000265792,0.8956149053119588,820.5132359580602,0.810792000265792,0.810792000265792,0.810792000265792,8366896,72597504,248636.571,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
