top_k,depth,queries,local_recall,global_recall,documents_scored,new_documents_scored,prefix_lookups,new_prefix_lookups,fraction_bound_allows_stop
1,0,1000,1.0,0.99,41147.48,16748.846,4992.0,0.0,1.0
1,1,1000,0.912,0.904,24398.634,8714.49,4992.0,156.0,0.662
1,2,1000,0.827,0.82,15684.144,759.203,4836.0,156.0,0.496
1,3,1000,0.781,0.774,14924.941,5127.613,4680.0,156.0,0.167
1,4,1000,0.743,0.736,9797.328,3250.508,4524.0,156.0,0.164
1,5,1000,0.672,0.666,6546.82,1617.645,4368.0,156.0,0.151
1,6,1000,0.646,0.64,4929.175,1986.358,4212.0,156.0,0.148
1,7,1000,0.592,0.586,2942.817,1172.65,4056.0,156.0,0.131
1,8,1000,0.542,0.537,1770.167,601.909,3900.0,156.0,0.129
1,9,1000,0.484,0.479,1168.258,460.436,3744.0,156.0,0.123
1,10,1000,0.451,0.446,707.822,276.216,3588.0,156.0,0.12
1,11,1000,0.41,0.406,431.606,176.29,3432.0,156.0,0.117
1,12,1000,0.38,0.378,255.316,97.987,3276.0,156.0,0.116
1,13,1000,0.347,0.346,157.329,1.138,3120.0,156.0,0.111
1,14,1000,0.345,0.344,156.191,0.36,2964.0,156.0,0.109
1,15,1000,0.344,0.343,155.831,48.832,2808.0,156.0,0.109
1,16,1000,0.32,0.319,106.999,28.894,2652.0,156.0,0.109
1,17,1000,0.302,0.301,78.105,30.937,2496.0,156.0,0.108
1,18,1000,0.279,0.278,47.168,13.117,2340.0,156.0,0.107
1,19,1000,0.269,0.268,34.051,13.462,2184.0,156.0,0.107
1,20,1000,0.245,0.245,20.589,7.786,2028.0,156.0,0.105
1,21,1000,0.226,0.226,12.803,5.368,1872.0,156.0,0.103
1,22,1000,0.2,0.2,7.435,2.879,1716.0,156.0,0.101
1,23,1000,0.185,0.185,4.556,1.306,1560.0,156.0,0.099
1,24,1000,0.163,0.163,3.25,1.151,1404.0,156.0,0.095
1,25,1000,0.153,0.153,2.099,0.808,1248.0,156.0,0.094
1,26,1000,0.134,0.134,1.291,0.431,1092.0,156.0,0.092
1,27,1000,0.123,0.123,0.86,0.223,936.0,156.0,0.09
1,28,1000,0.115,0.115,0.637,0.23,780.0,156.0,0.089
1,29,1000,0.11,0.11,0.407,0.14,624.0,156.0,0.088
1,30,1000,0.099,0.099,0.267,0.085,468.0,156.0,0.086
1,31,1000,0.087,0.087,0.182,0.044,312.0,156.0,0.085
1,32,1000,0.082,0.082,0.138,0.138,156.0,156.0,0.082
2,0,1000,1.0,0.984,41147.48,16748.846,4992.0,0.0,1.0
2,1,1000,0.899,0.8855,24398.634,8714.49,4992.0,156.0,0.54
2,2,1000,0.7945,0.7845,15684.144,759.203,4836.0,156.0,0.346
2,3,1000,0.751,0.7415,14924.941,5127.613,4680.0,156.0,0.069
2,4,1000,0.7045,0.696,9797.328,3250.508,4524.0,156.0,0.065
2,5,1000,0.6315,0.6255,6546.82,1617.645,4368.0,156.0,0.06
2,6,1000,0.6,0.5955,4929.175,1986.358,4212.0,156.0,0.057
2,7,1000,0.546,0.5415,2942.817,1172.65,4056.0,156.0,0.049
2,8,1000,0.495,0.4915,1770.167,601.909,3900.0,156.0,0.049
2,9,1000,0.44,0.4375,1168.258,460.436,3744.0,156.0,0.045
2,10,1000,0.403,0.4005,707.822,276.216,3588.0,156.0,0.044
2,11,1000,0.3605,0.3585,431.606,176.29,3432.0,156.0,0.041
2,12,1000,0.327,0.325,255.316,97.987,3276.0,156.0,0.04
2,13,1000,0.2925,0.2905,157.329,1.138,3120.0,156.0,0.038
2,14,1000,0.29,0.288,156.191,0.36,2964.0,156.0,0.038
2,15,1000,0.2885,0.2865,155.831,48.832,2808.0,156.0,0.038
2,16,1000,0.2615,0.26,106.999,28.894,2652.0,156.0,0.036
2,17,1000,0.248,0.247,78.105,30.937,2496.0,156.0,0.036
2,18,1000,0.2275,0.227,47.168,13.117,2340.0,156.0,0.036
2,19,1000,0.2145,0.214,34.051,13.462,2184.0,156.0,0.035
2,20,1000,0.1925,0.192,20.589,7.786,2028.0,156.0,0.032
2,21,1000,0.1735,0.173,12.803,5.368,1872.0,156.0,0.031
2,22,1000,0.152,0.1515,7.435,2.879,1716.0,156.0,0.031
2,23,1000,0.139,0.1385,4.556,1.306,1560.0,156.0,0.031
2,24,1000,0.1235,0.123,3.25,1.151,1404.0,156.0,0.03
