query,top_k,empty_depths,lookups_at_empty_depths,total_lookups
0,1,14,2184,4992
0,2,14,2184,4992
0,3,14,2184,4992
0,5,14,2184,4992
0,10,14,2184,4992
0,20,14,2184,4992
0,50,14,2184,4992
0,100,14,2184,4992
1,1,11,1716,4992
1,2,11,1716,4992
1,3,11,1716,4992
1,5,11,1716,4992
1,10,11,1716,4992
1,20,11,1716,4992
1,50,11,1716,4992
1,100,11,1716,4992
2,1,18,2808,4992
2,2,18,2808,4992
2,3,18,2808,4992
2,5,18,2808,4992
2,10,18,2808,4992
2,20,18,2808,4992
2,50,18,2808,4992
2,100,18,2808,4992
3,1,15,2340,4836
3,2,15,2340,4836
3,3,15,2340,4836
3,5,15,2340,4836
3,10,15,2340,4992
3,20,15,2340,4992
3,50,15,2340,4992
3,100,15,2340,4992
4,1,24,3744,4992
4,2,24,3744,4992
4,3,24,3744,4992
4,5,24,3744,4992
4,10,24,3744,4992
4,20,24,3744,4992
4,50,24,3744,4992
4,100,24,3744,4992
5,1,17,2652,4836
5,2,17,2652,4992
5,3,17,2652,4992
5,5,17,2652,4992
5,10,17,2652,4992
5,20,17,2652,4992
5,50,17,2652,4992
5,100,17,2652,4992
6,1,16,2496,4992
6,2,16,2496,4992
6,3,16,2496,4992
6,5,16,2496,4992
6,10,16,2496,4992
6,20,16,2496,4992
6,50,16,2496,4992
6,100,16,2496,4992
7,1,14,2184,4836
7,2,14,2184,4992
7,3,14,2184,4992
7,5,14,2184,4992
7,10,14,2184,4992
7,20,14,2184,4992
7,50,14,2184,4992
7,100,14,2184,4992
8,1,16,2496,4836
8,2,16,2496,4836
8,3,16,2496,4992
8,5,16,2496,4992
8,10,16,2496,4992
8,20,16,2496,4992
8,50,16,2496,4992
8,100,16,2496,4992
9,1,17,2652,4992
9,2,17,2652,4992
9,3,17,2652,4992
9,5,17,2652,4992
9,10,17,2652,4992
9,20,17,2652,4992
9,50,17,2652,4992
9,100,17,2652,4992
10,1,13,2028,4836
10,2,13,2028,4992
10,3,13,2028,4992
10,5,13,2028,4992
10,10,13,2028,4992
10,20,13,2028,4992
10,50,13,2028,4992
10,100,13,2028,4992
11,1,3,468,780
11,2,7,1092,4992
11,3,7,1092,4992
11,5,7,1092,4992
11,10,7,1092,4992
11,20,7,1092,4992
11,50,7,1092,4992
11,100,7,1092,4992
12,1,16,2496,4836
12,2,16,2496,4836
12,3,16,2496,4836
12,5,16,2496,4836
12,10,16,2496,4836
12,20,16,2496,4992
12,50,16,2496,4992
12,100,16,2496,4992
13,1,14,2184,4992
13,2,14,2184,4992
13,3,14,2184,4992
13,5,14,2184,4992
13,10,14,2184,4992
13,20,14,2184,4992
13,50,14,2184,4992
13,100,14,2184,4992
14,1,14,2184,4992
14,2,14,2184,4992
14,3,14,2184,4992
14,5,14,2184,4992
14,10,14,2184,4992
14,20,14,2184,4992
14,50,14,2184,4992
14,100,14,2184,4992
15,1,15,2340,4836
15,2,15,2340,4992
15,3,15,2340,4992
15,5,15,2340,4992
15,10,15,2340,4992
15,20,15,2340,4992
15,50,15,2340,4992
15,100,15,2340,4992
16,1,11,1716,4836
16,2,11,1716,4992
16,3,11,1716,4992
16,5,11,1716,4992
16,10,11,1716,4992
16,20,11,1716,4992
16,50,11,1716,4992
16,100,11,1716,4992
17,1,15,2340,4836
17,2,15,2340,4836
17,3,15,2340,4836
17,5,15,2340,4836
17,10,15,2340,4836
17,20,15,2340,4992
17,50,15,2340,4992
17,100,15,2340,4992
18,1,14,2184,4836
18,2,14,2184,4836
18,3,14,2184,4836
18,5,14,2184,4992
18,10,14,2184,4992
18,20,14,2184,4992
18,50,14,2184,4992
18,100,14,2184,4992
19,1,0,0,156
19,2,9,1404,4836
19,3,9,1404,4836
19,5,9,1404,4992
19,10,9,1404,4992
19,20,9,1404,4992
19,50,9,1404,4992
19,100,9,1404,4992
20,1,22,3432,4836
20,2,22,3432,4836
20,3,22,3432,4836
20,5,22,3432,4836
20,10,22,3432,4992
20,20,22,3432,4992
20,50,22,3432,4992
20,100,22,3432,4992
21,1,0,0,156
21,2,0,0,156
21,3,0,0,156
21,5,11,1716,4836
21,10,11,1716,4836
21,20,11,1716,4992
21,50,11,1716,4992
21,100,11,1716,4992
22,1,11,1716,4992
22,2,11,1716,4992
22,3,11,1716,4992
22,5,11,1716,4992
22,10,11,1716,4992
22,20,11,1716,4992
22,50,11,1716,4992
22,100,11,1716,4992
23,1,16,2496,4524
23,2,16,2496,4524
23,3,16,2496,4836
23,5,16,2496,4992
23,10,16,2496,4992
23,20,16,2496,4992
23,50,16,2496,4992
23,100,16,2496,4992
24,1,15,2340,4992
24,2,15,2340,4992
24,3,15,2340,4992
24,5,15,2340,4992
24,10,15,2340,4992
24,20,15,2340,4992
24,50,15,2340,4992
24,100,15,2340,4992
25,1,15,2340,4992
25,2,15,2340,4992
25,3,15,2340,4992
25,5,15,2340,4992
25,10,15,2340,4992
25,20,15,2340,4992
25,50,15,2340,4992
25,100,15,2340,4992
26,1,13,2028,4992
26,2,13,2028,4992
26,3,13,2028,4992
26,5,13,2028,4992
26,10,13,2028,4992
26,20,13,2028,4992
26,50,13,2028,4992
26,100,13,2028,4992
27,1,16,2496,4992
27,2,16,2496,4992
27,3,16,2496,4992
27,5,16,2496,4992
27,10,16,2496,4992
27,20,16,2496,4992
27,50,16,2496,4992
27,100,16,2496,4992
28,1,14,2184,2496
28,2,15,2340,4992
28,3,15,2340,4992
28,5,15,2340,4992
28,10,15,2340,4992
28,20,15,2340,4992
28,50,15,2340,4992
28,100,15,2340,4992
29,1,13,2028,4836
29,2,13,2028,4836
29,3,13,2028,4836
29,5,13,2028,4836
29,10,13,2028,4992
29,20,13,2028,4992
29,50,13,2028,4992
29,100,13,2028,4992
30,1,0,0,156
30,2,9,1404,4992
30,3,9,1404,4992
30,5,9,1404,4992
30,10,9,1404,4992
30,20,9,1404,4992
30,50,9,1404,4992
30,100,9,1404,4992
31,1,12,1872,4992
31,2,12,1872,4992
31,3,12,1872,4992
31,5,12,1872,4992
31,10,12,1872,4992
31,20,12,1872,4992
31,50,12,1872,4992
31,100,12,1872,4992
32,1,23,3588,4836
32,2,23,3588,4992
32,3,23,3588,4992
32,5,23,3588,4992
32,10,23,3588,4992
32,20,23,3588,4992
32,50,23,3588,4992
32,100,23,3588,4992
33,1,13,2028,4212
33,2,13,2028,4836
33,3,13,2028,4836
33,5,13,2028,4836
33,10,13,2028,4992
33,20,13,2028,4992
33,50,13,2028,4992
33,100,13,2028,4992
34,1,13,2028,3588
34,2,13,2028,4836
34,3,13,2028,4836
34,5,13,2028,4992
34,10,13,2028,4992
34,20,13,2028,4992
34,50,13,2028,4992
34,100,13,2028,4992
35,1,7,1092,4992
35,2,7,1092,4992
35,3,7,1092,4992
35,5,7,1092,4992
35,10,7,1092,4992
35,20,7,1092,4992
35,50,7,1092,4992
35,100,7,1092,4992
36,1,14,2184,4992
36,2,14,2184,4992
36,3,14,2184,4992
36,5,14,2184,4992
36,10,14,2184,4992
36,20,14,2184,4992
36,50,14,2184,4992
36,100,14,2184,4992
37,1,15,2340,4836
37,2,15,2340,4836
37,3,15,2340,4836
37,5,15,2340,4836
37,10,15,2340,4836
37,20,15,2340,4836
37,50,15,2340,4992
37,100,15,2340,4992
38,1,9,1404,4992
38,2,9,1404,4992
38,3,9,1404,4992
38,5,9,1404,4992
38,10,9,1404,4992
38,20,9,1404,4992
38,50,9,1404,4992
38,100,9,1404,4992
39,1,12,1872,4836
39,2,12,1872,4836
39,3,12,1872,4836
39,5,12,1872,4836
39,10,12,1872,4836
39,20,12,1872,4992
39,50,12,1872,4992
39,100,12,1872,4992
40,1,11,1716,4836
40,2,11,1716,4836
40,3,11,1716,4836
40,5,11,1716,4836
40,10,11,1716,4836
40,20,11,1716,4992
40,50,11,1716,4992
40,100,11,1716,4992
41,1,15,2340,4836
41,2,15,2340,4992
41,3,15,2340,4992
41,5,15,2340,4992
41,10,15,2340,4992
41,20,15,2340,4992
41,50,15,2340,4992
41,100,15,2340,4992
42,1,13,2028,4992
42,2,13,2028,4992
42,3,13,2028,4992
42,5,13,2028,4992
42,10,13,2028,4992
42,20,13,2028,4992
42,50,13,2028,4992
42,100,13,2028,4992
43,1,22,3432,4836
43,2,22,3432,4836
43,3,22,3432,4836
43,5,22,3432,4836
43,10,22,3432,4836
43,20,22,3432,4992
43,50,22,3432,4992
43,100,22,3432,4992
44,1,5,780,936
44,2,8,1248,4836
44,3,8,1248,4836
44,5,8,1248,4836
44,10,8,1248,4836
44,20,8,1248,4836
44,50,8,1248,4836
44,100,8,1248,4992
45,1,14,2184,4992
45,2,14,2184,4992
45,3,14,2184,4992
45,5,14,2184,4992
45,10,14,2184,4992
45,20,14,2184,4992
45,50,14,2184,4992
45,100,14,2184,4992
46,1,13,2028,4992
46,2,13,2028,4992
46,3,13,2028,4992
46,5,13,2028,4992
46,10,13,2028,4992
46,20,13,2028,4992
46,50,13,2028,4992
46,100,13,2028,4992
47,1,18,2808,4992
47,2,18,2808,4992
47,3,18,2808,4992
47,5,18,2808,4992
47,10,18,2808,4992
47,20,18,2808,4992
47,50,18,2808,4992
47,100,18,2808,4992
48,1,11,1716,4836
48,2,11,1716,4836
48,3,11,1716,4992
48,5,11,1716,4992
48,10,11,1716,4992
48,20,11,1716,4992
48,50,11,1716,4992
48,100,11,1716,4992
49,1,0,0,156
49,2,10,1560,3588
49,3,10,1560,3588
49,5,10,1560,4836
49,10,10,1560,4836
49,20,10,1560,4992
49,50,10,1560,4992
49,100,10,1560,4992
50,1,17,2652,4992
50,2,17,2652,4992
50,3,17,2652,4992
50,5,17,2652,4992
50,10,17,2652,4992
50,20,17,2652,4992
50,50,17,2652,4992
50,100,17,2652,4992
51,1,13,2028,4992
51,2,13,2028,4992
51,3,13,2028,4992
51,5,13,2028,4992
51,10,13,2028,4992
51,20,13,2028,4992
51,50,13,2028,4992
51,100,13,2028,4992
52,1,5,780,1248
52,2,7,1092,4836
52,3,7,1092,4836
52,5,7,1092,4836
52,10,7,1092,4836
52,20,7,1092,4992
52,50,7,1092,4992
52,100,7,1092,4992
53,1,0,0,156
53,2,13,2028,4992
53,3,13,2028,4992
53,5,13,2028,4992
53,10,13,2028,4992
53,20,13,2028,4992
53,50,13,2028,4992
53,100,13,2028,4992
54,1,8,1248,4836
54,2,8,1248,4836
54,3,8,1248,4836
54,5,8,1248,4992
54,10,8,1248,4992
54,20,8,1248,4992
54,50,8,1248,4992
54,100,8,1248,4992
55,1,12,1872,4836
55,2,12,1872,4836
55,3,12,1872,4992
55,5,12,1872,4992
55,10,12,1872,4992
55,20,12,1872,4992
55,50,12,1872,4992
55,100,12,1872,4992
56,1,15,2340,4992
56,2,15,2340,4992
56,3,15,2340,4992
56,5,15,2340,4992
56,10,15,2340,4992
56,20,15,2340,4992
56,50,15,2340,4992
56,100,15,2340,4992
57,1,0,0,156
57,2,6,936,4836
57,3,6,936,4836
57,5,6,936,4836
57,10,6,936,4836
57,20,6,936,4836
57,50,6,936,4992
57,100,6,936,4992
58,1,17,2652,4992
58,2,17,2652,4992
58,3,17,2652,4992
58,5,17,2652,4992
58,10,17,2652,4992
58,20,17,2652,4992
58,50,17,2652,4992
58,100,17,2652,4992
59,1,10,1560,4992
59,2,10,1560,4992
59,3,10,1560,4992
59,5,10,1560,4992
59,10,10,1560,4992
59,20,10,1560,4992
59,50,10,1560,4992
59,100,10,1560,4992
60,1,14,2184,4836
60,2,14,2184,4992
60,3,14,2184,4992
60,5,14,2184,4992
60,10,14,2184,4992
60,20,14,2184,4992
60,50,14,2184,4992
60,100,14,2184,4992
61,1,11,1716,4836
61,2,11,1716,4992
61,3,11,1716,4992
61,5,11,1716,4992
61,10,11,1716,4992
61,20,11,1716,4992
61,50,11,1716,4992
61,100,11,1716,4992
62,1,0,0,156
62,2,0,0,156
62,3,5,780,4056
62,5,5,780,4524
62,10,5,780,4836
62,20,5,780,4992
62,50,5,780,4992
62,100,5,780,4992
63,1,11,1716,4992
63,2,11,1716,4992
63,3,11,1716,4992
63,5,11,1716,4992
63,10,11,1716,4992
63,20,11,1716,4992
63,50,11,1716,4992
63,100,11,1716,4992
64,1,10,1560,4836
64,2,10,1560,4836
64,3,10,1560,4836
64,5,10,1560,4992
64,10,10,1560,4992
64,20,10,1560,4992
64,50,10,1560,4992
64,100,10,1560,4992
65,1,18,2808,4992
65,2,18,2808,4992
65,3,18,2808,4992
65,5,18,2808,4992
65,10,18,2808,4992
65,20,18,2808,4992
65,50,18,2808,4992
65,100,18,2808,4992
66,1,10,1560,4836
66,2,10,1560,4992
66,3,10,1560,4992
66,5,10,1560,4992
66,10,10,1560,4992
66,20,10,1560,4992
66,50,10,1560,4992
66,100,10,1560,4992
67,1,9,1404,4836
67,2,9,1404,4836
67,3,9,1404,4836
67,5,9,1404,4992
67,10,9,1404,4992
67,20,9,1404,4992
67,50,9,1404,4992
67,100,9,1404,4992
68,1,0,0,156
68,2,0,0,156
68,3,0,0,156
68,5,9,1404,4836
68,10,9,1404,4992
68,20,9,1404,4992
68,50,9,1404,4992
68,100,9,1404,4992
69,1,11,1716,4992
69,2,11,1716,4992
69,3,11,1716,4992
69,5,11,1716,4992
69,10,11,1716,4992
69,20,11,1716,4992
69,50,11,1716,4992
69,100,11,1716,4992
70,1,13,2028,4992
70,2,13,2028,4992
70,3,13,2028,4992
70,5,13,2028,4992
70,10,13,2028,4992
70,20,13,2028,4992
70,50,13,2028,4992
70,100,13,2028,4992
71,1,12,1872,4992
71,2,12,1872,4992
71,3,12,1872,4992
71,5,12,1872,4992
71,10,12,1872,4992
71,20,12,1872,4992
71,50,12,1872,4992
71,100,12,1872,4992
72,1,25,3900,4836
72,2,25,3900,4836
72,3,25,3900,4836
72,5,25,3900,4836
72,10,25,3900,4992
72,20,25,3900,4992
72,50,25,3900,4992
72,100,25,3900,4992
73,1,6,936,3276
73,2,6,936,4992
73,3,6,936,4992
73,5,6,936,4992
73,10,6,936,4992
73,20,6,936,4992
73,50,6,936,4992
73,100,6,936,4992
74,1,15,2340,4992
74,2,15,2340,4992
74,3,15,2340,4992
74,5,15,2340,4992
74,10,15,2340,4992
74,20,15,2340,4992
74,50,15,2340,4992
74,100,15,2340,4992
75,1,8,1248,4836
75,2,8,1248,4836
75,3,8,1248,4836
75,5,8,1248,4836
75,10,8,1248,4992
75,20,8,1248,4992
75,50,8,1248,4992
75,100,8,1248,4992
76,1,7,1092,4836
76,2,7,1092,4836
76,3,7,1092,4836
76,5,7,1092,4992
76,10,7,1092,4992
76,20,7,1092,4992
76,50,7,1092,4992
76,100,7,1092,4992
77,1,12,1872,4992
77,2,12,1872,4992
77,3,12,1872,4992
77,5,12,1872,4992
77,10,12,1872,4992
77,20,12,1872,4992
77,50,12,1872,4992
77,100,12,1872,4992
78,1,10,1560,4836
78,2,10,1560,4836
78,3,10,1560,4836
78,5,10,1560,4836
78,10,10,1560,4836
78,20,10,1560,4836
78,50,10,1560,4992
78,100,10,1560,4992
79,1,7,1092,1560
79,2,7,1092,2808
79,3,7,1092,2808
79,5,9,1404,4836
79,10,9,1404,4836
79,20,9,1404,4836
79,50,9,1404,4992
79,100,9,1404,4992
80,1,19,2964,4992
80,2,19,2964,4992
80,3,19,2964,4992
80,5,19,2964,4992
80,10,19,2964,4992
80,20,19,2964,4992
80,50,19,2964,4992
80,100,19,2964,4992
81,1,15,2340,4992
81,2,15,2340,4992
81,3,15,2340,4992
81,5,15,2340,4992
81,10,15,2340,4992
81,20,15,2340,4992
81,50,15,2340,4992
81,100,15,2340,4992
82,1,19,2964,4992
82,2,19,2964,4992
82,3,19,2964,4992
82,5,19,2964,4992
82,10,19,2964,4992
82,20,19,2964,4992
82,50,19,2964,4992
82,100,19,2964,4992
83,1,20,3120,4992
83,2,20,3120,4992
83,3,20,3120,4992
83,5,20,3120,4992
83,10,20,3120,4992
83,20,20,3120,4992
83,50,20,3120,4992
83,100,20,3120,4992
84,1,13,2028,4992
84,2,13,2028,4992
84,3,13,2028,4992
84,5,13,2028,4992
84,10,13,2028,4992
84,20,13,2028,4992
84,50,13,2028,4992
84,100,13,2028,4992
85,1,0,0,156
85,2,0,0,156
85,3,0,0,156
85,5,0,0,156
85,10,6,936,4836
85,20,6,936,4836
85,50,6,936,4992
85,100,6,936,4992
86,1,0,0,156
86,2,7,1092,4836
86,3,7,1092,4836
86,5,7,1092,4836
86,10,7,1092,4992
86,20,7,1092,4992
86,50,7,1092,4992
86,100,7,1092,4992
87,1,13,2028,4992
87,2,13,2028,4992
87,3,13,2028,4992
87,5,13,2028,4992
87,10,13,2028,4992
87,20,13,2028,4992
87,50,13,2028,4992
87,100,13,2028,4992
88,1,17,2652,4836
88,2,17,2652,4992
88,3,17,2652,4992
88,5,17,2652,4992
88,10,17,2652,4992
88,20,17,2652,4992
88,50,17,2652,4992
88,100,17,2652,4992
89,1,12,1872,3900
89,2,12,1872,3900
89,3,12,1872,4992
89,5,12,1872,4992
89,10,12,1872,4992
89,20,12,1872,4992
89,50,12,1872,4992
89,100,12,1872,4992
90,1,0,0,156
90,2,0,0,156
90,3,0,0,156
90,5,0,0,156
90,10,0,0,156
90,20,1,156,4992
90,50,1,156,4992
90,100,1,156,4992
91,1,9,1404,4992
91,2,9,1404,4992
91,3,9,1404,4992
91,5,9,1404,4992
91,10,9,1404,4992
91,20,9,1404,4992
91,50,9,1404,4992
91,100,9,1404,4992
92,1,10,1560,4992
92,2,10,1560,4992
92,3,10,1560,4992
92,5,10,1560,4992
92,10,10,1560,4992
92,20,10,1560,4992
92,50,10,1560,4992
92,100,10,1560,4992
93,1,7,1092,4212
93,2,7,1092,4836
93,3,7,1092,4836
93,5,7,1092,4992
93,10,7,1092,4992
93,20,7,1092,4992
93,50,7,1092,4992
93,100,7,1092,4992
94,1,11,1716,4836
94,2,11,1716,4836
94,3,11,1716,4836
94,5,11,1716,4836
94,10,11,1716,4836
94,20,11,1716,4836
94,50,11,1716,4992
94,100,11,1716,4992
95,1,14,2184,4992
95,2,14,2184,4992
95,3,14,2184,4992
95,5,14,2184,4992
95,10,14,2184,4992
95,20,14,2184,4992
95,50,14,2184,4992
95,100,14,2184,4992
96,1,15,2340,4836
96,2,15,2340,4836
96,3,15,2340,4836
96,5,15,2340,4836
96,10,15,2340,4992
96,20,15,2340,4992
96,50,15,2340,4992
96,100,15,2340,4992
97,1,9,1404,4836
97,2,9,1404,4992
97,3,9,1404,4992
97,5,9,1404,4992
97,10,9,1404,4992
97,20,9,1404,4992
97,50,9,1404,4992
97,100,9,1404,4992
98,1,18,2808,4992
98,2,18,2808,4992
98,3,18,2808,4992
98,5,18,2808,4992
98,10,18,2808,4992
98,20,18,2808,4992
98,50,18,2808,4992
98,100,18,2808,4992
99,1,26,4056,4992
99,2,26,4056,4992
99,3,26,4056,4992
99,5,26,4056,4992
99,10,26,4056,4992
99,20,26,4056,4992
99,50,26,4056,4992
99,100,26,4056,4992
100,1,0,0,156
100,2,5,780,4836
100,3,5,780,4992
100,5,5,780,4992
100,10,5,780,4992
100,20,5,780,4992
100,50,5,780,4992
100,100,5,780,4992
101,1,9,1404,4836
101,2,9,1404,4992
101,3,9,1404,4992
101,5,9,1404,4992
101,10,9,1404,4992
101,20,9,1404,4992
101,50,9,1404,4992
101,100,9,1404,4992
102,1,8,1248,4836
102,2,8,1248,4836
102,3,8,1248,4836
102,5,8,1248,4992
102,10,8,1248,4992
102,20,8,1248,4992
102,50,8,1248,4992
102,100,8,1248,4992
103,1,11,1716,4992
103,2,11,1716,4992
103,3,11,1716,4992
103,5,11,1716,4992
103,10,11,1716,4992
103,20,11,1716,4992
103,50,11,1716,4992
103,100,11,1716,4992
104,1,14,2184,4992
104,2,14,2184,4992
104,3,14,2184,4992
104,5,14,2184,4992
104,10,14,2184,4992
104,20,14,2184,4992
104,50,14,2184,4992
104,100,14,2184,4992
105,1,15,2340,4992
105,2,15,2340,4992
105,3,15,2340,4992
105,5,15,2340,4992
105,10,15,2340,4992
105,20,15,2340,4992
105,50,15,2340,4992
105,100,15,2340,4992
106,1,11,1716,4836
106,2,11,1716,4836
106,3,11,1716,4836
106,5,11,1716,4836
106,10,11,1716,4836
106,20,11,1716,4836
106,50,11,1716,4992
106,100,11,1716,4992
107,1,14,2184,4836
107,2,14,2184,4992
107,3,14,2184,4992
107,5,14,2184,4992
107,10,14,2184,4992
107,20,14,2184,4992
107,50,14,2184,4992
107,100,14,2184,4992
108,1,19,2964,4992
108,2,19,2964,4992
108,3,19,2964,4992
108,5,19,2964,4992
108,10,19,2964,4992
108,20,19,2964,4992
108,50,19,2964,4992
108,100,19,2964,4992
109,1,13,2028,4992
109,2,13,2028,4992
109,3,13,2028,4992
109,5,13,2028,4992
109,10,13,2028,4992
109,20,13,2028,4992
109,50,13,2028,4992
109,100,13,2028,4992
110,1,18,2808,4992
110,2,18,2808,4992
110,3,18,2808,4992
110,5,18,2808,4992
110,10,18,2808,4992
110,20,18,2808,4992
110,50,18,2808,4992
110,100,18,2808,4992
111,1,6,936,4992
111,2,6,936,4992
111,3,6,936,4992
111,5,6,936,4992
111,10,6,936,4992
111,20,6,936,4992
111,50,6,936,4992
111,100,6,936,4992
112,1,12,1872,4992
112,2,12,1872,4992
112,3,12,1872,4992
112,5,12,1872,4992
112,10,12,1872,4992
112,20,12,1872,4992
112,50,12,1872,4992
112,100,12,1872,4992
113,1,12,1872,4836
113,2,12,1872,4836
113,3,12,1872,4992
113,5,12,1872,4992
113,10,12,1872,4992
113,20,12,1872,4992
113,50,12,1872,4992
113,100,12,1872,4992
114,1,13,2028,4992
114,2,13,2028,4992
114,3,13,2028,4992
114,5,13,2028,4992
114,10,13,2028,4992
114,20,13,2028,4992
114,50,13,2028,4992
114,100,13,2028,4992
115,1,14,2184,4992
115,2,14,2184,4992
115,3,14,2184,4992
115,5,14,2184,4992
115,10,14,2184,4992
115,20,14,2184,4992
115,50,14,2184,4992
115,100,14,2184,4992
116,1,13,2028,4836
116,2,13,2028,4836
116,3,13,2028,4836
116,5,13,2028,4836
116,10,13,2028,4992
116,20,13,2028,4992
116,50,13,2028,4992
116,100,13,2028,4992
117,1,0,0,156
117,2,6,936,2184
117,3,6,936,2184
117,5,8,1248,4992
117,10,8,1248,4992
117,20,8,1248,4992
117,50,8,1248,4992
117,100,8,1248,4992
118,1,16,2496,4992
118,2,16,2496,4992
118,3,16,2496,4992
118,5,16,2496,4992
118,10,16,2496,4992
118,20,16,2496,4992
118,50,16,2496,4992
118,100,16,2496,4992
119,1,11,1716,4836
119,2,11,1716,4836
119,3,11,1716,4836
119,5,11,1716,4836
119,10,11,1716,4836
119,20,11,1716,4992
119,50,11,1716,4992
