query,top_k,correct_depth,stop_depth,correct_documents_scored,stop_documents_scored,extra_documents_scored,extra_lookups
0,1,4,1,3082,31215,28133,468
0,2,1,1,31215,31215,0,0
0,3,1,1,31215,31215,0,0
0,5,1,1,31215,31215,0,0
0,10,1,0,31215,39741,8526,0
0,20,1,0,31215,39741,8526,0
0,50,1,0,31215,39741,8526,0
0,100,1,0,31215,39741,8526,0
1,1,3,0,22971,43791,20820,312
1,2,3,0,22971,43791,20820,312
1,3,3,0,22971,43791,20820,312
1,5,3,0,22971,43791,20820,312
1,10,0,0,43791,43791,0,0
1,20,0,0,43791,43791,0,0
1,50,0,0,43791,43791,0,0
1,100,0,0,43791,43791,0,0
2,1,7,1,439,24383,23944,936
2,2,3,1,19429,24383,4954,312
2,3,3,1,19429,24383,4954,312
2,5,3,1,19429,24383,4954,312
2,10,3,1,19429,24383,4954,312
2,20,3,1,19429,24383,4954,312
2,50,1,0,24383,40035,15652,0
2,100,1,0,24383,40035,15652,0
3,1,4,2,19975,23258,3283,312
3,2,4,2,19975,23258,3283,312
3,3,4,2,19975,23258,3283,312
3,5,4,2,19975,23258,3283,312
3,10,4,0,19975,44066,24091,468
3,20,2,0,23258,44066,20808,156
3,50,2,0,23258,44066,20808,156
3,100,2,0,23258,44066,20808,156
4,1,2,0,17617,42019,24402,156
4,2,2,0,17617,42019,24402,156
4,3,2,0,17617,42019,24402,156
4,5,2,0,17617,42019,24402,156
4,10,2,0,17617,42019,24402,156
4,20,0,0,42019,42019,0,0
4,50,0,0,42019,42019,0,0
4,100,0,0,42019,42019,0,0
5,1,6,2,1566,6480,4914,624
5,2,4,0,5269,39911,34642,468
5,3,4,0,5269,39911,34642,468
5,5,1,0,19396,39911,20515,0
5,10,1,0,19396,39911,20515,0
5,20,0,0,39911,39911,0,0
5,50,0,0,39911,39911,0,0
5,100,0,0,39911,39911,0,0
6,1,10,0,289,40898,40609,1404
6,2,10,0,289,40898,40609,1404
6,3,4,0,3117,40898,37781,468
6,5,4,0,3117,40898,37781,468
6,10,0,0,40898,40898,0,0
6,20,0,0,40898,40898,0,0
6,50,0,0,40898,40898,0,0
6,100,0,0,40898,40898,0,0
7,1,8,2,3411,17864,14453,936
7,2,3,0,17741,39778,22037,312
7,3,3,0,17741,39778,22037,312
7,5,3,0,17741,39778,22037,312
7,10,3,0,17741,39778,22037,312
7,20,3,0,17741,39778,22037,312
7,50,0,0,39778,39778,0,0
7,100,0,0,39778,39778,0,0
8,1,12,2,197,22284,22087,1560
8,2,6,2,11565,22284,10719,624
8,3,6,1,11565,26107,14542,780
8,5,6,1,11565,26107,14542,780
8,10,4,1,15285,26107,10822,468
8,20,4,1,15285,26107,10822,468
8,50,1,1,26107,26107,0,0
8,100,1,1,26107,26107,0,0
9,1,6,0,1829,39265,37436,780
9,2,4,0,14743,39265,24522,468
9,3,4,0,14743,39265,24522,468
9,5,1,0,18593,39265,20672,0
9,10,0,0,39265,39265,0,0
9,20,0,0,39265,39265,0,0
9,50,0,0,39265,39265,0,0
9,100,0,0,39265,39265,0,0
10,1,20,2,2,19983,19981,2808
10,2,6,0,3184,39667,36483,780
10,3,6,0,3184,39667,36483,780
10,5,0,0,39667,39667,0,0
10,10,0,0,39667,39667,0,0
10,20,0,0,39667,39667,0,0
10,50,0,0,39667,39667,0,0
10,100,0,0,39667,39667,0,0
11,1,28,28,5,5,0,0
11,2,1,0,25646,40794,15148,0
11,3,1,0,25646,40794,15148,0
11,5,0,0,40794,40794,0,0
11,10,0,0,40794,40794,0,0
11,20,0,0,40794,40794,0,0
11,50,0,0,40794,40794,0,0
11,100,0,0,40794,40794,0,0
12,1,3,2,5552,5595,43,156
12,2,3,2,5552,5595,43,156
12,3,3,2,5552,5595,43,156
12,5,3,2,5552,5595,43,156
12,10,3,2,5552,5595,43,156
12,20,3,1,5552,28835,23283,312
12,50,1,0,28835,45227,16392,0
12,100,0,0,45227,45227,0,0
13,1,7,1,2626,30963,28337,936
13,2,3,1,10225,30963,20738,312
13,3,3,1,10225,30963,20738,312
13,5,3,1,10225,30963,20738,312
13,10,1,1,30963,30963,0,0
13,20,1,0,30963,37678,6715,0
13,50,1,0,30963,37678,6715,0
13,100,1,0,30963,37678,6715,0
14,1,3,1,25363,28493,3130,312
14,2,3,1,25363,28493,3130,312
14,3,3,1,25363,28493,3130,312
14,5,3,1,25363,28493,3130,312
14,10,3,1,25363,28493,3130,312
14,20,3,1,25363,28493,3130,312
14,50,3,1,25363,28493,3130,312
14,100,1,0,28493,41696,13203,0
15,1,6,2,1461,22693,21232,624
15,2,4,1,9155,24448,15293,468
15,3,4,1,9155,24448,15293,468
15,5,4,1,9155,24448,15293,468
15,10,4,0,9155,40570,31415,468
15,20,3,0,22678,40570,17892,312
15,50,3,0,22678,40570,17892,312
15,100,3,0,22678,40570,17892,312
16,1,7,2,1564,20286,18722,780
16,2,4,0,12630,44130,31500,468
16,3,4,0,12630,44130,31500,468
16,5,4,0,12630,44130,31500,468
16,10,0,0,44130,44130,0,0
16,20,0,0,44130,44130,0,0
16,50,0,0,44130,44130,0,0
16,100,0,0,44130,44130,0,0
17,1,11,2,275,22102,21827,1404
17,2,5,2,12485,22102,9617,468
17,3,5,2,12485,22102,9617,468
17,5,5,2,12485,22102,9617,468
17,10,4,2,16567,22102,5535,312
17,20,4,0,16567,37332,20765,468
17,50,4,0,16567,37332,20765,468
17,100,0,0,37332,37332,0,0
18,1,8,2,607,23841,23234,936
18,2,4,2,8582,23841,15259,312
18,3,3,2,23819,23841,22,156
18,5,3,1,23819,25793,1974,312
18,10,3,1,23819,25793,1974,312
18,20,3,1,23819,25793,1974,312
18,50,3,1,23819,25793,1974,312
18,100,1,1,25793,25793,0,0
19,1,32,32,1,1,0,0
19,2,14,2,36,24067,24031,1872
19,3,6,2,5813,24067,18254,624
19,5,6,1,5813,31129,25316,780
19,10,6,1,5813,31129,25316,780
19,20,4,1,19880,31129,11249,468
19,50,1,1,31129,31129,0,0
19,100,1,0,31129,37780,6651,0
20,1,2,2,13909,13909,0,0
20,2,2,2,13909,13909,0,0
20,3,2,2,13909,13909,0,0
20,5,2,2,13909,13909,0,0
20,10,0,0,38448,38448,0,0
20,20,0,0,38448,38448,0,0
20,50,0,0,38448,38448,0,0
20,100,0,0,38448,38448,0,0
21,1,32,32,3,3,0,0
21,2,32,32,3,3,0,0
21,3,32,32,3,3,0,0
21,5,20,2,21,24466,24445,2808
21,10,5,2,13018,24466,11448,468
21,20,4,1,16166,30522,14356,468
21,50,3,0,24386,42432,18046,312
21,100,1,0,30522,42432,11910,0
22,1,7,0,1288,45280,43992,936
22,2,1,0,23063,45280,22217,0
22,3,0,0,45280,45280,0,0
22,5,0,0,45280,45280,0,0
22,10,0,0,45280,45280,0,0
22,20,0,0,45280,45280,0,0
22,50,0,0,45280,45280,0,0
22,100,0,0,45280,45280,0,0
23,1,4,4,14360,14360,0,0
23,2,4,4,14360,14360,0,0
23,3,4,2,14360,20334,5974,312
23,5,0,0,39990,39990,0,0
23,10,0,0,39990,39990,0,0
23,20,0,0,39990,39990,0,0
23,50,0,0,39990,39990,0,0
23,100,0,0,39990,39990,0,0
24,1,7,1,1574,31567,29993,936
24,2,7,1,1574,31567,29993,936
24,3,7,1,1574,31567,29993,936
24,5,1,1,31567,31567,0,0
24,10,1,1,31567,31567,0,0
24,20,1,0,31567,37846,6279,0
24,50,1,0,31567,37846,6279,0
24,100,1,0,31567,37846,6279,0
25,1,10,0,1184,39431,38247,1404
25,2,10,0,1184,39431,38247,1404
25,3,10,0,1184,39431,38247,1404
25,5,10,0,1184,39431,38247,1404
25,10,0,0,39431,39431,0,0
25,20,0,0,39431,39431,0,0
25,50,0,0,39431,39431,0,0
25,100,0,0,39431,39431,0,0
26,1,19,0,15,40868,40853,2808
26,2,11,0,207,40868,40661,1560
26,3,7,0,5888,40868,34980,936
26,5,7,0,5888,40868,34980,936
26,10,6,0,10295,40868,30573,780
26,20,0,0,40868,40868,0,0
26,50,0,0,40868,40868,0,0
26,100,0,0,40868,40868,0,0
27,1,1,1,26211,26211,0,0
27,2,1,1,26211,26211,0,0
27,3,1,1,26211,26211,0,0
27,5,1,0,26211,39317,13106,0
27,10,1,0,26211,39317,13106,0
27,20,1,0,26211,39317,13106,0
27,50,1,0,26211,39317,13106,0
27,100,1,0,26211,39317,13106,0
28,1,17,17,4,4,0,0
28,2,1,1,28834,28834,0,0
28,3,1,1,28834,28834,0,0
28,5,1,1,28834,28834,0,0
28,10,1,1,28834,28834,0,0
28,20,1,1,28834,28834,0,0
28,50,1,1,28834,28834,0,0
28,100,1,0,28834,35117,6283,0
29,1,8,2,881,5828,4947,936
29,2,8,2,881,5828,4947,936
29,3,8,2,881,5828,4947,936
29,5,8,2,881,5828,4947,936
29,10,8,0,881,40720,39839,1092
29,20,1,0,23696,40720,17024,0
29,50,0,0,40720,40720,0,0
29,100,0,0,40720,40720,0,0
30,1,32,32,1,1,0,0
30,2,7,0,2114,40618,38504,936
30,3,4,0,4401,40618,36217,468
30,5,4,0,4401,40618,36217,468
30,10,0,0,40618,40618,0,0
30,20,0,0,40618,40618,0,0
30,50,0,0,40618,40618,0,0
