method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,main-s00700,15,16,1,0,42,128,8192,True,3000,3,True,True,0.906,0.047833003918640316,0.1095860483474098,174.67842709447723,0.047666995669715106,0.04747850471176207,0.04858300235355273,10490416,84213760,3417.695,245.981,6535.508,1776.241,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01515,30,292,1,,,,,,3000,3,True,True,0.99,0.19391649402678013,0.22179729348863472,596.5563407226,0.19412500114412978,0.19056199380429462,0.1972705067601055,10458620,77201408,39158.445,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01505,30,58,1,,,,,,3000,3,True,True,0.9012666666666667,0.05060449620941654,0.05641700408887118,152.86513202590868,0.05064599827164784,0.0503330011270009,0.050874994485639036,10458620,77201408,7829.971,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01535,75,75,1,,,,,,3000,3,True,True,0.9016533333333333,0.06687499990221113,0.07641605625394732,202.88994548900519,0.06687499990221113,0.06631250289501622,0.06750000466126949,10458620,77037568,10123.537,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01475,15,50,1,,,,,,3000,3,True,True,0.9013333333333333,0.043042004108428955,0.0482520532386843,130.2206267719157,0.043042004108428955,0.04295801045373082,0.043167005060240626,10458620,77037568,6752.21,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,main-s00346,7,8,1,0,42,128,8192,True,3000,3,True,True,0.908,0.03720801032613963,0.11708925667335277,155.47386433172505,0.03570849366951734,0.03512500552460551,0.04400000034365803,10467120,78249984,1632.668,141.729,15469.933,3155.953,0.0,0.0,0.0,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,main-s00352,7,12,1,0,42,128,1024,True,3000,3,True,True,0.954,0.047041496145538986,0.14400205473066308,191.0707977222046,0.046667002607136965,0.04652050120057538,0.04764599725604057,10467120,78217216,2157.665,193.378,21187.657,4233.959,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01262,30,105,1,,,,,,3000,3,True,True,0.9503333333333334,0.08616699778940529,0.0979180957074277,260.9264012717176,0.0862909946590662,0.08550000347895548,0.08670850365888327,8366896,78036992,14137.271,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01249,7,43,1,,,,,,3000,3,True,True,0.9008571428571429,0.03816701064351946,0.043082996853627264,115.51752884406596,0.03804199513979256,0.03737500810530037,0.03902050229953602,8366896,78036992,5808.851,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01257,15,272,1,,,,,,3000,3,True,True,0.99,0.18339549569645897,0.204333002329804,553.0534831923433,0.18372899648966268,0.18131249817088246,0.18512499809730798,8366896,78036992,36486.821,0.0,0.0,0.0,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01500,30,26,1,,,,,,3000,3,True,True,0.8015,0.03083299088757485,0.03504200140014291,93.67689072678331,0.030666007660329342,0.0305419962387532,0.03137500607408583,10458620,77004800,3515.834,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01530,75,35,1,,,,,,3000,3,True,True,0.8022666666666667,0.04166699363850057,0.047791056567803025,126.40235532307997,0.041665989556349814,0.04125000850763172,0.04208399332128465,10458620,77004800,4732.377,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01545,75,354,1,,,,,,3000,3,True,True,0.99004,0.23243750183610246,0.25491599808447063,699.8618866200559,0.23133299691835418,0.23087499721441418,0.2348120033275336,10458620,76972032,47413.069,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,main-s00650,7,8,1,0,42,128,1024,True,3000,3,True,True,0.817,0.025125002139247954,0.05354819659260098,89.24880204722285,0.02514549851184711,0.025020497560035437,0.025312496291007847,10490416,84328448,1485.791,120.344,3336.91,742.673,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01480,15,91,1,,,,,,3000,3,True,True,0.9500666666666666,0.06816700624767691,0.0770041537180077,206.63106080610305,0.06835399835836142,0.0678750075167045,0.06839550042059273,10458620,76906496,12258.41,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01440,7,19,1,,,,,,3000,3,True,True,0.8027142857142857,0.023333996068686247,0.02596105114207602,70.76851317833643,0.023333006538450718,0.02316599420737475,0.023562497517559677,10458620,77168640,2570.73,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s01485,15,272,1,,,,,,3000,3,True,True,0.99,0.1797500008251518,0.19833605401800014,542.0677723013796,0.18041649309452623,0.1777500001480803,0.18099950102623552,10458620,77168640,36486.821,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
