method,clusters,router,setting_id,repetitions,top_k,probes,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0076,1,15,16,128,8192,True,0,42,3000,3,True,True,0.906,0.05016650538891554,0.11250624884269197,181.3369659066666,0.049812493671197444,0.049416994443163276,0.05137499829288572,10490416,84213760,3417.695,245.981,6535.508,1776.241,0.0,0.0,0.0,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0091,1,20,27,128,8192,True,0,42,3000,3,True,True,0.9521,0.08022900146897882,0.18262464727740713,287.17786507331766,0.07918750634416938,0.07779150473652408,0.08322949724970385,10490416,84213760,5617.373,395.086,10332.882,2972.214,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0023,1,2,208,,,,,,3000,3,True,True,0.99,0.14706249930895865,0.17716605216264725,438.32233508874197,0.14641649613622576,0.14589550846721977,0.14927049778634682,10458620,76972032,22758.714,0.0,0.0,0.0,1.461,416.0,0.539,1,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0026,1,3,17,,,,,,3000,3,True,True,0.805,0.02229200617875904,0.026291039102943614,67.79522434226237,0.02233399573015049,0.021667001419700682,0.022916006855666637,10458620,76972032,2041.205,0.0,0.0,0.0,1.544,34.0,0.456,1,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0029,1,3,37,,,,,,3000,3,True,True,0.9,0.034249998861923814,0.03883300814777613,103.92308326845523,0.034249998861923814,0.033791991882026196,0.0347500026691705,10458620,76972032,5003.783,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0032,1,3,70,,,,,,3000,3,True,True,0.95,0.055333992349915206,0.06391599890775979,168.3102819515625,0.05516700184671208,0.05460399552248418,0.056312499509658664,10458620,76972032,9447.94,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0035,1,3,208,,,,,,3000,3,True,True,0.99,0.1475829994888045,0.16729519993532446,446.09070202568546,0.14620799629483372,0.14404149987967685,0.15202050417428836,10458620,76972032,27934.374,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0038,1,5,18,,,,,,3000,3,True,True,0.802,0.022375010303221643,0.0253770536801312,68.04600133909844,0.022374995751306415,0.021667001419700682,0.023084008716978133,10458620,76972032,2436.542,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0059,1,7,223,,,,,,3000,3,True,True,0.99,0.1557500072522089,0.17608604539418593,471.8912855605595,0.15587500092806295,0.15337499644374475,0.15702049859100953,10458620,76906496,29937.305,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0062,1,10,20,,,,,,3000,3,True,True,0.801,0.024374996428377926,0.028542010113596916,74.34339451720007,0.02429200685583055,0.023792003048583865,0.025125002139247954,10458620,76906496,2705.636,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
