method,clusters,router,setting_id,repetitions,top_k,probes,start_depth,candidate_target,stop_when_exact,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0113,1,50,67,0,0,True,3000,3,True,True,0.90092,0.06483300239779055,0.07646008962183258,197.8796311886981,0.06433299859054387,0.06304099224507809,0.06670800212305039,10458620,77185024,9044.784,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0116,1,50,121,0,0,True,3000,3,True,True,0.95036,0.10658300016075373,0.12375204678392036,323.7055835488718,0.1066249969881028,0.10343699977966025,0.10900000052060932,10458620,77185024,16283.632,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0119,1,50,322,0,0,True,3000,3,True,True,0.99004,0.23472949396818876,0.2667982051207218,710.9487146226456,0.23356299789156765,0.22964600066188723,0.24039550044108182,10458620,77185024,43157.822,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0122,1,75,35,0,0,True,3000,3,True,True,0.8022666666666667,0.04545800038613379,0.05329404521035029,138.2367184269242,0.04468749830266461,0.0441250012954697,0.04729200009023771,10458620,77185024,4732.377,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0125,1,75,75,0,0,True,3000,3,True,True,0.9016533333333333,0.07368750084424391,0.0875440440722741,224.54182044020854,0.07306249608518556,0.07068750710459426,0.07716649997746572,10458620,77185024,10123.537,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0128,1,75,134,0,0,True,3000,3,True,True,0.9501066666666667,0.11866699787788093,0.13662705678143539,359.35596529452596,0.11783299851231277,0.1144580019172281,0.1233750008395873,10458620,77185024,18026.948,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0001,1,1,7,,,,3000,3,True,True,0.819,0.021458006813190877,0.03366605087649077,68.55278580042068,0.021332998585421592,0.020624996977858245,0.02274999860674143,10490416,84459520,677.045,84.29,2558.716,308.303,0.0,0.0,0.0,128,1024,True,0,42
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0013,1,2,7,,,,3000,3,True,True,0.814,0.021917003323324025,0.038004148518666604,71.2670096399961,0.02145799226127565,0.021104002371430397,0.023125001462176442,10490416,84459520,807.506,88.711,2635.386,379.322,0.0,0.0,0.0,128,8192,True,0,42
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0025,1,3,7,,,,3000,3,True,True,0.8056666666666666,0.022458494640886784,0.04088750501978204,74.80297495203558,0.02241700713057071,0.021979009034112096,0.02295849844813347,10490416,84459520,929.993,92.962,2710.628,446.023,0.0,0.0,0.0,128,8192,True,0,42
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0037,1,5,7,,,,3000,3,True,True,0.803,0.024209002731367946,0.04854405196965671,83.70278296933975,0.02433299960102886,0.02341600338695571,0.025062494387384504,10490416,84459520,1165.514,101.597,2874.703,573.621,0.0,0.0,0.0,128,8192,True,0,42
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0049,1,7,8,,,,3000,3,True,True,0.817,0.02824999683070928,0.060874997870996594,100.07895386661403,0.02824999683070928,0.027416499506216496,0.029125003493390977,10490416,84459520,1485.791,120.344,3336.91,742.673,0.0,0.0,0.0,128,1024,True,0,42
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,final-s0061,1,10,8,,,,3000,3,True,True,0.8089,0.030957999115344137,0.06529314487124792,109.95502688456327,0.03145799564663321,0.028874499548692256,0.03260449739173055,10490416,84459520,1748.493,130.101,3522.598,887.513,0.0,0.0,0.0,128,8192,True,0,42
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0131,1,75,354,0,0,True,3000,3,True,True,0.99004,0.2616040001157671,0.2959231947897933,790.6362501526019,0.25995798932854086,0.2579580032033846,0.2660629979800433,10458620,77201408,47413.069,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0134,1,100,38,0,0,True,3000,3,True,True,0.80108,0.05183300527278334,0.0632910589047242,159.80986440263223,0.05124999734107405,0.050103990361094475,0.05454100028146058,10458620,77201408,5139.612,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0137,1,100,82,0,0,True,3000,3,True,True,0.90087,0.08216599962906912,0.09829403861658646,250.62257927493192,0.0821249996079132,0.08127049659378827,0.08366699330508709,10458620,77201408,11059.047,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0140,1,100,147,0,0,True,3000,3,True,True,0.95032,0.13095799658913165,0.15120805546757765,395.9612729231594,0.1309375002165325,0.12558400339912623,0.13583349937107414,10458620,77201408,19772.328,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0143,1,100,380,0,0,True,3000,3,True,True,0.99,0.2779165006359108,0.3134159924229607,837.8838744974928,0.2761250070761889,0.2718124887906015,0.28429099620552734,10458620,77201408,50864.535,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0073,1,15,22,,,,3000,3,True,True,0.8005333333333333,0.03133299469482154,0.0374610513972584,95.9314221108798,0.031207993743009865,0.030145500204525888,0.03237499913666397,10965040,80625664,2975.703,22.0,0.0,57.11,0.0,0.0,0.0,2048,8192,True,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0085,1,20,24,,,,3000,3,True,True,0.80445,0.03354199725436047,0.03966699296142906,102.32220764737576,0.033499993151053786,0.03212499723304063,0.0347500026691705,10965040,80625664,3245.004,24.0,0.0,62.267,0.0,0.0,0.0,522931,0,False,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0088,1,20,53,,,,3000,3,True,True,0.90055,0.05629099905490875,0.06462704768637194,170.35929243138526,0.05641700408887118,0.0551670091226697,0.05699999746866524,10965040,80625664,7154.509,53.0,0.0,137.411,0.0,0.0,0.0,2048,8192,True,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0097,1,30,26,,,,3000,3,True,True,0.8015,0.03599999763537198,0.042041996493935585,109.53831922961399,0.035832999856211245,0.03558400203473866,0.03641700459411368,10965040,80625664,3515.834,26.0,0.0,67.467,0.0,0.0,0.0,2048,8192,True,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0100,1,30,58,,,,3000,3,True,True,0.9012666666666667,0.06125000072643161,0.0714190515282098,186.22254380898084,0.06154099537525326,0.05991700163576752,0.062000006437301636,10965040,80625664,7829.971,58.0,0.0,150.391,0.0,0.0,0.0,2048,8192,False,0,42
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0103,1,30,105,,,,3000,3,True,True,0.9503333333333334,0.10277050751028582,0.11800209686043671,311.678869795287,0.10293750528944656,0.10033299622591585,0.10466649837326258,10965040,80625664,14137.271,105.0,0.0,271.643,0.0,0.0,0.0,2048,8192,True,0,42
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0000,1,1,16,,,,3000,3,True,True,0.803,0.022207997972145677,0.026544058346189548,67.99554506142158,0.0221250083995983,0.021375002688728273,0.022895495931152254,8366896,77905920,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0003,1,1,35,,,,3000,3,True,True,0.901,0.035832999856211245,0.0432079985330347,109.94093776389491,0.03529099922161549,0.03500000457279384,0.03708399890456349,8366896,77905920,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0006,1,1,67,,,,3000,3,True,True,0.95,0.057958008255809546,0.06783604985685086,176.43798637436703,0.05758300540037453,0.05616700218524784,0.060125006712041795,8366896,77905920,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0009,1,1,180,,,,3000,3,True,True,0.99,0.13933399168308824,0.16141809901455417,423.4525019128341,0.13658299576491117,0.13566699635703117,0.14660399756394327,8366896,77905920,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0012,1,2,16,,,,3000,3,True,True,0.8,0.0221250083995983,0.02520800626371056,66.99148337065708,0.02235449937870726,0.020916995708830655,0.022958003683015704,8366896,77905920,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0015,1,2,36,,,,3000,3,True,True,0.9025,0.03631250001490116,0.042543096787994714,110.64574115152936,0.036459001421462744,0.03491700044833124,0.037541991332545877,8366896,77905920,4868.495,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,final-s0077,1,15,50,0,0,True,3000,3,True,True,0.9013333333333333,0.047541005187667906,0.05616700218524784,145.0887910905294,0.046792003558948636,0.04629199975170195,0.04954199539497495,10458620,77332480,6752.21,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
