method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02532,50,31,1,1000,1,True,True,0.80312,0.03620800271164626,0.04125210107304156,36.58172212453792,0.03620800271164626,0.03620800271164626,0.03620800271164626,8366896,77594624,4191.465,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00036,50,3,1,1000,1,True,True,0.82324,0.32310399910784326,0.39252980423043465,331.6152489205706,0.32310399910784326,0.32310399910784326,0.32310399910784326,8366896,70647808,98710.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02499,1,180,1,1000,1,True,True,0.99,0.1288539970119018,0.14654520236945245,129.63049300014973,0.1288539970119018,0.1288539970119018,0.1288539970119018,8366896,77889536,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02535,50,322,1,1000,1,True,True,0.99004,0.21481250223587267,0.24508509995939676,217.8730890082079,0.21481250223587267,0.21481250223587267,0.21481250223587267,8366896,77840384,43157.822,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00003,1,9,1,1000,1,True,True,0.992,0.9109374987019692,0.9768771022208966,911.1689498749911,0.9109374987019692,0.9109374987019692,0.9109374987019692,8366896,70549504,295031.449,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00000,1,3,1,1000,1,True,True,0.862,0.30933349989936687,0.3587023988075088,311.2764169709408,0.30933349989936687,0.30933349989936687,0.30933349989936687,8366896,70795264,98710.65,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02496,1,16,1,1000,1,True,True,0.803,0.02083300205413252,0.025502097560092803,21.380147081799805,0.02083300205413252,0.02083300205413252,0.02083300205413252,8366896,77807616,2166.455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00039,50,10,1,1000,1,True,True,0.99326,1.0283330011588987,1.0900312550802482,1028.1212020054227,1.0283330011588987,1.0283330011588987,1.0283330011588987,8366896,70631424,327781.331,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02547,1,16,1,1000,1,True,True,0.803,0.024791497708065435,0.030464295559795566,25.350033909489866,0.024791497708065435,0.024791497708065435,0.024791497708065435,10965040,80412672,1725.135,48.833,111.869,41.932,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00581,50,10,1,1000,1,True,True,0.99326,1.0140624981431756,1.0847631514479872,955.5795730266254,1.0140624981431756,1.0140624981431756,1.0140624981431756,10458620,72335360,305393.404,0.0,0.0,0.0,4.823,79.34,0.177,,,,,,4,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00303,50,3,1,1000,1,True,True,0.82324,0.10420850230730139,0.29071280405332783,127.2334301029332,0.10420850230730139,0.10420850230730139,0.10420850230730139,10460464,72237056,2715.701,167.948,66734.065,20020.514,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00401,1,9,1,1000,1,True,True,0.992,0.45314549788599834,0.9498377967247507,525.0830771910842,0.45314549788599834,0.45314549788599834,0.45314549788599834,10458620,72171520,169361.998,0.0,0.0,0.0,3.505,57.042,1.495,,,,,,4,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s03077,50,322,1,1000,1,True,True,0.99004,0.2758750015345868,0.3313235476525732,286.33742489182623,0.2758750015345868,0.2758750015345868,0.2758750015345868,10458620,77086720,41180.25,0.0,0.0,0.0,4.823,2554.748,0.177,,,,,,4,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00051,1,3,1,1000,1,True,True,0.862,0.023895499907666817,0.05367435078369453,27.51298285147641,0.023895499907666817,0.023895499907666817,0.023895499907666817,10460464,71729152,353.531,47.396,22036.565,2401.162,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s03062,50,31,1,1000,1,True,True,0.80312,0.04287500269128941,0.049711050087353215,43.59591297543375,0.04287500269128941,0.04287500269128941,0.04287500269128941,10458620,77021184,4072.763,0.0,0.0,0.0,4.839,246.14,0.161,,,,,,4,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02568,1,180,1,1000,1,True,True,0.99,0.15739549780846573,0.1943002989719389,159.3086910288548,0.15739549780846573,0.15739549780846573,0.15739549780846573,10965040,80560128,17936.281,478.931,1005.513,464.8,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00566,50,3,1,1000,1,True,True,0.82324,0.3136040031677112,0.3666660479211714,303.07109592831694,0.3136040031677112,0.3136040031677112,0.3136040031677112,10458620,71892992,92989.179,0.0,0.0,0.0,4.837,23.814,0.163,,,,,,4,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02897,1,180,1,1000,1,True,True,0.99,0.12306200005696155,0.16225834842771292,122.93058581417426,0.12306200005696155,0.12306200005696155,0.12306200005696155,10458620,76873728,15793.132,0.0,0.0,0.0,3.508,1141.92,1.492,,,,,,4,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00324,50,10,1,1000,1,True,True,0.99326,0.20249999943189323,0.4987684493244155,226.9372828741325,0.20249999943189323,0.20249999943189323,0.20249999943189323,10460464,71778304,5460.969,362.089,145007.407,41705.383,0.0,0.0,0.0,0,42,128,8192,True,,,
prefix,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00386,1,3,1,1000,1,True,True,0.862,0.1752914977259934,0.3345375003846129,187.94865197560284,0.1752914977259934,0.1752914977259934,0.1752914977259934,10458620,72548352,59935.057,0.0,0.0,0.0,3.568,19.26,1.432,,,,,,4,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02882,1,16,1,1000,1,True,True,0.803,0.02145800317521207,0.02754105553322006,21.72658496419899,0.02145800317521207,0.02145800317521207,0.02145800317521207,10458620,76808192,1582.407,0.0,0.0,0.0,3.605,103.712,1.395,,,,,,4,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00072,1,9,1,1000,1,True,True,0.992,0.05220800085226074,0.08654104676679708,57.1285430851276,0.05220800085226074,0.05220800085226074,0.05220800085226074,10460464,72138752,817.826,115.738,53692.536,5838.185,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02820,50,322,1,1000,1,True,True,0.99004,0.2884794994315598,0.3543545019056182,291.6679229456349,0.2884794994315598,0.2884794994315598,0.2884794994315598,10965040,80412672,33743.693,937.915,1757.125,1157.065,0.0,0.0,0.0,0,42,128,8192,True,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02799,50,31,1,1000,1,True,True,0.80312,0.0457499991171062,0.05696215048374142,46.82914594741305,0.0457499991171062,0.0457499991171062,0.0457499991171062,10965040,80625664,3560.458,107.152,212.19,130.201,0.0,0.0,0.0,0,42,128,8192,True,,,
