method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00235,10,297,1,1000,1,True,True,0.99,1.0954369936371222,1.205133654002566,1098.576645817957,1.0954369936371222,1.0954369936371222,1.0954369936371222,20917240,122109952,38613.843,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00228,5,4,1,1000,1,True,True,0.8174,0.0670830049784854,0.07850420079194009,68.22162227763329,0.0670830049784854,0.0670830049784854,0.0670830049784854,20917240,122109952,590.293,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00224,1,2,1,1000,1,True,True,0.815,0.05904200952500105,0.06608299736399204,59.653613934642635,0.05904200952500105,0.05904200952500105,0.05904200952500105,20917240,122109952,306.003,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00116,5,4,1,1000,1,True,True,0.8126,0.07293799717444927,0.09632115179556419,74.60474902472924,0.07293799717444927,0.07293799717444927,0.07293799717444927,20917240,118423552,2200.743,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00113,1,5,1,1000,1,True,True,0.902,0.08322949724970385,0.10878954853978935,85.46178300457541,0.08322949724970385,0.08322949724970385,0.08322949724970385,20917240,118423552,2728.382,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-1024-seed42,main-s00120,10,5,1,1000,1,True,True,0.8133,0.08556200191378593,0.11304199870210141,87.46513506048359,0.08556200191378593,0.08556200191378593,0.08556200191378593,20917240,118423552,2728.382,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00005,5,5,1,1000,1,True,True,0.9172,1.0180215031141415,1.3869514390535187,1044.6834058966488,1.0180215031141415,1.0180215031141415,1.0180215031141415,20917240,104644608,42578.139,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00002,1,6,1,1000,1,True,True,0.956,1.2230409993208013,1.6503482533153144,1260.2892270078883,1.2230409993208013,1.2230409993208013,1.2230409993208013,20917240,104644608,50954.886,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-64-seed42,main-s00015,50,31,1,1000,1,True,True,0.99034,6.24499999685213,6.760521150863497,6254.006746981759,6.24499999685213,6.24499999685213,6.24499999685213,20917240,104644608,255143.862,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00234,10,50,1,1000,1,True,True,0.9503,0.2393335016677156,0.27654615623760037,240.8238910138607,0.2393335016677156,0.2393335016677156,0.2393335016677156,20917240,122388480,6687.815,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
