method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00280,50,39,1,0,42,2048,8192,False,3000,3,True,True,0.90116,0.21449999621836469,0.24675205204403028,647.1066271624295,0.21372950868681073,0.2131455039489083,0.21595849830191582,41855992,143523840,5250.028,39.0,0.0,101.5,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00306,5,31,1,,,,,,3000,3,True,True,0.9506,0.17152049986179918,0.19937915421905925,517.4027170869522,0.1731455049593933,0.16820800374262035,0.17327099340036511,23008964,111984640,4200.206,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00250,1,50,1,0,42,2048,8192,False,3000,3,True,True,0.99,0.2461454932927154,0.2847101030056365,743.9772719953908,0.2443335033603944,0.2440624957671389,0.25016699510160834,41855992,143704064,6687.815,50.0,0.0,129.377,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00324,50,11,1,,,,,,3000,3,True,True,0.80086,0.10350000229664147,0.12054729377268811,313.3040093962336,0.1032290019793436,0.10274999658577144,0.10474999726284295,23008964,111624192,1549.682,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00309,5,232,1,,,,,,3000,3,True,True,0.9902,0.8828955033095554,0.9787961491383612,2657.4428501480725,0.8835835033096373,0.8807289996184409,0.8837295026751235,23008964,111624192,30231.764,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00330,50,104,1,,,,,,3000,3,True,True,0.95016,0.4465415040613152,0.5083402429590933,1345.6808251794428,0.4418960015755147,0.43418799759820104,0.4645414956030436,23008964,111525888,13722.796,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00312,10,6,1,,,,,,3000,3,True,True,0.8167,0.07716600521234795,0.08946524103521367,234.20032882131636,0.07741699664620683,0.0760830007493496,0.07835400174371898,23008964,111525888,865.922,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00234,10,50,1,,,,,,3000,3,True,True,0.9503,0.23943750420585275,0.27512710003065877,721.4408517029369,0.23908349248813465,0.23852050071582198,0.24085449695121497,20917240,122388480,6687.815,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00233,10,18,1,,,,,,3000,3,True,True,0.9001,0.1221665006596595,0.1430482087016571,369.44359791232273,0.1220620033564046,0.121978999231942,0.12270850129425526,20917240,122388480,2492.271,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-binary-4096-seed42,main-s00227,1,50,1,,,,,,3000,3,True,True,0.99,0.23668750509386882,0.2717500028666109,712.6120870379964,0.23783349752193317,0.23366700042970479,0.2385835032328032,20917240,122388480,6687.815,0.0,0.0,0.0,0.0,0.0,0.0,,,
