method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01080,1,35,1,1000,1,True,True,0.901,0.03199999628122896,0.035793089045910165,32.27696391695645,0.03199999628122896,0.03199999628122896,0.03199999628122896,8366896,77676544,4732.377,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01081,1,53,1,1000,1,True,True,0.934,0.04295799590181559,0.04883299698121846,43.40602616139222,0.04295799590181559,0.04295799590181559,0.04295799590181559,8366896,77676544,7154.509,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01083,1,270,1,1000,1,True,True,0.997,0.17635450785746798,0.19348509304109027,177.2105801064754,0.17635450785746798,0.17635450785746798,0.17635450785746798,8366896,77676544,36217.035,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01082,1,180,1,1000,1,True,True,0.99,0.12362501001916826,0.13471424608724192,123.99898686271627,0.12362501001916826,0.12362501001916826,0.12362501001916826,8366896,77676544,24181.137,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01189,2,54,1,1000,1,True,True,0.936,0.044208507461007684,0.05008720618207007,44.685881104669534,0.044208507461007684,0.044208507461007684,0.044208507461007684,8366896,77660160,7290.16,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01188,2,36,1,1000,1,True,True,0.9025,0.0322920095641166,0.036002097476739436,32.610640861094,0.0322920095641166,0.0322920095641166,0.0322920095641166,8366896,77660160,4868.495,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01191,2,312,1,1000,1,True,True,0.996,0.20450000010896474,0.2305041445652023,206.0966718418058,0.20450000010896474,0.20450000010896474,0.20450000010896474,8366896,77660160,41826.754,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01190,2,208,1,1000,1,True,True,0.99,0.1403955029672943,0.15541700122412294,141.3042662316002,0.1403955029672943,0.1403955029672943,0.1403955029672943,8366896,77660160,27934.374,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01297,3,56,1,1000,1,True,True,0.9346666666666666,0.04562499816529453,0.05054731300333514,45.891868765465915,0.04562499816529453,0.04562499816529453,0.04562499816529453,8366896,77660160,7557.66,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01296,3,37,1,1000,1,True,True,0.9,0.033042000723071396,0.0369630979548674,33.232966845389456,0.033042000723071396,0.033042000723071396,0.033042000723071396,8366896,77660160,5003.783,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01299,3,312,1,1000,1,True,True,0.996,0.20227050117682666,0.22275415758485906,202.89068481361028,0.20227050117682666,0.20227050117682666,0.20227050117682666,8366896,77660160,41826.754,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01298,3,208,1,1000,1,True,True,0.99,0.14316599845187739,0.1596354428329505,144.0531187254237,0.14316599845187739,0.14316599845187739,0.14316599845187739,8366896,77660160,27934.374,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01404,5,40,1,1000,1,True,True,0.901,0.03616699541453272,0.04050000279676169,36.45930103084538,0.03616699541453272,0.03616699541453272,0.03616699541453272,8366896,77676544,5407.89,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
