method,clusters,router,setting_id,top_k,probes,repetitions,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02275,100,82,1,512,8192,True,0,42,3000,3,True,True,0.90087,0.08877050277078524,0.10274999658577144,269.7676909592701,0.08745800005272031,0.0873749959282577,0.09208349365508184,10965040,80379904,11059.047,82.0,0.0,212.417,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01220,2,36,1,,,,,,3000,3,True,True,0.9025,0.03845850005745888,0.04620799227268435,113.97398132248782,0.03874999674735591,0.03789550100918859,0.038875004975125194,10458620,76955648,3829.349,0.0,0.0,0.0,3.999,254.304,1.001,4,10000,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02268,100,82,1,,,,,,3000,3,True,True,0.90087,0.08250000246334821,0.0990851011010818,253.16750760248397,0.0804169976618141,0.07991700113052502,0.087958003859967,8366896,78020608,11059.047,0.0,0.0,0.0,0.0,0.0,0.0,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02270,100,380,1,,,,,,3000,3,True,True,0.99,0.2807295022648759,0.3335503039124887,867.3934146208921,0.2763340016826987,0.27043750742450356,0.29479200748028234,8366896,78020608,50864.535,0.0,0.0,0.0,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00760,100,10,1,128,0,True,0,42,3000,3,True,True,0.99213,0.2919170001405291,0.7189514450146814,993.4431348956423,0.2833125035976991,0.28137500339653343,0.3099169989582151,10460464,72171520,7842.204,487.239,191417.026,60026.093,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02300,100,82,1,,,,,,3000,3,True,True,0.90082,0.09649999265093356,0.1305410471104551,306.58919786219485,0.09520900493953377,0.09345800208393484,0.10162500257138163,10458620,77381632,10831.93,0.0,0.0,0.0,4.892,652.556,0.108,4,10000,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02192,75,75,1,,,,,,3000,3,True,True,0.90164,0.08850000449456275,0.10658510072971693,269.05680014169775,0.08924999565351754,0.08395899931201711,0.09312501060776412,10458620,77103104,9855.245,0.0,0.0,0.0,4.863,595.5,0.137,4,10000,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01794,15,272,1,,,,,,3000,3,True,True,0.99,0.27131199749419466,0.3309181447548326,820.1934377721045,0.27216699527343735,0.2568749987403862,0.28941700293216854,10458620,77463552,33107.977,0.0,0.0,0.0,8.648,4300.32,0.352,8,0,True
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,refine-s00436,10,9,1,128,0,True,0,42,3000,3,True,True,0.9913,0.07091650331858546,0.2625829954922665,319.89574065664783,0.07045800157357007,0.06983299681451172,0.072208495112136,10460464,71991296,2199.027,183.303,77802.079,16570.438,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s01976,30,58,1,,,,,,3000,3,True,True,0.9012666666666667,0.06295800267253071,0.07470805503544398,191.35128590278327,0.06235450564417988,0.06156249583000317,0.06525000208057463,10458620,77283328,7466.937,0.0,0.0,0.0,4.771,458.432,0.229,4,10000,True
