method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02532,50,31,1,1000,1,True,True,0.80312,0.036042001738678664,0.042419049350428395,36.67478407442104,0.036042001738678664,0.036042001738678664,0.036042001738678664,8366896,77692928,4191.465,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02540,100,147,1,1000,1,True,True,0.95032,0.12208300177007914,0.14513124915538356,124.53039090178208,0.12208300177007914,0.12208300177007914,0.12208300177007914,8366896,77692928,19772.328,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02501,1,4096,1,1000,1,True,True,1.0,2.037916496192338,2.1292687521054177,2046.379724968574,2.037916496192338,2.037916496192338,2.037916496192338,8366896,77692928,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02525,10,4096,1,1000,1,True,True,1.0,2.0239580007910263,2.091077399018104,2044.837670015113,2.0239580007910263,2.0239580007910263,2.0239580007910263,8366896,77692928,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02498,1,67,1,1000,1,True,True,0.95,0.05087500176159665,0.0580830019316636,51.52968014590442,0.05087500176159665,0.05087500176159665,0.05087500176159665,8366896,77692928,9044.784,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02509,3,37,1,1000,1,True,True,0.9,0.03333299537189305,0.0401659999624826,33.9812520032865,0.03333299537189305,0.03333299537189305,0.03333299537189305,8366896,77692928,5003.783,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,main-s01913,50,1024,1,1000,1,True,True,1.0,1.694166501692962,1.7503601018688641,1692.1154219453456,1.694166501692962,1.694166501692962,1.694166501692962,8366896,80642048,522931.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,main-s01893,5,108,1,1000,1,True,True,0.99,0.19574999896576628,0.21946104789094534,196.60755998484092,0.19574999896576628,0.19574999896576628,0.19574999896576628,8366896,80642048,56933.659,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,main-s01885,3,24,1,1000,1,True,True,0.9076666666666666,0.045895998482592404,0.05341905271052383,46.34937000810169,0.045895998482592404,0.045895998482592404,0.045895998482592404,8366896,80642048,12675.463,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,main-s01894,5,263,1,1000,1,True,True,0.9992,0.4599169988068752,0.4925913497572765,459.31715800543316,0.4599169988068752,0.4599169988068752,0.4599169988068752,8366896,80642048,137979.286,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
