method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,stop_when_exact
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02801,50,31,1,0,42,2048,8192,True,3000,3,True,True,0.80312,0.04004199581686407,0.04554099068627693,121.47587479557842,0.04008399264421314,0.039749997085891664,0.04025000089313835,10965040,80642048,4191.465,31.0,0.0,80.446,0.0,0.0,0.0,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02849,100,82,1,0,42,2048,1024,True,3000,3,True,True,0.90087,0.08320800407091156,0.09708605430205351,253.50719976995606,0.08320799679495394,0.08272949344245717,0.08370849536731839,10965040,80478208,11059.047,82.0,0.0,212.417,0.0,0.0,0.0,,,
branch,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,main-s01341,2,7,1,0,42,128,8192,True,3000,3,True,True,0.814,0.019458006136119366,0.03379410627530886,63.17704792309087,0.019417006114963442,0.019041995983570814,0.01979200169444084,10490416,84426752,807.506,88.711,2635.386,379.322,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00198,5,9,1,0,42,128,8192,True,3000,3,True,True,0.992,0.058707999414764345,0.20373719817143848,251.8593782588141,0.05729150143451989,0.05670850077876821,0.06477099668700248,10460464,72220672,1544.457,150.058,65766.94,11493.883,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00190,5,6,1,0,42,128,1024,True,3000,3,True,True,0.9672,0.04279200220480561,0.1471416500862687,181.1143694067141,0.04264601011527702,0.042625004425644875,0.04316650301916525,10460464,72056832,1182.183,111.897,49055.737,8659.82,0.0,0.0,0.0,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02955,3,208,1,,,,,,3000,3,True,True,0.99,0.13854200369678438,0.15425414603669194,418.56011147319805,0.1385829964419827,0.1382289920002222,0.13899999612476677,10458620,77135872,27934.374,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s03035,20,53,1,,,,,,3000,3,True,True,0.90055,0.0457499991171062,0.051417009672150016,138.5972659336403,0.045583496103063226,0.045082997530698776,0.04641700070351362,10458620,76922880,7154.509,0.0,0.0,0.0,1.0,0.0,0.0,0,0,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02941,3,17,1,,,,,,3000,3,True,True,0.805,0.021750005544163287,0.025586048286641006,66.29857058578636,0.021625004592351615,0.020958003005944192,0.022791995434090495,10458620,76922880,2041.205,0.0,0.0,0.0,1.544,34.0,0.456,1,0,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,main-s02816,50,121,1,0,42,522931,0,False,3000,3,True,True,0.95036,0.11016649659723043,0.1315041474299505,343.8250767212594,0.11110400373581797,0.10831250256160274,0.11120799899799749,10965040,80609280,16283.632,121.0,0.0,312.843,0.0,0.0,0.0,,,
branch,16,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-16-seed42,main-s00155,3,9,1,0,42,128,1024,True,3000,3,True,True,0.9913333333333333,0.05404101102612913,0.15538124062004496,207.13177310244646,0.0537704981979914,0.053604497225023806,0.05456250801216811,10460464,72089600,1226.244,134.513,60167.616,9047.812,0.0,0.0,0.0,,,
