method,top_k,target,round_1_ms,round_2_ms,recall
scan,1,0.8,0.0221250083995983,0.02099999983329326,0.803
branch,1,0.8,0.021332998585421592,0.020082996343262494,0.819
prefix,1,0.8,0.02245799987576902,0.021291503799147904,0.803
scan,1,0.9,0.03529099922161549,0.032790994737297297,0.901
branch,1,0.9,0.03158350591547787,0.02943749859696254,0.913
prefix,1,0.9,0.035958000808022916,0.032916497730184346,0.901
scan,1,0.95,0.05758300540037453,0.05345800309441984,0.95
branch,1,0.95,0.036833494959864765,0.03410399949643761,0.953
prefix,1,0.95,0.05704199429601431,0.05202100146561861,0.95
scan,1,0.99,0.13658299576491117,0.1282500015804544,0.99
branch,1,0.99,0.057479002862237394,0.05356250039767474,0.992
prefix,1,0.99,0.11795799946412444,0.11212449317099527,0.99
scan,2,0.8,0.02235449937870726,0.02058300015050918,0.8
branch,2,0.8,0.02145799226127565,0.02047949965344742,0.814
prefix,2,0.8,0.02179149305447936,0.020292005501687527,0.8
scan,2,0.9,0.036459001421462744,0.03383299917913973,0.9025
branch,2,0.9,0.03204149834346026,0.03004199970746413,0.909
prefix,2,0.9,0.036124998587183654,0.03354200453031808,0.9025
scan,2,0.95,0.05775000317953527,0.0532910053152591,0.95
branch,2,0.95,0.042708001274149865,0.04089550202479586,0.966
prefix,2,0.95,0.059520498325582594,0.05466699076350778,0.95
scan,2,0.99,0.1578544979565777,0.14522949641104788,0.99
branch,2,0.99,0.058062498283106834,0.055416501709260046,0.993
prefix,2,0.99,0.16460449842270464,0.14641649613622576,0.99
scan,3,0.8,0.02258300082758069,0.02083300205413252,0.805
branch,3,0.8,0.02241700713057071,0.02110449713654816,0.8056666666666666
prefix,3,0.8,0.023375003365799785,0.02233399573015049,0.805
scan,3,0.9,0.03616700996644795,0.033915996027644724,0.9
branch,3,0.9,0.031082992791198194,0.02904150460381061,0.9003333333333333
prefix,3,0.9,0.03691700112540275,0.034249998861923814,0.9
scan,3,0.95,0.059207995946053416,0.05483299901243299,0.95
branch,3,0.95,0.039333506720140576,0.03768700116779655,0.9516666666666667
prefix,3,0.95,0.058457997511141,0.05516700184671208,0.95
scan,3,0.99,0.15652050205972046,0.14604199532186612,0.99
branch,3,0.99,0.059999503719154745,0.05691699334420264,0.9913333333333333
prefix,3,0.99,0.15095850540092215,0.14620799629483372,0.99
scan,5,0.8,0.023437496565748006,0.02258300082758069,0.802
branch,5,0.8,0.02433299960102886,0.021875006495974958,0.803
prefix,5,0.8,0.02320799103472382,0.022374995751306415,0.802
scan,5,0.9,0.038291997043415904,0.03633300366345793,0.901
branch,5,0.9,0.03541699697962031,0.03454150282777846,0.9078
prefix,5,0.9,0.038374993891920894,0.03712499892571941,0.901
scan,5,0.95,0.06091600516811013,0.05833299655932933,0.9502
branch,5,0.95,0.04764600453199819,0.045145505282562226,0.9672
prefix,5,0.95,0.06404149462468922,0.05754150333814323,0.9502
scan,5,0.99,0.16131250595208257,0.1526455016573891,0.99
branch,5,0.99,0.06333299825200811,0.060395490436349064,0.992
prefix,5,0.99,0.1632705025258474,0.151916996401269,0.99
scan,7,0.8,0.02435450005577877,0.023375003365799785,0.8027142857142857
branch,7,0.8,0.02824999683070928,0.025374996766913682,0.817
prefix,7,0.8,0.02474999928381294,0.02291700366185978,0.8027142857142857
scan,7,0.9,0.041207997128367424,0.039040998672135174,0.9008571428571429
branch,7,0.9,0.039520506106782705,0.03639599890448153,0.908
prefix,7,0.9,0.041375002183485776,0.03850000211969018,0.9008571428571429
scan,7,0.95,0.06741599645465612,0.06262501119635999,0.9507142857142857
branch,7,0.95,0.05370800499804318,0.048250003601424396,0.954
prefix,7,0.95,0.06716699863318354,0.062000006437301636,0.9507142857142857
scan,7,0.99,0.16997950297081843,0.15620799968019128,0.99
branch,7,0.99,0.06650050636380911,0.06414599920390174,0.991
prefix,7,0.99,0.16710400086594746,0.15587500092806295,0.99
scan,10,0.8,0.025250003091059625,0.023957996745593846,0.801
branch,10,0.8,0.03145799564663321,0.027541493182070553,0.8089
prefix,10,0.8,0.025666493456810713,0.02429200685583055,0.801
scan,10,0.9,0.043000000005122274,0.040166996768675745,0.9009
branch,10,0.9,0.04187499871477485,0.039417005609720945,0.9012
prefix,10,0.9,0.043249994632788,0.04058299964526668,0.9009
scan,10,0.95,0.07041649223538116,0.06554149149451405,0.95
branch,10,0.95,0.05745850648963824,0.0533124984940514,0.9503
prefix,10,0.95,0.07018750329734758,0.06658300117123872,0.95
scan,10,0.99,0.18116699357051402,0.16764600877650082,0.99
branch,10,0.99,0.0774790023569949,0.07391699909931049,0.9913
prefix,10,0.99,0.17810400458984077,0.16704199515515938,0.99
scan,15,0.8,0.027874993975274265,0.02666700311237946,0.8005333333333333
branch,15,0.8,0.031207993743009865,0.029458009521476924,0.8005333333333333
prefix,15,0.8,0.027958507416769862,0.026083012926392257,0.8005333333333333
scan,15,0.9,0.04774999979417771,0.0450000079581514,0.9013333333333333
branch,15,0.9,0.05395799962570891,0.049812493671197444,0.906
prefix,15,0.9,0.046792003558948636,0.0441250012954697,0.9013333333333333
scan,15,0.95,0.07579100201837718,0.07091699808370322,0.9500666666666666
branch,15,0.95,0.07360400195466354,0.06754149944754317,0.9577333333333333
prefix,15,0.95,0.07374999404419214,0.07000000186963007,0.9500666666666666
scan,15,0.99,0.1992920006159693,0.18724999972619116,0.99
branch,15,0.99,0.09950049570761621,0.09231249714503065,0.9912
prefix,15,0.99,0.1935205073095858,0.18412499775877222,0.99
scan,20,0.8,0.030125003831926733,0.028458001906983554,0.80445
branch,20,0.8,0.033499993151053786,0.03183400258421898,0.80445
prefix,20,0.8,0.02925000444520265,0.028292008209973574,0.80445
scan,20,0.9,0.05066698940936476,0.04766700294567272,0.90055
branch,20,0.9,0.05641700408887118,0.05287500243866816,0.90055
prefix,20,0.9,0.04916699253953993,0.04720900324173272,0.90055
scan,20,0.95,0.08135449752444401,0.0774590007495135,0.9502
branch,20,0.95,0.08504099969286472,0.07918750634416938,0.9521
prefix,20,0.95,0.07920799544081092,0.07479199848603457,0.9502
scan,20,0.99,0.20883350225631148,0.19283300207462162,0.99005
branch,20,0.99,0.11931300105061382,0.11197899584658444,0.9905
prefix,20,0.99,0.2032705015153624,0.19149999570799991,0.99005
scan,30,0.8,0.03258300421293825,0.031083007343113422,0.8015
branch,30,0.8,0.035832999856211245,0.03470799856586382,0.8015
prefix,30,0.8,0.03270800516474992,0.03135449514957145,0.8015
scan,30,0.9,0.055415992392227054,0.05235449498286471,0.9012666666666667
branch,30,0.9,0.06154099537525326,0.05816700286231935,0.9012666666666667
prefix,30,0.9,0.05462499393615872,0.05212500400375575,0.9012666666666667
