target,case_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,key_offset,candidate_target,key_limit,recall,routing_recall,p50_ms,p95_ms,mean_routing_ms,mean_scored,logical_bytes,routing_bytes,rss_before_queries,lifetime_peak_bytes,budget_status,power_unchanged,predicted_p50_ms,prediction_error_percent
0.8,646,1000000,scan,ivf,8192,128,0,0,0,0,0,0,0.8151,0.8151,0.5695836152881384,0.6149832857772708,0.13355378527194262,15760.27,40000000,8454144,141492224,189530112,fits_by_lifetime_peak,True,0.5557787237252584,-2.423681298468605
0.8,642,1000000,branch,ivf,8192,128,256,512,0,0,0,0,0.8151,0.8151,0.5962294526398182,0.6505958503112197,0.1345212711021304,15760.27,80310784,8454144,182534144,222265344,fits_by_lifetime_peak,True,0.6792757442574114,13.928579215586234
0.8,598,1000000,keys,ivf,8192,128,0,0,4,0,0,524288,0.8151,0.8151,0.6530415266752243,0.719306175597012,0.13665760401636362,15760.27,40812440,8454144,122372096,162136064,fits_by_lifetime_peak,True,0.6591249344234781,0.9315499091192114
0.9,831,1000000,scan,ivf,8192,320,0,0,0,0,0,0,0.9024,0.9024,1.208166591823101,1.2891495367512107,0.16516461037099361,38828.31,40000000,8454144,150192128,189988864,fits_by_lifetime_peak,True,1.1783636091480343,-2.466794138885653
0.9,613,1000000,branch,ivf,8192,320,0,1024,0,0,0,0,0.9024,0.9024,1.241479068994522,1.333614462055266,0.1643025828525424,38828.31,80310784,8454144,191234048,230965248,fits_by_lifetime_peak,True,1.4884111657012926,19.890153839384638
0.9,467,1000000,keys,ivf,8192,320,0,0,4,0,50000,524288,0.9024,0.9024,1.387687399983406,1.490750233642757,0.16559917014092207,38828.31,40812440,8454144,122290176,162070528,fits_by_lifetime_peak,True,1.4269184601657678,2.8270819626113886
0.95,550,1000000,scan,ivf,8192,768,0,0,0,0,0,0,0.9555,0.9555,2.66468757763505,2.8815783793106675,0.22450033575296402,92534.3,40000000,8454144,149995520,189759488,fits_by_lifetime_peak,True,2.6166614572010447,-1.8023171210423516
0.95,629,1000000,branch,ivf,8192,768,0,1024,0,0,0,0,0.9555,0.9555,2.7644375804811716,2.956131147220731,0.22158588748425245,92534.3,80310784,8454144,190889984,230604800,fits_by_lifetime_peak,True,3.3657525310887624,21.751800614102756
0.95,291,1000000,keys,ivf,8192,768,0,0,4,0,0,524288,0.9555,0.9555,3.140166401863098,3.371420851908624,0.22282705642282963,92534.3,40812440,8454144,122290176,161939456,fits_by_lifetime_peak,True,3.2099798310739063,2.22323979931085
0.99,77,1000000,scan,ivf,8192,3072,0,0,0,0,0,0,0.9955,0.9955,10.235166875645518,10.63862768933177,0.36940673366189003,372048.09,40000000,8454144,150192128,189874176,fits_by_lifetime_peak,True,9.95282713369092,-2.7585260248801813
0.99,553,1000000,branch,ivf,8192,3072,0,1024,0,0,0,0,0.9955,0.9955,10.560145834460855,10.975303850136697,0.3691454604268074,372048.09,80310784,8454144,191021056,230604800,fits_by_lifetime_peak,True,12.976757045994688,22.884259833303844
0.99,271,1000000,keys,ivf,8192,3072,0,0,4,0,0,524288,0.9955,0.9955,12.522103963419795,13.712482945993543,0.37434712518006563,372048.09,40812440,8454144,122552320,162054144,fits_by_lifetime_peak,True,12.3265107404748,-1.5619837011126236
