documents,target,selection,method,scan_setting,other_setting,both_qualified,speedup,speedup_low,speedup_high,supported_speedup
1000000,0.8,mean,branch,s0199,s0023,False,74.87991080758954,73.92639997804511,78.76578552994556,False
1000000,0.8,mean,keys,s0199,s0229,False,0.9009733477197193,0.8943086199153654,0.920426694032881,False
1000000,0.9,mean,branch,s0104,s0023,False,104.40534109459819,103.34028613544146,110.2090056071101,False
1000000,0.9,mean,keys,s0104,s0230,False,0.9108078458956428,0.9032884000458845,0.9640464629480668,False
1000000,0.95,mean,branch,s0059,s0023,False,122.37086164726351,121.59013027371944,123.0109728434247,False
1000000,0.95,mean,keys,s0059,s0137,False,0.9010699125487823,0.8938632644253834,0.9059507542529768,False
1000000,0.99,mean,branch,s0204,s0023,True,144.92142566640118,143.91567515765465,145.6127435577503,True
1000000,0.99,mean,keys,s0204,s0091,False,0.9112720680134937,0.9093399809176922,0.9138008866578123,False
1000000,0.8,conservative,branch,s0104,s0023,True,104.40534109459819,103.34028613544146,110.2090056071101,True
1000000,0.8,conservative,keys,s0104,s0230,True,0.9108078458956428,0.9032884000458845,0.9640464629480668,False
1000000,0.9,conservative,branch,s0059,s0023,True,122.37086164726351,121.59013027371944,123.0109728434247,True
1000000,0.9,conservative,keys,s0059,s0137,True,0.9010699125487823,0.8938632644253834,0.9059507542529768,False
1000000,0.95,conservative,branch,s0204,s0023,True,144.92142566640118,143.91567515765465,145.6127435577503,True
1000000,0.95,conservative,keys,s0204,s0091,True,0.9112720680134937,0.9093399809176922,0.9138008866578123,False
1000000,0.99,conservative,branch,s0283,s0023,True,151.9804471482718,150.91739336221525,152.8098741255651,True
1000000,0.99,conservative,keys,s0283,s0189,True,0.9363401604801063,0.9062279779157162,0.941931217122777,False
