recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
1.0,1.0,1.0,0.164874829351902,0.186920678243041,0.16408413648605347,0.1659584348089993,64,3,384,s0023,1000000,100,branch,none,1,1,0,288,0,0,0,185778176,True
0.9446875,0.93875,0.95015625,20.17587493173778,21.42558959312737,20.14137478545308,20.21729826228693,64,3,384,s0059,1000000,100,scan,ivf,4096,3109,0,0,0,0,0,188923904,True
0.98875,0.985625,0.99203125,26.220374973490834,27.036364027298987,26.154167018830776,26.276095246430486,64,3,384,s0091,1000000,100,keys,direct,256,250,0,0,1,0,0,138903552,True
0.8946875,0.88733984375,0.90234375,17.213812796398997,18.984671123325825,17.085332243004814,18.229625187814236,64,3,384,s0104,1000000,100,scan,ivf,4096,2623,0,0,0,0,0,188923904,True
0.9446875,0.93875,0.95015625,22.391020553186536,23.004972515627742,22.30286278645508,22.53991668112576,64,3,384,s0137,1000000,100,keys,ivf,4096,3109,0,0,1,0,0,153600000,True
1.0,1.0,1.0,26.761375134810805,28.322687465697527,26.60383671754971,27.684351609786972,64,3,384,s0189,1000000,100,keys,none,1,1,0,0,8,0,0,136822784,True
0.784375,0.7754609375,0.7940625,12.34581251628697,13.31054037436843,12.223833240568638,12.97852024435997,64,3,384,s0199,1000000,100,scan,ivf,4096,1872,0,0,0,0,0,188989440,True
0.9915625,0.98921875,0.99375,23.893895326182246,24.81199991889298,23.853374645113945,23.94316717982292,64,3,384,s0204,1000000,100,scan,ivf,256,243,0,0,0,0,0,158269440,True
0.784375,0.7754609375,0.7940625,13.702749973163009,14.393323264084756,13.602393982000649,14.101729029789567,64,3,384,s0229,1000000,100,keys,ivf,4096,1872,0,0,1,0,0,153190400,True
0.8946875,0.88733984375,0.90234375,18.899499904364347,19.517660839483142,18.862777488538995,18.934124847874045,64,3,384,s0230,1000000,100,keys,ivf,4096,2623,0,0,1,0,0,153157632,True
1.0,1.0,1.0,25.057750288397074,26.00850823801011,25.003622187068686,25.089791975915432,64,3,384,s0283,1000000,100,scan,none,1,1,0,0,0,0,0,153976832,True
1.0,1.0,1.0,26.399833615869284,27.24292785860598,25.033832993358374,26.667166966944933,64,3,384,formula-A,1000000,100,scan,none,1,1,0,0,0,0,0,154451968,True
1.0,1.0,1.0,0.1661251299083233,0.1906774938106537,0.164561637211591,0.16808276996016502,64,3,384,formula-B,1000000,100,branch,none,1,1,0,288,0,0,0,185761792,True
1.0,1.0,1.0,26.760854525491595,27.65385890379548,26.70399927883409,26.829333044588566,64,3,384,formula-C,1000000,100,keys,none,1,1,0,0,1,0,0,136839168,True
