selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s0199,1000000,scan,ivf,4096,1872,0,0,0,0,0,0,0.8,0.7878125,12.220583390444517,12.415674701333046,1,188760064
conservative,0.8,s0104,1000000,scan,ivf,4096,2623,0,0,0,0,0,0,0.9,0.890625,18.157124985009432,18.56186438817531,1,189104128
mean,0.8,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
conservative,0.8,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
mean,0.8,s0229,1000000,keys,ivf,4096,1872,0,0,1,0,0,0,0.8,0.7871875,13.562666717916727,13.737447187304497,1,152797184
conservative,0.8,s0230,1000000,keys,ivf,4096,2623,0,0,1,0,0,0,0.9,0.8896875,18.878458300605416,19.526162673719227,1,152682496
mean,0.9,s0104,1000000,scan,ivf,4096,2623,0,0,0,0,0,0,0.9,0.890625,18.157124985009432,18.56186438817531,1,189104128
conservative,0.9,s0059,1000000,scan,ivf,4096,3109,0,0,0,0,0,0,0.95,0.9428125,20.314916968345642,20.98862666171044,1,188907520
mean,0.9,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
conservative,0.9,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
mean,0.9,s0230,1000000,keys,ivf,4096,2623,0,0,1,0,0,0,0.9,0.8896875,18.878458300605416,19.526162673719227,1,152682496
conservative,0.9,s0137,1000000,keys,ivf,4096,3109,0,0,1,0,0,0,0.95,0.943125,22.360208677127957,22.8849439881742,1,152879104
mean,0.95,s0059,1000000,scan,ivf,4096,3109,0,0,0,0,0,0,0.95,0.9428125,20.314916968345642,20.98862666171044,1,188907520
conservative,0.95,s0204,1000000,scan,ivf,256,243,0,0,0,0,0,0,0.9903125,0.9859375,23.934375261887908,25.132533279247582,1,158138368
mean,0.95,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
conservative,0.95,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
mean,0.95,s0137,1000000,keys,ivf,4096,3109,0,0,1,0,0,0,0.95,0.943125,22.360208677127957,22.8849439881742,1,152879104
conservative,0.95,s0091,1000000,keys,direct,256,250,0,0,1,0,0,0,0.9903125,0.9859375,26.317853946238756,26.704940921626985,1,138559488
mean,0.99,s0204,1000000,scan,ivf,256,243,0,0,0,0,0,0,0.9903125,0.9859375,23.934375261887908,25.132533279247582,1,158138368
conservative,0.99,s0283,1000000,scan,none,1,1,0,0,0,0,0,0,1.0,1.0,25.033479556441307,25.334002496674657,1,153649152
mean,0.99,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
conservative,0.99,s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
mean,0.99,s0091,1000000,keys,direct,256,250,0,0,1,0,0,0,0.9903125,0.9859375,26.317853946238756,26.704940921626985,1,138559488
conservative,0.99,s0189,1000000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,26.756249368190765,27.565993531607088,1,136577024
