setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,1000000,scan,direct,16384,14444,0,0,0,0,0,0,0.95,0.9328046875,28.20614562369883,29.052557866089042,1,192561152
s0001,1000000,keys,direct,2048,1639,0,0,4,0,0,0,0.9,0.8724921875,29.83593731187284,31.110574887134135,1,146014208
s0002,1000000,branch,direct,256,229,0,320,0,0,0,0,0.9521875,0.9396875,3.671207930892706,4.570590239018202,1,191152128
s0003,1000000,branch,direct,256,209,0,1000000,0,0,0,0,0.901875,0.8771796875,21.059499820694327,22.62907875701785,1,191021056
s0004,1000000,branch,ivf,256,256,0,320,0,0,0,0,1.0,1.0,4.686396103352308,4.899438982829452,1,191397888
s0005,1000000,scan,direct,2048,1993,0,0,0,0,0,0,0.99,0.985625,25.232208659872413,28.186443750746545,1,166789120
s0006,1000000,keys,direct,4096,3243,0,0,4,0,0,0,0.9,0.874375,38.376188138499856,40.46003932598978,1,149438464
s0007,1000000,branch,ivf,4096,3109,0,320,0,0,0,0,0.95,0.9428125,20.885375328361988,21.80527071468532,1,224116736
s0008,1000000,branch,direct,4096,3243,0,1000000,0,0,0,0,0.9,0.8743671875,21.844624308869243,23.530366853810843,1,225116160
s0009,1000000,branch,direct,4096,3987,0,1000000,0,0,0,0,0.99,0.985625,28.574625495821238,32.12148903403431,1,225280000
s0010,1000000,branch,direct,256,250,0,128,0,0,0,0,0.9903125,0.9859375,3.0646880622953176,3.284124843776226,1,191102976
s0011,1000000,branch,direct,1024,634,0,320,0,0,0,0,0.800625,0.7515625,4.7182501293718815,4.96008126065135,1,211615744
s0012,1000000,keys,ivf,4096,2623,0,0,4,0,0,0,0.9,0.89,29.849624959751964,31.682626926340163,1,156434432
s0013,1000000,branch,direct,4096,2558,0,128,0,0,0,0,0.8,0.75,8.842395851388574,9.174929442815483,1,225411072
s0014,1000000,branch,direct,2048,1639,0,128,0,0,0,0,0.9,0.8740546874999999,6.421312689781189,7.3169501032680255,1,220151808
s0015,1000000,branch,direct,8192,6414,0,320,0,0,0,0,0.9,0.8671796875,23.174187866970897,23.8329344894737,1,213516288
s0016,1000000,branch,direct,256,229,0,128,0,0,0,0,0.9521875,0.9396796875,2.925437642261386,3.6309626419097185,1,191234048
s0017,1000000,branch,direct,4096,3652,0,320,0,0,0,0,0.95,0.9353046875,24.65927042067051,25.713010760955513,1,225312768
s0018,1000000,branch,direct,4096,2558,0,320,0,0,0,0,0.8,0.7487343750000001,17.35179149545729,18.005616846494377,1,207192064
s0019,1000000,keys,direct,4096,3987,0,0,4,0,0,0,0.99,0.985625,47.5292291957885,50.38342345505952,1,149651456
s0020,1000000,keys,ivf,256,213,0,0,4,0,0,0,0.9525,0.9428125,24.74658377468586,25.006096274591982,1,139526144
s0021,1000000,branch,direct,256,250,0,320,0,0,0,0,0.9903125,0.98625,4.904479254037142,5.590743711218238,1,191070208
s0022,1000000,keys,direct,256,256,0,0,1,0,0,0,1.0,1.0,26.96720859967172,27.464601979590952,1,138723328
s0023,1000000,branch,none,1,1,0,288,0,0,0,0,1.0,1.0,0.16331207007169724,0.18522639293223617,1,185827328
s0024,1000000,keys,ivf,4096,1872,0,0,12,0,0,0,0.8,0.7878125,204.96552111580968,226.10715315677223,1,215220224
s0025,1000000,branch,direct,2048,1287,0,128,0,0,0,0,0.8,0.746234375,4.975479561835527,5.365018779411912,1,220233728
s0026,1000000,branch,direct,1024,999,0,128,0,0,0,0,0.99,0.985625,5.484770750626922,5.920548201538622,1,211714048
s0027,1000000,keys,direct,16384,15984,0,0,4,0,0,0,0.99,0.9859375,123.0033750180155,131.55672317370772,1,164708352
