selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
conservative,0.8,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
mean,0.8,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
conservative,0.8,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
mean,0.8,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
conservative,0.8,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
mean,0.9,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
conservative,0.9,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
mean,0.9,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
conservative,0.9,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
mean,0.9,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
conservative,0.9,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
mean,0.95,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
conservative,0.95,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
mean,0.95,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
conservative,0.95,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
mean,0.95,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
conservative,0.95,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
mean,0.99,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
conservative,0.99,s0045,1000000,scan,direct,4096,1,0,0,0,0,0,0,1.0,1.0,0.02293754369020462,0.031397957354784005,1,189218816
mean,0.99,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
conservative,0.99,s0067,1000000,branch,direct,4096,1,0,1000000,0,0,0,0,1.0,1.0,0.02429122105240822,0.03563901409506795,1,225378304
mean,0.99,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
conservative,0.99,s0055,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,0.02085394226014614,0.024981470778584473,1,136708096
