setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
s0000,1000000,scan,direct,2048,1,0,0,0,0,0,0,1.0,1.0,0.03208336420357227,0.03619042690843344,1,184975360
s0001,1000000,keys,ivf,256,214,0,0,1,0,0,0,0.950625,0.944375,11.526500573381782,12.07135608419776,1,139198464
s0002,1000000,keys,direct,8192,2,0,0,1,0,0,0,1.0,1.0,0.024478882551193237,0.03310153260827064,1,148160512
s0003,1000000,keys,direct,8192,2,0,0,4,0,0,0,1.0,1.0,0.02483348362147808,0.030254689045250416,1,155140096
s0004,1000000,keys,ivf,4096,2586,0,0,12,0,0,0,0.9003125,0.8928125,0.4183331038802862,0.46958117745816697,1,214941696
s0005,1000000,scan,ivf,256,149,0,0,0,0,0,0,0.800625,0.7859375,14.78222943842411,16.289020562544465,1,158040064
s0006,1000000,keys,ivf,4096,3724,0,0,4,0,0,0,0.99,0.98625,3.4312293864786625,4.111623205244541,1,156581888
s0007,1000000,branch,ivf,256,214,0,320,0,0,0,0,0.950625,0.9446875,3.895103232935071,4.056656360626221,1,191479808
s0008,1000000,branch,direct,8192,2,0,320,0,0,0,0,1.0,1.0,0.02583349123597145,0.04232050850987432,1,230948864
s0009,1000000,keys,none,1,1,0,0,13,0,0,0,1.0,1.0,0.022270483896136284,0.030410941690206524,1,136921088
s0010,1000000,branch,direct,2048,1,0,128,0,0,0,0,1.0,1.0,0.02622930333018303,0.04651721101254222,1,220053504
s0011,1000000,keys,ivf,4096,3724,0,0,12,0,0,0,0.99,0.98625,0.506687443703413,0.5511267576366663,1,214761472
s0012,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.2163329627364874,0.26852318551391363,1,185499648
s0013,1000000,scan,ivf,4096,3091,0,0,0,0,0,0,0.95,0.943125,20.07920853793621,20.29161627870053,1,188841984
s0014,1000000,keys,ivf,256,255,0,0,12,0,0,0,1.0,1.0,0.08914596401154995,0.13483769726008174,1,174538752
s0015,1000000,keys,ivf,256,188,0,0,1,0,0,0,0.9015625,0.8915625,10.861354880034924,11.091383663006127,1,139100160
s0016,1000000,branch,ivf,4096,2586,0,1000000,0,0,0,0,0.9003125,0.893125,17.48187467455864,19.37552511226386,1,206831616
s0017,1000000,branch,ivf,4096,3091,0,320,0,0,0,0,0.95,0.94375,20.73968737386167,21.626258082687855,1,224493568
s0018,1000000,keys,ivf,256,243,0,0,4,0,0,0,0.99,0.9865625,1.7582084983587265,1.8130516167730093,1,139411456
