method,probes,node_budget,explore_probability,seed,original_p50_ms,power_rerun_p50_ms,clean_p50_ms,clean_vs_original_ratio,clean_vs_power_ratio,float_recall,ndcg
ivf/branch,1,32,0.0,42,0.026874709874391556,0.019374769181013107,0.01804158091545105,0.6713218858835964,0.931189463311462,0.05077160493827161,0.05263101311421624
ivf/branch,1,32,0.1,42,0.04391651600599289,0.030979514122009277,0.030187424272298813,0.6873820379599194,0.9744318181818182,0.03657407407407408,0.03819805631767082
ivf/branch,1,32,0.1,43,0.04187482409179211,0.031583476811647415,0.030583469197154045,0.7303545712840073,0.9683376336159233,0.0345679012345679,0.028542894947292268
ivf/branch,1,32,0.1,44,0.04358310252428055,0.031542032957077026,0.030082883313298225,0.6902418958480244,0.9537395181292075,0.03580246913580246,0.0388954706774667
ivf/branch,1,128,0.0,42,0.11670822277665138,0.08556200191378593,0.08020829409360886,0.6872548667552438,0.9374289088563919,0.39691358024691364,0.20315305794979582
ivf/branch,1,128,0.1,42,0.11710450053215027,0.08341716602444649,0.08422951214015484,0.7192679338317163,1.0097383566767335,0.3961419753086419,0.20461114005134318
ivf/branch,1,128,0.1,43,0.11943746358156204,0.08570821955800056,0.08083321154117584,0.6767827205739015,0.9431208810314197,0.39567901234567904,0.20257264090884308
ivf/branch,1,128,0.1,44,0.11879205703735352,0.08658342994749546,0.08012517355382442,0.6744994198444556,0.9254100190118669,0.39490740740740743,0.2038010670693606
ivf/branch,1,512,0.0,42,0.15535391867160797,0.11010444723069668,0.10654167272150517,0.6857997122474672,0.9676418655304031,0.45941358024691353,0.2148282251723496
ivf/branch,1,512,0.1,42,0.1565413549542427,0.11385465040802956,0.10518776252865791,0.6719487164232383,0.9238776119525074,0.45941358024691353,0.2148282251723496
ivf/branch,1,512,0.1,43,0.15791645273566246,0.11002062819898129,0.10879198089241982,0.6889211289119287,0.9888325732485425,0.45941358024691353,0.2148282251723496
ivf/branch,1,512,0.1,44,0.1566670835018158,0.11679157614707947,0.10777078568935394,0.6878968018071573,0.9227616343976268,0.45941358024691353,0.2148282251723496
ivf/branch,4,32,0.0,42,0.02770824357867241,0.01816730946302414,0.01712469384074211,0.6180360654084668,0.9426103450043574,0.0,0.0
ivf/branch,4,32,0.1,42,0.03566686064004898,0.024207867681980133,0.02350006252527237,0.6588766744131395,0.9707613588273766,0.000308641975308642,0.0
ivf/branch,4,32,0.1,43,0.0358126126229763,0.024083536118268967,0.02424977719783783,0.6771295200696945,1.0069026856667762,0.0,0.0009462148036503987
ivf/branch,4,32,0.1,44,0.03562518395483494,0.024124979972839355,0.02420833334326744,0.6795286551771464,1.0034550648548486,0.000154320987654321,0.0
ivf/branch,4,128,0.0,42,0.07808301597833633,0.05627050995826721,0.05281250923871994,0.6763635929914958,0.9385468387951009,0.1697530864197531,0.12830445231069482
ivf/branch,4,128,0.1,42,0.10256236419081688,0.07308321073651314,0.07089553400874138,0.6912431725622131,0.9700659466692153,0.12391975308641974,0.09224776637583178
