operation,size,dimensions,repetition,step,milliseconds,count,live_payload_bytes,checksum
root,16,0,0,0,0,0,512,0
split,16,0,0,1,4.2e-05,507,768,0
split,16,0,0,2,4.2e-05,250,896,0
split,16,0,0,3,8.4e-05,117,1024,0
leaf,16,0,0,3,8.4e-05,117,896,59276
release,16,0,0,3,8.4e-05,0,384,0
root,16,0,1,0,0,0,512,0
split,16,0,1,1,8.3e-05,507,768,0
split,16,0,1,2,8.3e-05,250,896,0
split,16,0,1,3,0.000792,117,1024,0
leaf,16,0,1,3,8.4e-05,117,896,59276
release,16,0,1,3,0.000167,0,384,0
root,16,0,2,0,4.1e-05,0,512,0
split,16,0,2,1,0.000167,507,768,0
split,16,0,2,2,4.1e-05,250,896,0
split,16,0,2,3,8.3e-05,117,1024,0
leaf,16,0,2,3,8.3e-05,117,896,59276
release,16,0,2,3,4.1e-05,0,384,0
root,16,0,3,0,4.1e-05,0,512,0
split,16,0,3,1,8.4e-05,507,768,0
split,16,0,3,2,4.2e-05,250,896,0
split,16,0,3,3,4.1e-05,117,1024,0
leaf,16,0,3,3,4.1e-05,117,896,59276
release,16,0,3,3,4.2e-05,0,384,0
root,16,0,4,0,4.1e-05,0,512,0
split,16,0,4,1,4.2e-05,507,768,0
split,16,0,4,2,4.2e-05,250,896,0
split,16,0,4,3,4.1e-05,117,1024,0
leaf,16,0,4,3,8.3e-05,117,896,59276
release,16,0,4,3,4.2e-05,0,384,0
