query,top_k,query_l1,kth_score,gap,optimistic_min_depth
0,1,5.991009812307311,4.976143155741738,1.014866656565573,2
1,1,5.873244734393666,5.129384102270706,0.7438606321229599,1
2,1,5.9543146109208465,4.9204529374837875,1.033861673437059,2
3,1,5.910044497868512,5.609830391651485,0.3002141062170267,1
4,1,5.730628022924066,5.306634932756424,0.42399309016764164,1
5,1,5.833912191912532,4.9383082473650575,0.8956039445474744,1
6,1,6.633845419681165,6.325312637665775,0.3085327820153907,1
7,1,6.030379072879441,4.896444129641168,1.1339349432382733,2
8,1,6.241454632137902,5.433241487364285,0.8082131447736174,1
9,1,5.947550927405246,5.4814822365297005,0.46606869087554514,1
10,1,6.1634956195775885,5.539417466352461,0.6240781532251276,1
11,1,5.9600981352850795,5.252422044984996,0.7076760903000832,1
12,1,6.233134904177859,5.2057755526620895,1.02735935151577,2
13,1,5.940109052695334,5.5530112981796265,0.3870977545157075,1
14,1,6.025100742932409,5.03979593841359,0.9853048045188189,2
15,1,5.981751621235162,5.451710027176887,0.5300415940582752,1
16,1,6.057545979972929,5.597720074933022,0.4598259050399065,1
17,1,6.497639686684124,5.986224466119893,0.5114152205642313,1
18,1,6.494297221106535,5.831865724372619,0.662431496733916,1
19,1,6.177084616647335,5.5195480438706,0.6575365727767348,1
20,1,5.958566598477773,5.6672672213753685,0.29129937710240483,1
21,1,6.116794894449413,5.585369209758937,0.5314256846904755,1
22,1,6.162026342208264,4.786168019549223,1.3758583226590417,2
23,1,5.540344245790038,4.509820532461163,1.0305237133288756,1
24,1,6.0862975778291,5.589157906943001,0.49713967088609934,1
25,1,5.902161667123437,5.453121028840542,0.4490406382828951,1
26,1,6.195836563914781,5.737043237459147,0.4587933264556341,1
27,1,6.178120010765269,5.888319010613486,0.28980100015178323,1
28,1,5.938229067949578,5.61959114507772,0.3186379228718579,1
29,1,6.308933255379088,6.011397467111237,0.2975357882678509,1
30,1,6.021533709485084,5.361733498517424,0.65980021096766,1
31,1,6.135875790147111,5.687283912207931,0.44859187793917954,1
0,10,5.991009812307311,4.752450990054058,1.2385588222532533,2
1,10,5.873244734393666,4.9442210440465715,0.9290236903470941,1
2,10,5.9543146109208465,4.66080919560045,1.2935054153203964,2
3,10,5.910044497868512,5.062710620637517,0.8473338772309944,1
4,10,5.730628022924066,4.813062760978937,0.9175652619451284,1
5,10,5.833912191912532,4.565066699869931,1.268845492042601,2
6,10,6.633845419681165,5.6950079630478285,0.9388374566333368,2
7,10,6.030379072879441,4.695847901632078,1.334531171247363,2
8,10,6.241454632137902,5.1970467801438645,1.0444078519940376,2
9,10,5.947550927405246,5.319228913052939,0.6283220143523067,1
10,10,6.1634956195775885,5.012820503878174,1.1506751156994142,2
11,10,5.9600981352850795,4.8688350124284625,1.091263122856617,2
12,10,6.233134904177859,4.8675790128763765,1.365555891301483,2
13,10,5.940109052695334,5.459786959923804,0.48032209277153015,1
14,10,6.025100742932409,4.853654795791954,1.1714459471404552,2
15,10,5.981751621235162,5.250877814833075,0.7308738064020872,1
16,10,6.057545979972929,5.377995165530592,0.6795508144423366,1
17,10,6.497639686684124,5.840620202128775,0.6570194845553488,1
18,10,6.494297221106535,5.569453570795304,0.9248436503112316,2
19,10,6.177084616647335,4.8436794238805305,1.3334051927668042,2
20,10,5.958566598477773,5.343050021328963,0.61551657714881,1
21,10,6.116794894449413,5.3829033160582185,0.7338915783911943,1
22,10,6.162026342208264,4.490675326640485,1.6713510155677795,3
23,10,5.540344245790038,4.347310388402548,1.1930338573874906,2
24,10,6.0862975778291,5.353488014661707,0.7328095631673932,1
25,10,5.902161667123437,5.341716054826975,0.5604456122964621,1
26,10,6.195836563914781,5.5011710158141796,0.6946655481006019,1
27,10,6.178120010765269,5.815519474679604,0.3626005360856652,1
28,10,5.938229067949578,4.949224975192919,0.9890040927566588,1
29,10,6.308933255379088,5.936858539353125,0.3720747160259634,1
30,10,6.021533709485084,5.111714518163353,0.9098191913217306,2
31,10,6.135875790147111,5.464542279485613,0.6713335106614977,1
0,100,5.991009812307311,4.483349589194404,1.5076602231129073,2
1,100,5.873244734393666,4.685377519665053,1.1878672147286125,2
2,100,5.9543146109208465,4.368796220049262,1.5855183908715844,3
3,100,5.910044497868512,4.767550445103552,1.1424940527649596,2
4,100,5.730628022924066,4.647868255153298,1.0827597677707672,1
5,100,5.833912191912532,4.311034195125103,1.5228779967874289,2
6,100,6.633845419681165,5.154462345934007,1.479383073747158,3
7,100,6.030379072879441,4.504804978263564,1.5255740946158767,2
8,100,6.241454632137902,4.967445924063213,1.274008708074689,2
9,100,5.947550927405246,5.100110384053551,0.8474405433516949,1
10,100,6.1634956195775885,4.68526489494252,1.4782307246350683,2
11,100,5.9600981352850795,4.596870644949377,1.363227490335703,2
12,100,6.233134904177859,4.463675630511716,1.7694592736661434,3
13,100,5.940109052695334,5.232203394174576,0.7079056585207582,1
14,100,6.025100742932409,4.553128854837269,1.4719718880951405,2
15,100,5.981751621235162,4.952520099002868,1.029231522232294,2
16,100,6.057545979972929,5.187490993645042,0.8700549863278866,2
17,100,6.497639686684124,5.604120683739893,0.893519002944231,2
18,100,6.494297221106535,5.308411890910065,1.18588533019647,2
19,100,6.177084616647335,4.457896671694471,1.7191879449528642,3
20,100,5.958566598477773,5.099815649096854,0.8587509493809193,1
21,100,6.116794894449413,5.101584165357053,1.0152107290923595,2
22,100,6.162026342208264,4.184483583347173,1.977542758861091,3
23,100,5.540344245790038,4.04994532460114,1.4903989211888984,2
24,100,6.0862975778291,5.138506317161955,0.9477912606671453,1
25,100,5.902161667123437,5.138391751796007,0.7637699153274298,1
26,100,6.195836563914781,5.265052981296321,0.9307835826184601,2
27,100,6.178120010765269,5.6093273635488,0.568792647216469,1
28,100,5.938229067949578,4.6692290275823325,1.2690000403672457,2
29,100,6.308933255379088,5.752714087138884,0.5562191682402045,1
30,100,6.021533709485084,4.855796352494508,1.1657373569905758,2
31,100,6.135875790147111,4.95406356966123,1.181812220485881,2
32,1,5.9807349786524355,5.845338487216395,0.13539649143604038,1
33,1,5.869343761121854,5.557682241080329,0.31166152004152536,1
34,1,5.974694754462689,5.484054099302739,0.49064065515995026,1
35,1,5.970820073387586,5.6071140536805615,0.3637060197070241,1
36,1,6.067531381093431,5.200898735842202,0.8666326452512294,2
37,1,6.149307553190738,5.037086975295097,1.1122205778956413,2
38,1,5.974603817332536,5.410007277969271,0.564596539363265,1
39,1,5.73075384600088,5.532268262002617,0.19848558399826288,1
40,1,6.03074201461277,4.999928533245111,1.0308134813676588,2
41,1,5.866433448623866,5.177539535332471,0.6888939132913947,1
42,1,6.18437472730875,5.5356400944292545,0.6487346328794956,1
43,1,6.643307015532628,6.467388391727582,0.17591862380504608,1
44,1,6.203337103128433,5.438308423385024,0.7650286797434092,1
45,1,6.53096574783558,6.102430654282216,0.4285350935533643,1
46,1,6.151004391780589,5.456545349152293,0.6944590426282957,1
47,1,6.051332940696739,5.805484186275862,0.2458487544208765,1
48,1,6.090790941379964,5.407136379741132,0.6836545616388321,1
49,1,6.193942852783948,5.318176873959601,0.8757659788243473,1
50,1,6.133989251451567,5.412780239479616,0.7212090119719505,1
51,1,6.379892771190498,6.167423692473676,0.21246907871682197,1
52,1,6.048683280590922,5.684498904738575,0.3641843758523464,1
53,1,5.9825106805656105,5.794256773078814,0.18825390748679638,1
