query,top_k,query_l1,kth_score,gap,optimistic_min_depth
0,1,12.187605327257188,9.304087596217869,2.883517731039319,9
1,1,12.424099742376711,10.208192954363767,2.215906788012944,7
2,1,11.939060263626743,10.015166487137321,1.9238937764894217,5
3,1,12.076939396909438,9.131657811929472,2.9452815849799663,8
4,1,11.730767106200801,10.586070874211146,1.1446962319896556,3
5,1,11.82388927572174,10.14974010939477,1.6741491663269699,4
6,1,12.145182038890198,11.089885828550905,1.0552962103392929,3
7,1,12.687992284831125,11.66328508395236,1.0247072008787654,3
8,1,12.025127745844657,11.092221924423939,0.932905821420718,3
9,1,12.04759616596857,9.81796092435252,2.2296352416160516,6
10,1,12.429978044921882,10.756271908656345,1.6737061362655368,5
11,1,12.216335613920819,10.92647617025068,1.2898594436701387,4
12,1,12.176741268427577,9.878426420327742,2.298314848099835,7
13,1,12.47733511714614,11.042911877477309,1.4344232396688312,4
14,1,12.512258212052984,9.702743411675328,2.8095148003776558,9
15,1,12.489067684771726,10.321490149042802,2.167577535728924,7
16,1,11.95063240735908,10.420897688978584,1.529734718380496,4
17,1,12.568967668368714,10.17958954841015,2.3893781199585646,8
18,1,11.985340781742707,10.170905389881227,1.8144353918614797,5
19,1,12.384388601003593,11.492723247440154,0.8916653535634396,2
20,1,11.850610926456284,10.87894830579171,0.9716626206645742,2
21,1,12.44311232297332,9.881523479270982,2.5615888437023386,8
22,1,11.760337896055717,10.349267481600691,1.4110704144550255,4
23,1,12.535239656514022,10.368796389346244,2.1664432671677787,6
24,1,12.461924873670796,10.558804854663322,1.9031200190074742,6
25,1,12.80563744979736,11.929101009882288,0.8765364399150712,3
26,1,11.965019254043,10.83107441329048,1.1339448407525197,3
27,1,12.319609554251656,9.151254788856022,3.168354765395634,9
28,1,12.602137459201913,11.911354381220008,0.6907830779819051,2
29,1,12.709167694127245,11.289481810432335,1.4196858836949104,5
30,1,12.192330498975934,10.875478593603475,1.3168519053724594,4
31,1,12.08769668309833,10.024787109548924,2.0629095735494047,5
0,10,12.187605327257188,7.373906812426867,4.813698514830321,16
1,10,12.424099742376711,6.523301769339014,5.900797973037697,21
2,10,11.939060263626743,8.737030486634467,3.2020297769922763,9
3,10,12.076939396909438,8.381114692543633,3.695824704365805,11
4,10,11.730767106200801,9.05483175473637,2.6759353514644317,7
5,10,11.82388927572174,8.912196621822659,2.911692653899081,8
6,10,12.145182038890198,8.636942646000534,3.5082393928896636,11
7,10,12.687992284831125,8.138559983461164,4.549432301369961,16
8,10,12.025127745844657,9.470417504751822,2.5547102410928346,7
9,10,12.04759616596857,9.071372137230355,2.9762240287382156,9
10,10,12.429978044921882,7.8999889330152655,4.529989111906616,16
11,10,12.216335613920819,8.837956533476245,3.3783790804445744,11
12,10,12.176741268427577,8.469998622138519,3.706742646289058,12
13,10,12.47733511714614,7.516498178098118,4.960836939048022,17
14,10,12.512258212052984,6.676936901843874,5.83532131020911,21
15,10,12.489067684771726,9.935147679090733,2.553920005680993,9
16,10,11.95063240735908,7.675418146915035,4.275214260444045,14
17,10,12.568967668368714,9.036806804389926,3.5321608639787883,12
18,10,11.985340781742707,8.57490133238025,3.410439449362457,10
19,10,12.384388601003593,7.018442097523803,5.36594650347979,19
20,10,11.850610926456284,10.291272386733908,1.5593385397223756,4
21,10,12.44311232297332,8.721803466585698,3.7213088563876227,12
22,10,11.760337896055717,9.618254923851055,2.142082972204662,6
23,10,12.535239656514022,9.342293159250403,3.1929464972636197,10
24,10,12.461924873670796,7.657890197675442,4.804034675995354,17
25,10,12.80563744979736,8.502287442533998,4.3033500072633615,16
26,10,11.965019254043,9.838304307340877,2.1267149467021227,5
27,10,12.319609554251656,7.865045526414178,4.454564027837478,14
28,10,12.602137459201913,7.765710994579422,4.836426464622491,17
29,10,12.709167694127245,10.388208845724876,2.3209588484023698,8
30,10,12.192330498975934,8.688856842491077,3.503473656484857,11
31,10,12.08769668309833,9.5050949708384,2.5826017122599296,7
0,100,12.187605327257188,6.489222885720665,5.698382441536523,20
1,100,12.424099742376711,5.900787150545511,6.5233125918312,24
2,100,11.939060263626743,6.788312882476021,5.1507473811507225,16
3,100,12.076939396909438,7.205334447906353,4.8716049490030855,16
4,100,11.730767106200801,7.574210537917679,4.156556568283122,12
5,100,11.82388927572174,7.789372105675284,4.034517170046456,13
6,100,12.145182038890198,7.660771791415755,4.484410247474443,15
7,100,12.687992284831125,7.494364519952796,5.193627764878329,19
8,100,12.025127745844657,8.094237845944008,3.9308898999006487,12
9,100,12.04759616596857,7.297245109279174,4.7503510566893965,16
10,100,12.429978044921882,6.311965366607183,6.118012678314699,22
11,100,12.216335613920819,7.346495562524069,4.86984005139675,17
12,100,12.176741268427577,7.365636400238145,4.811104868189432,16
13,100,12.47733511714614,5.964639232814079,6.512695884332061,24
14,100,12.512258212052984,5.3379650864808355,7.174293125572149,28
15,100,12.489067684771726,8.227606467000442,4.261461217771284,15
16,100,11.95063240735908,6.6823926780198235,5.268239729339257,17
17,100,12.568967668368714,7.0278501648281235,5.54111750354059,20
18,100,11.985340781742707,6.895349328871816,5.0899914528708905,16
19,100,12.384388601003593,6.248712478609377,6.135676122394216,23
20,100,11.850610926456284,8.735525758529548,3.115085167926736,8
21,100,12.44311232297332,6.716251649457263,5.726860673516057,20
22,100,11.760337896055717,7.067934066995804,4.692403829059913,14
23,100,12.535239656514022,8.043485669011716,4.491753987502307,15
24,100,12.461924873670796,6.420984392374521,6.040940481296275,23
25,100,12.80563744979736,6.257379579212284,6.548257870585076,25
26,100,11.965019254043,8.617595766932936,3.3474234871100634,9
27,100,12.319609554251656,6.102373617119156,6.2172359371325,22
28,100,12.602137459201913,6.709631061057735,5.892506398144178,22
29,100,12.709167694127245,9.051563524735684,3.6576041693915613,13
30,100,12.192330498975934,7.540766328078462,4.651564170897473,15
31,100,12.08769668309833,8.634549731592415,3.4531469515059143,10
32,1,11.934304119786248,9.883621239918284,2.0506828798679635,6
33,1,12.07058592652902,10.56763439567294,1.5029515308560804,5
34,1,12.193391148350202,10.013371631852351,2.1800195164978504,6
35,1,12.49391749035567,11.15503424720373,1.3388832431519404,4
36,1,11.76190948895237,7.831350004315027,3.9305594846373424,12
37,1,12.070044910651632,9.973717755987309,2.0963271546643227,6
38,1,12.323615483910544,10.770927409437718,1.552688074472826,4
39,1,12.364162286882674,11.87806991403977,0.4860923728429043,2
40,1,12.294606571813347,10.807849099423038,1.486757472390309,4
41,1,11.98382810568728,10.51469443955284,1.4691336661344394,4
42,1,12.671480115892336,10.841230383917718,1.830249731974618,6
43,1,12.124892470958002,10.87103772379487,1.2538547471631318,4
44,1,11.74301735334302,10.605091505545715,1.1379258477973053,3
45,1,12.331079854760901,9.867841371407849,2.4632384833530523,7
46,1,12.199955880118068,11.326285222312436,0.8736706578056328,3
47,1,12.1737502104952,9.582177194941323,2.5915730155538768,7
48,1,12.669430032517994,10.551656559080584,2.11777347343741,7
49,1,12.425159938051365,10.57567359006498,1.8494863479863852,6
50,1,12.393132012628485,10.976977661426645,1.4161543512018397,4
51,1,11.64382210173062,9.41805079227197,2.2257713094586506,6
52,1,11.985122321726521,9.238060975942062,2.7470613457844593,8
53,1,12.051523906306102,10.167508243746852,1.88401566255925,5
54,1,12.367463058282738,11.857557890980388,0.5099051673023496,2
55,1,12.334506241197232,9.912463338521775,2.4220429026754573,7
56,1,12.068809414253337,9.654615329141961,2.414194085111376,7
57,1,12.327956297380297,10.547209622283845,1.7807466750964522,5
58,1,12.183646453951951,9.469747709808871,2.71389874414308,7
59,1,11.928950465924572,10.004396652395371,1.9245538135292009,5
60,1,12.04128195913654,8.890232813057082,3.1510491460794583,9
61,1,12.434757318347692,10.460617780219764,1.974139538127929,6
62,1,11.996067611893523,8.479844502013293,3.5162231098802295,11
63,1,12.273644209722988,10.129796781227924,2.1438474284950644,7
32,10,11.934304119786248,8.49432234512642,3.4399817746598274,10
33,10,12.07058592652902,9.656100506777875,2.414485419751145,7
34,10,12.193391148350202,7.476111458498053,4.717279689852148,16
35,10,12.49391749035567,7.84304396819789,4.650873522157781,15
36,10,11.76190948895237,6.871313561467105,4.890595927485265,15
37,10,12.070044910651632,9.086708965012804,2.983335945638828,10
