method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00390,1,2,1,1000,1,True,True,0.552,0.09822950050875079,0.10968689985020318,99.11020903018652,0.09822950050875079,0.09822950050875079,0.09822950050875079,40000000,184385536,535.118,0.0,0.0,0.0,0.0,0.0,0.0,main-s00390,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,535.118,nomic-msmarco-d256::main-s00390,0.5,qualified,nomic-msmarco-d256::main-s00390,0.09891699846775737,0.10979404942190739,0.552,True,0.09866700020211283,0.09937499999068677,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00411,1,2,1,1000,1,True,True,0.552,0.10933350131381303,0.12083304955012864,110.12340902561846,0.10933350131381303,0.10933350131381303,0.10933350131381303,76110336,221806592,535.118,2.0,0.0,9.336,0.0,0.0,0.0,main-s00411,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,80337408,535.118,nomic-msmarco-d256::main-s00390,0.5,qualified,nomic-msmarco-d256::main-s00411,0.11058299787691794,0.1243771010194905,0.552,True,0.10947900045721326,0.11156250002386514,2048,8192,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,nomic-msmarco-d256::main-s00300,1,2,1,1000,1,True,True,0.535,0.08764599988353439,0.12800625318050152,92.02782802822185,0.08764599988353439,0.08764599988353439,0.08764599988353439,44000000,155746304,1527.804,0.0,0.0,0.0,14.305,56.2,2.695,main-s00300,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,1056768,45056768,2073.908,nomic-msmarco-d256::main-s00210,0.5,qualified,nomic-msmarco-d256::main-s00300,0.08691650145919994,0.1264160518985591,0.535,True,0.08612500096205622,0.08758350122661795,,,,,16,1000,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00391,1,15,1,1000,1,True,True,0.804,0.22966700089455117,0.2615839985992352,230.95346803529537,0.22966700089455117,0.22966700089455117,0.22966700089455117,40000000,184385536,3886.685,0.0,0.0,0.0,0.0,0.0,0.0,main-s00391,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,3886.685,nomic-msmarco-d256::main-s00391,0.8,qualified,nomic-msmarco-d256::main-s00391,0.22987499869486783,0.2630020480864914,0.804,True,0.22914550208952278,0.23104150022845715,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00415,1,15,1,1000,1,True,True,0.804,0.24952100011432776,0.28526250016511767,250.8763779696892,0.24952100011432776,0.24952100011432776,0.24952100011432776,76110336,221806592,3886.685,15.0,0.0,68.073,0.0,0.0,0.0,main-s00415,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,80337408,3886.685,nomic-msmarco-d256::main-s00391,0.8,qualified,nomic-msmarco-d256::main-s00415,0.25079100305447355,0.28767115054506576,0.804,True,0.24987500000861473,0.2514589978090953,2048,8192,0,42,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256-followup::nomic-msmarco-d256-followup-s00028,1,15,1,1000,1,True,True,0.804,0.2506044984329492,0.28815835012210295,251.6068310069386,0.2506044984329492,0.2506044984329492,0.2506044984329492,44000000,156991488,3886.685,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d256-followup-s00028,nomic-msmarco-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256-followup,32000000000,4227072,48227072,3886.685,nomic-msmarco-d256::main-s00391,0.8,qualified,nomic-msmarco-d256-followup::nomic-msmarco-d256-followup-s00028,0.25099999766098335,0.28929099808010506,0.804,True,0.24729200049478095,0.2536249994591344,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00391', 'target': 0.8}]",['main-s00391']
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00392,1,53,1,1000,1,True,True,0.901,0.5997294992994284,0.6733351009643229,600.3826450469205,0.5997294992994284,0.5997294992994284,0.5997294992994284,40000000,184385536,13302.015,0.0,0.0,0.0,0.0,0.0,0.0,main-s00392,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,13302.015,nomic-msmarco-d256::main-s00392,0.9,qualified,nomic-msmarco-d256::main-s00392,0.5941460003668908,0.667958000121871,0.901,True,0.592021000556997,0.5972920007479843,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00418,1,53,1,1000,1,True,True,0.901,0.654166999993322,0.7352184493356617,655.8669389978604,0.654166999993322,0.654166999993322,0.654166999993322,76110336,221806592,13302.015,53.0,0.0,233.493,0.0,0.0,0.0,main-s00418,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,80337408,13302.015,nomic-msmarco-d256::main-s00392,0.9,qualified,nomic-msmarco-d256::main-s00418,0.6461669981945306,0.730421152911731,0.901,True,0.6402920007531065,0.6502295000245795,2048,512,0,42,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256-followup::nomic-msmarco-d256-followup-s00029,1,53,1,1000,1,True,True,0.901,0.6411875001504086,0.7213517990749096,641.5862161084078,0.6411875001504086,0.6411875001504086,0.6411875001504086,44000000,156975104,13302.015,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d256-followup-s00029,nomic-msmarco-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256-followup,32000000000,4227072,48227072,13302.015,nomic-msmarco-d256::main-s00392,0.9,qualified,nomic-msmarco-d256-followup::nomic-msmarco-d256-followup-s00029,0.6597499996132683,0.7456249988536001,0.901,True,0.6513749995065155,0.6709794997732388,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00392', 'target': 0.9}]",['main-s00392']
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00393,1,125,1,1000,1,True,True,0.95,1.2929790000271169,1.4278878499681014,1299.3587830023898,1.2929790000271169,1.2929790000271169,1.2929790000271169,40000000,184385536,30948.356,0.0,0.0,0.0,0.0,0.0,0.0,main-s00393,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,30948.356,nomic-msmarco-d256::main-s00393,0.95,qualified,nomic-msmarco-d256::main-s00393,1.2898124987259507,1.422416050445463,0.95,True,1.2884789994132007,1.291645499804872,,,,,,,,
