target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
0.5,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00210,1,1,1,3000,3,True,True,0.728,0.1946459997270722,0.2739295012361253,601.0843018302694,0.1946459997270722,0.19412500114412978,0.19529200108081568,71118616,261537792,584.657,0.0,0.0,0.0,0.0,0.0,0.0,main-s00210,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,75321112,584.657,qwen-quora-d1024::main-s00210,,,,,,,,
0.5,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00231,1,1,1,3000,3,True,True,0.728,0.2407079991826322,0.32004404965846334,739.5217318589857,0.24056249822024256,0.23912500000733417,0.24166649927792605,142200600,333643776,584.657,1.0,0.0,9.636,0.0,0.0,0.0,main-s00231,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,146403096,584.657,qwen-quora-d1024::main-s00210,2048,8192,0,42,,,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00017,1,1,1,3000,3,True,True,0.728,0.19587499991757795,0.27504404897626955,604.2175720649539,0.19631249961094,0.1944169998751022,0.19635450007626787,73210340,220561408,584.657,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00017,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,4202496,77412836,584.657,qwen-quora-d1024::main-s00210,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00210', 'target': 0.5}]",['main-s00210']
0.8,True,scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00211,1,2,1,3000,3,True,True,0.859,0.30068749947531614,0.42273094895790553,929.6825510718918,0.3016044993273681,0.29920849920017645,0.3020624990313081,71118616,261537792,1149.348,0.0,0.0,0.0,0.0,0.0,0.0,main-s00211,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,75321112,1149.348,qwen-quora-d1024::main-s00211,,,,,,,,
0.8,True,branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024::main-s00234,1,2,1,3000,3,True,True,0.859,0.34702099947026,0.4726333507278468,1068.5212720854906,0.34737500027404167,0.346271002854337,0.3485830002318835,142200600,333643776,1149.348,2.0,0.0,18.945,0.0,0.0,0.0,main-s00234,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,4202496,146403096,1149.348,qwen-quora-d1024::main-s00211,2048,512,0,42,,,,
0.8,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-1024-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00018,1,2,1,3000,3,True,True,0.859,0.30385450008907355,0.4283896021661348,940.3592311464308,0.3047085010621231,0.30141699971864,0.30491700090351515,73210340,220561408,1149.348,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00018,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,4202496,77412836,1149.348,qwen-quora-d1024::main-s00211,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00211', 'target': 0.8}]",['main-s00211']
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00392,1,3,1,3000,3,True,True,0.92,0.4037289982079528,0.4563351003525895,1221.2042250284867,0.4030625023005996,0.4019369989691768,0.40572900070401374,71118616,293519360,461.878,0.0,0.0,0.0,0.0,0.0,0.0,main-s00392,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,461.878,qwen-quora-d1024::main-s00392,,,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00418,1,3,1,3000,3,True,True,0.92,0.45085449892212637,0.5060871972091263,1363.944480985083,0.45077049981046,0.4484590026549995,0.4530834994511679,154865432,380715008,461.878,3.0,0.0,8.725,0.0,0.0,0.0,main-s00418,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,171675416,461.878,qwen-quora-d1024::main-s00392,2048,512,0,42,,,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024-followup::qwen-quora-d1024-followup-s00019,1,3,1,3000,3,True,True,0.92,0.4026455007988261,0.45417115215968806,1218.7181631379644,0.40224999975180253,0.40170850115828216,0.40383350096817594,73210340,247349248,461.878,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d1024-followup-s00019,qwen-quora-d1024-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024-followup,32000000000,16809984,90020324,461.878,qwen-quora-d1024::main-s00392,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00392', 'target': 0.9}]",['main-s00392']
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d1024/routers/ivf-4096-seed42,qwen-quora-d1024::main-s00393,1,6,1,3000,3,True,True,0.956,0.4922499992972007,0.5680872000084491,1485.5223730373837,0.49522900008014403,0.48564600001554936,0.49631299953034613,71118616,293519360,890.047,0.0,0.0,0.0,0.0,0.0,0.0,main-s00393,qwen-quora-d1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d1024,32000000000,16809984,87928600,890.047,qwen-quora-d1024::main-s00393,,,,,,,,
