method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00210,1,1,1,1000,1,True,True,0.729,0.045416999455483165,0.05980980022286529,46.19992599782563,0.045416999455483165,0.045416999455483165,0.045416999455483165,20917240,118554624,575.399,0.0,0.0,0.0,0.0,0.0,0.0,main-s00210,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,575.399,qwen-quora-d256::main-s00210,0.5,qualified,qwen-quora-d256::main-s00210,0.04612500015355181,0.06087709966777764,0.729,True,0.04554100041787024,0.04670850012189476,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00230,1,1,1,1000,1,True,True,0.729,0.0588124999012507,0.07609645026604993,60.12662101602473,0.0588124999012507,0.0588124999012507,0.0588124999012507,38663160,136970240,575.399,1.0,0.0,9.483,0.0,0.0,0.0,main-s00230,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,575.399,qwen-quora-d256::main-s00210,0.5,qualified,qwen-quora-d256::main-s00230,0.05650000002788147,0.07275205007317707,0.729,True,0.055625000186410034,0.05756249993282836,2048,512,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00035,1,1,1,1000,1,True,True,0.729,0.04791699939232785,0.06475415193563094,49.04443007035297,0.04791699939232785,0.04791699939232785,0.04791699939232785,23008964,105381888,575.399,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00035,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,1056768,24065732,575.399,qwen-quora-d256::main-s00210,0.5,qualified,qwen-quora-d256-followup::qwen-quora-d256-followup-s00035,0.047582998377038166,0.06329404841380891,0.729,True,0.04749999970954377,0.04766649908560794,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00210', 'target': 0.5}]",['main-s00210']
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00211,1,2,1,1000,1,True,True,0.855,0.06656250025116606,0.08909435014174959,68.1270389823112,0.06656250025116606,0.06656250025116606,0.06656250025116606,20917240,118554624,1132.15,0.0,0.0,0.0,0.0,0.0,0.0,main-s00211,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,1132.15,qwen-quora-d256::main-s00211,0.8,qualified,qwen-quora-d256::main-s00211,0.06714549999742303,0.08934134980336235,0.855,True,0.06627100037803757,0.06770849950044067,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00235,1,2,1,1000,1,True,True,0.855,0.07952099986141548,0.10325210037080979,81.04147900849057,0.07952099986141548,0.07952099986141548,0.07952099986141548,38663160,136970240,1132.15,2.0,0.0,18.662,0.0,0.0,0.0,main-s00235,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,1132.15,qwen-quora-d256::main-s00211,0.8,qualified,qwen-quora-d256::main-s00235,0.0806044999990263,0.10583510074866352,0.855,True,0.0802294998720754,0.08108300016829162,2048,8192,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00309,1,2,1,1000,1,True,True,0.855,0.07152050011427491,0.09479200070927618,72.98748503308161,0.07152050011427491,0.07152050011427491,0.07152050011427491,23008964,104873984,1132.15,0.0,0.0,0.0,17.0,64.0,0.0,main-s00309,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,24065732,1132.15,qwen-quora-d256::main-s00211,0.8,qualified,qwen-quora-d256::main-s00309,0.0737084997126658,0.09887919986795166,0.855,True,0.07300000015675323,0.07433400014633662,,,,,16,0,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00212,1,3,1,1000,1,True,True,0.906,0.08725000043341424,0.11230449940740071,88.43645399610978,0.08725000043341424,0.08725000043341424,0.08725000043341424,20917240,118554624,1679.939,0.0,0.0,0.0,0.0,0.0,0.0,main-s00212,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,21974008,1679.939,qwen-quora-d256::main-s00212,0.9,qualified,qwen-quora-d256::main-s00212,0.08743750004214235,0.11433399963607371,0.906,True,0.08639550014777342,0.0883330003489391,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256::main-s00239,1,3,1,1000,1,True,True,0.906,0.10283299980073934,0.13117325029270432,104.35790600422479,0.10283299980073934,0.10283299980073934,0.10283299980073934,38663160,136970240,1679.939,3.0,0.0,27.715,0.0,0.0,0.0,main-s00239,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,1056768,39719928,1679.939,qwen-quora-d256::main-s00212,0.9,qualified,qwen-quora-d256::main-s00239,0.10370900008638273,0.13388334987212142,0.906,True,0.10206249953625957,0.1051874996846891,2048,8192,0,42,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-1024-seed42,qwen-quora-d256-followup::qwen-quora-d256-followup-s00037,1,3,1,1000,1,True,True,0.906,0.09389599836140405,0.12299999816605123,95.36846496121143,0.09389599836140405,0.09389599836140405,0.09389599836140405,23008964,105578496,1679.939,0.0,0.0,0.0,1.0,0.0,0.0,qwen-quora-d256-followup-s00037,qwen-quora-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256-followup,32000000000,1056768,24065732,1679.939,qwen-quora-d256::main-s00212,0.9,qualified,qwen-quora-d256-followup::qwen-quora-d256-followup-s00037,0.09381249947182368,0.12321219946898052,0.906,True,0.09245849832950626,0.09589649926056154,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00212', 'target': 0.9}]",['main-s00212']
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,qwen-quora-d256::main-s00393,1,5,1,1000,1,True,True,0.95,0.10795799971674569,0.12013329978799446,108.81444798906159,0.10795799971674569,0.10795799971674569,0.10795799971674569,20917240,122126336,723.5,0.0,0.0,0.0,0.0,0.0,0.0,main-s00393,qwen-quora-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/qwen-quora-d256,32000000000,4227072,25144312,723.5,qwen-quora-d256::main-s00393,0.95,qualified,qwen-quora-d256::main-s00393,0.10689550026654615,0.119169049867196,0.95,True,0.10600000041449675,0.1080624997484847,,,,,,,,
