target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,leaf_size,node_budget,exploration,seed,start_depth,candidate_target,reasons,source_setting_ids
0.5,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00390,1,2,1,3000,3,True,True,0.552,0.09891699846775737,0.10979404942190739,299.13024700726965,0.09881250116450246,0.09866700020211283,0.09937499999068677,40000000,184549376,535.118,0.0,0.0,0.0,0.0,0.0,0.0,main-s00390,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,535.118,nomic-msmarco-d256::main-s00390,,,,,,,,
0.5,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00411,1,2,1,3000,3,True,True,0.552,0.11058299787691794,0.1243771010194905,336.94556390764774,0.11066650222346652,0.10947900045721326,0.11156250002386514,76110336,221904896,535.118,2.0,0.0,9.336,0.0,0.0,0.0,main-s00411,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,80337408,535.118,nomic-msmarco-d256::main-s00390,2048,8192,0,42,,,,
0.5,True,prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-1024-seed42,nomic-msmarco-d256::main-s00300,1,2,1,3000,3,True,True,0.535,0.08691650145919994,0.1264160518985591,274.4690111139789,0.08739599979890045,0.08612500096205622,0.08758350122661795,44000000,155828224,1527.804,0.0,0.0,0.0,14.305,56.2,2.695,main-s00300,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,1056768,45056768,2073.908,nomic-msmarco-d256::main-s00210,,,,,16,1000,,
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00391,1,15,1,3000,3,True,True,0.804,0.22987499869486783,0.2630020480864914,693.0164420264191,0.22943749900150578,0.22914550208952278,0.23104150022845715,40000000,184549376,3886.685,0.0,0.0,0.0,0.0,0.0,0.0,main-s00391,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,3886.685,nomic-msmarco-d256::main-s00391,,,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00415,1,15,1,3000,3,True,True,0.804,0.25079100305447355,0.28767115054506576,756.1537430919998,0.25104199994530063,0.24987500000861473,0.2514589978090953,76110336,221904896,3886.685,15.0,0.0,68.073,0.0,0.0,0.0,main-s00415,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,80337408,3886.685,nomic-msmarco-d256::main-s00391,2048,8192,0,42,,,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256-followup::nomic-msmarco-d256-followup-s00028,1,15,1,3000,3,True,True,0.804,0.25099999766098335,0.28929099808010506,757.0971440800349,0.2529379999032244,0.24729200049478095,0.2536249994591344,44000000,157368320,3886.685,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d256-followup-s00028,nomic-msmarco-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256-followup,32000000000,4227072,48227072,3886.685,nomic-msmarco-d256::main-s00391,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00391', 'target': 0.8}]",['main-s00391']
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00392,1,53,1,3000,3,True,True,0.901,0.5941460003668908,0.667958000121871,1787.3354590847157,0.5931249979767017,0.592021000556997,0.5972920007479843,40000000,184549376,13302.015,0.0,0.0,0.0,0.0,0.0,0.0,main-s00392,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,13302.015,nomic-msmarco-d256::main-s00392,,,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00418,1,53,1,3000,3,True,True,0.901,0.6461669981945306,0.730421152911731,1944.087442043383,0.6482080025307368,0.6402920007531065,0.6502295000245795,76110336,221904896,13302.015,53.0,0.0,233.493,0.0,0.0,0.0,main-s00418,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,80337408,13302.015,nomic-msmarco-d256::main-s00392,2048,512,0,42,,,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256-followup::nomic-msmarco-d256-followup-s00029,1,53,1,3000,3,True,True,0.901,0.6597499996132683,0.7456249988536001,1986.211618037487,0.6570840014319401,0.6513749995065155,0.6709794997732388,44000000,157155328,13302.015,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d256-followup-s00029,nomic-msmarco-d256-followup,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256-followup,32000000000,4227072,48227072,13302.015,nomic-msmarco-d256::main-s00392,,,,,0,0,"[{'kind': 'prefix_depth_zero_at_best_scan', 'source_setting_id': 'main-s00392', 'target': 0.9}]",['main-s00392']
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,nomic-msmarco-d256::main-s00393,1,125,1,3000,3,True,True,0.95,1.2898124987259507,1.422416050445463,3887.3212761391187,1.289437501327484,1.2884789994132007,1.291645499804872,40000000,184549376,30948.356,0.0,0.0,0.0,0.0,0.0,0.0,main-s00393,nomic-msmarco-d256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d256,32000000000,4227072,44227072,30948.356,nomic-msmarco-d256::main-s00393,,,,,,,,
