method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00448,1,5,1,1000,1,True,True,0.506,0.035207998735131696,0.03916905006917659,35.49121097967145,0.035207998735131696,0.035207998735131696,0.035207998735131696,16000000,107053056,1216.902,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00448,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,1216.902,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00448,0.5,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00448,0.0362089995178394,0.04033299792354228,0.506,True,0.035270501030026935,0.03691700112540275,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64::main-s00241,1,3,1,1000,1,True,True,0.501,0.03991700032202061,0.04875210015597986,40.1720959598606,0.03991700032202061,0.03991700032202061,0.03991700032202061,24260096,114819072,2977.957,3.039,1.32,48.163,0.0,0.0,0.0,main-s00241,nomic-msmarco-d64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64,32000000000,270336,24530432,2979.475,nomic-msmarco-d64::main-s00224,0.5,qualified,nomic-msmarco-d64::main-s00241,0.040041000829660334,0.049294050768367,0.501,True,0.03970900070271455,0.04025000089313835,0,42,2048,8192,False,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00392,1,3,1,1000,1,True,True,0.503,0.03658300011011306,0.04533299943432212,36.79789296438685,0.03658300011011306,0.03658300011011306,0.03658300011011306,20000000,103694336,2927.925,0.0,0.0,0.0,1.935,6.0,0.065,nomic-msmarco-d64-binary-main-s00392,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,270336,20270336,2945.889,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00336,0.5,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00392,0.036833000194747,0.0456669986306224,0.503,True,0.036541998269967735,0.03716649916896131,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,1,28,1,1000,1,True,True,0.801,0.08924999929149635,0.10491905213712016,89.92720393143827,0.08924999929149635,0.08924999929149635,0.08924999929149635,16000000,107053056,6758.865,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00449,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,6758.865,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,0.8,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,0.09029200009535998,0.10483305122761521,0.801,True,0.08866600001056213,0.09118749949266203,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00467,1,28,1,1000,1,True,True,0.801,0.09929199950420298,0.11534554778336313,99.84407298543374,0.09929199950420298,0.09929199950420298,0.09929199950420298,25026560,116899840,6758.865,28.0,0.0,119.19,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00467,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,26107904,6758.865,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,0.8,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00467,0.09802099884836935,0.11420805003581336,0.801,True,0.09662500087870285,0.09929200132319238,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00511,1,28,1,1000,1,True,True,0.801,0.09095799941860605,0.10563125015323749,91.27301102489582,0.09095799941860605,0.09095799941860605,0.09095799941860605,20000000,104251392,6758.865,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00511,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,6758.865,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00449,0.8,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00511,0.09020800280268304,0.10554199980106205,0.801,True,0.08937500024330802,0.09068699910130817,,,,,,0,0,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,1,60,1,1000,1,True,True,0.901,0.16672949823259842,0.19497885004966517,166.7143929298618,0.16672949823259842,0.16672949823259842,0.16672949823259842,16000000,107560960,14475.418,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00450,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,14475.418,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,0.9,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,0.1661455007706536,0.1939190997291007,0.901,True,0.16566700105613563,0.16656250045343768,,,,,,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,nomic-msmarco-d64::main-s00063,1,15,1,1000,1,True,True,0.924,0.26356250054959673,0.2982110507218749,259.9216210801387,0.26356250054959673,0.26356250054959673,0.26356250054959673,24015872,101105664,1389.31,500.775,105271.822,20726.76,0.0,0.0,0.0,main-s00063,nomic-msmarco-d64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64,32000000000,16896,24032768,235776.79,nomic-msmarco-d64::main-s00035,0.9,qualified,nomic-msmarco-d64::main-s00063,0.2594170000520535,0.36912710220349254,0.924,True,0.25810450097196735,0.2610420015116688,0,42,32,512,True,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00512,1,60,1,1000,1,True,True,0.901,0.17260450113099068,0.19914169915864474,172.08697901514824,0.17260450113099068,0.17260450113099068,0.17260450113099068,20000000,104415232,14365.447,0.0,0.0,0.0,1.925,120.0,0.075,nomic-msmarco-d64-binary-main-s00512,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,14475.418,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00450,0.9,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00512,0.17068799934349954,0.1967110492842039,0.901,True,0.16895799853955396,0.1734160014166264,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,1,123,1,1000,1,True,True,0.951,0.3219999998691492,0.3756249972866499,321.95820897686644,0.3219999998691492,0.3219999998691492,0.3219999998691492,16000000,107560960,29700.991,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00451,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,29700.991,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,0.95,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,0.3202084990334697,0.3728351010067854,0.951,True,0.3185420009685913,0.32268749782815576,,,,,,,,
